ROWID	_Activate|INTEGER	_TitleNameID|INTEGER	_TitleNameIDParam|TEXT	_SubTitleNameID|INTEGER	_SubTitleNameIDParam|TEXT	_NpcIconID|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_CounterParam|INTEGER	_CounterOperator|INTEGER	_AchieveCheckType|BOOLEAN	_GuildMissionGrade|INTEGER	_GuildMissionRatio|INTEGER	_StartRewardItemID1|INTEGER	_StartRewardItemAmount1|INTEGER	_StartRewardItemID2|INTEGER	_StartRewardItemAmount2|INTEGER	_StartRewardItemID3|INTEGER	_StartRewardItemAmount3|INTEGER	_StartRewardItemID4|INTEGER	_StartRewardItemAmount4|INTEGER	_StartRewardItemID5|INTEGER	_StartRewardItemAmount5|INTEGER	_EndRewardItemID1|INTEGER	_EndRewardItemAmount1|INTEGER	_EndRewardItemID2|INTEGER	_EndRewardItemAmount2|INTEGER	_EndRewardItemID3|INTEGER	_EndRewardItemAmount3|INTEGER	_EndRewardItemID4|INTEGER	_EndRewardItemAmount4|INTEGER	_EndRewardItemID5|INTEGER	_EndRewardItemAmount5|INTEGER	_IsAchieveNotice|INTEGER	_IsAchieveGuildNotice|INTEGER	_AchieveIcon|INTEGER	_ListSort|INTEGER	_StartTime|TEXT	_EndTime|TEXT
1	1	1000156393	{6322},{1000161506},{1000160377}	1000161601	{2404},{1000000377},{1000159113},{9680}	7	106	10	24	0	13	268487532	0	125	1	0	0	0	0	0	0	0	50	0	false	1	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	1	201910020900	210012300900
2	1	1000156393	{6323},{1000161506},{1000160377}	1000161601	{2404},{1000000377},{1000159113},{9680}	7	106	10	24	0	13	268487532	0	125	1	0	0	0	0	0	0	0	60	0	false	2	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	1	201910020900	210012300900
3	1	1000156393	{6324},{1000161506},{1000160377}	1000161601	{2404},{1000000377},{1000159113},{9680}	7	106	10	24	0	13	268487532	0	125	1	0	0	0	0	0	0	0	70	0	false	3	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	1	201910020900	210012300900
4	1	1000156393	{6325},{1000161506},{1000160377}	1000161601	{2404},{1000000377},{1000159113},{9680}	7	106	10	24	0	13	268487532	0	125	1	0	0	0	0	0	0	0	80	0	false	4	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	1	201910020900	210012300900
5	1	1000156393	{6326},{1000161506},{1000160377}	1000161601	{2404},{1000000377},{1000159113},{9680}	7	106	10	24	0	13	268487532	0	125	1	0	0	0	0	0	0	0	90	0	false	5	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	1	201910020900	210012300900
6	1	1000156393	{6327},{1000161506},{1000160377}	1000161601	{2404},{1000000377},{1000159113},{9680}	7	106	10	24	0	13	268487532	0	125	1	0	0	0	0	0	0	0	100	0	false	6	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	1	201910020900	210012300900
7	1	1000156393	{6328},{1000161506},{1000160377}	1000161601	{2404},{1000000377},{1000159113},{9680}	7	106	10	24	0	13	268487532	0	125	1	0	0	0	0	0	0	0	110	0	false	7	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	1	201910020900	210012300900
8	1	1000156393	{6329},{1000161506},{1000160377}	1000161601	{2404},{1000000377},{1000159113},{9680}	7	106	10	24	0	13	268487532	0	125	1	0	0	0	0	0	0	0	120	0	false	8	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	1	201910020900	210012300900
9	1	1000156393	{6330},{1000161506},{1000160377}	1000161601	{2404},{1000000377},{1000159113},{9680}	7	106	10	24	0	13	268487532	0	125	1	0	0	0	0	0	0	0	130	0	false	9	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	1	201910020900	210012300900
10	1	1000156393	{1012768},{1000161506},{1000160377}	1000161601	{2404},{1000000377},{1000159113},{9680}	7	106	10	24	0	13	268487532	0	125	1	0	0	0	0	0	0	0	140	0	false	10	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	1	201910020900	210012300900
