ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_NameIDParam|TEXT	_DescriptionIDParam|TEXT	_NeedGold|INTEGER	_NeedGuildLevel|INTEGER	_Type|INTEGER	_TypeParam1|INTEGER	_TypeParam2|INTEGER	_Period|INTEGER	_GuildMasterLimit|BOOLEAN	_IsApplicable|BOOLEAN	_PrerequisiteType|INTEGER	_PrerequisiteID|INTEGER	_NeedJobClass|INTEGER	_TooltipItemID|INTEGER	_CheckInven|BOOLEAN	_NeedClearMissionID|INTEGER	_MainCategory|INTEGER	_SubCategoryID|TEXT	_NeedGuildPoint|INTEGER	_RewardLevel|INTEGER	_ListID|INTEGER
11	1000039377	1000039388	1	30	0	1	4	30	0	0	true	true	0	0	0	536871188	false	0	1	0	250	1	0
12	1000039377	1000039389	2	50,1	0	2	4	50	0	0	true	true	1	11	0	536871189	false	0	1	0	400	2	0
13	1000039377	1000039389	3	70,2	0	3	4	70	0	0	true	true	1	12	0	536871190	false	0	1	0	550	3	0
14	1000039377	1000039389	4	90,3	0	4	4	90	0	0	true	true	1	13	0	536871191	false	0	1	0	700	4	0
15	1000039377	1000039389	5	110,4	0	5	4	110	0	0	true	true	1	14	0	536871192	false	0	1	0	850	5	0
16	1000039377	1000039389	6	130,5	0	6	4	130	0	0	true	true	1	15	0	536871208	false	0	1	0	1000	6	0
17	1000039377	1000039389	7	150,6	0	7	4	150	0	0	true	true	1	16	0	536871209	false	0	1	0	1150	7	0
18	1000039377	1000039389	8	160,7	0	8	4	160	0	0	true	true	1	17	0	536871210	false	0	1	0	1300	8	0
19	1000039377	1000039389	9	170,8	0	9	4	170	0	0	true	true	1	18	0	536871211	false	0	1	0	1450	9	0
20	1000039377	1000039389	10	180,9	0	10	4	180	0	0	true	true	1	19	0	536871212	false	0	1	0	1600	10	0
21	1000039377	1000039389	11	190,10	0	11	4	190	0	0	true	true	1	20	0	536871213	false	0	1	0	1750	11	0
22	1000039377	1000039389	12	200,11	0	12	4	200	0	0	true	true	1	21	0	536871214	false	0	1	0	1900	12	0
23	1000039377	1000039389	13	210,12	0	13	4	210	0	0	true	true	1	22	0	536871215	false	0	1	0	2050	13	0
24	1000039377	1000039389	14	220,13	0	14	4	220	0	0	true	true	1	23	0	536871216	false	0	1	0	2200	14	0
25	1000039377	1000039389	15	230,14	0	15	4	230	0	0	true	true	1	24	0	536871217	false	0	1	0	2350	15	0
26	1000039377	1000039389	16	240,15	0	16	4	240	0	0	true	true	1	25	0	536871218	false	0	1	0	2500	16	0
27	1000039377	1000039389	17	250,16	0	17	4	250	0	0	true	true	1	26	0	536871219	false	0	1	0	2650	17	0
28	1000039377	1000039389	18	260,17	0	18	4	260	0	0	true	true	1	27	0	536871220	false	0	1	0	2800	18	0
29	1000039377	1000039389	19	270,18	0	19	4	270	0	0	true	true	1	28	0	536871221	false	0	1	0	2950	19	0
30	1000039377	1000039389	20	280,19	0	20	4	280	0	0	true	true	1	29	0	536871222	false	0	1	0	3100	20	0
51	1000039378	1000040911	1	10	0	1	3	10	0	0	true	true	0	0	0	536871231	false	0	1	0	250	1	1
52	1000039378	1000040912	2	10,1,150	0	2	3	20	0	0	true	true	1	51	0	536871232	false	0	1	0	400	2	1
