ROWID	_Grade|INTEGER	_Step|INTEGER	_GuildTotalDamage|INTEGER	_ShowMailID|INTEGER	_RewardMailID|INTEGER	_PeriodGroup|INTEGER	_StartTime|TEXT	_EndTime|TEXT
1	1	1	2650	6545	6545	0	202007140900	202007280900
2	1	2	5000	6546	6546	0	202007140900	202007280900
3	1	3	9450	6547	6547	0	202007140900	202007280900
4	1	4	17500	6548	6548	0	202007140900	202007280900
5	1	5	33500	6549	6549	0	202007140900	202007280900
6	2	6	224000	6550	6550	0	202007140900	202007280900
7	2	7	795500	6551	6551	0	202007140900	202007280900
8	2	8	2820000	6552	6552	0	202007140900	202007280900
9	2	9	10000000	6553	6553	0	202007140900	202007280900
10	2	10	35450000	6554	6554	0	202007140900	202007280900
11	1	1	2650	6545	6545	1	202007280900	202008140900
12	1	2	5000	6546	6546	1	202007280900	202008140900
13	1	3	9450	6547	6547	1	202007280900	202008140900
14	1	4	17500	6548	6548	1	202007280900	202008140900
15	1	5	33500	6549	6549	1	202007280900	202008140900
16	2	6	224000	6550	6550	1	202007280900	202008140900
17	2	7	795500	6551	6551	1	202007280900	202008140900
18	2	8	2820000	6552	6552	1	202007280900	202008140900
19	2	9	10000000	6553	6553	1	202007280900	202008140900
20	2	10	35450000	6554	6554	1	202007280900	202008140900
21	1	1	2650	6545	6545	2	202008140900	202008280900
22	1	2	5000	6546	6546	2	202008140900	202008280900
23	1	3	9450	6547	6547	2	202008140900	202008280900
24	1	4	17500	6548	6548	2	202008140900	202008280900
25	1	5	33500	6549	6549	2	202008140900	202008280900
26	2	6	224000	6550	6550	2	202008140900	202008280900
27	2	7	795500	6551	6551	2	202008140900	202008280900
28	2	8	2820000	6552	6552	2	202008140900	202008280900
29	2	9	10000000	6553	6553	2	202008140900	202008280900
30	2	10	35450000	6554	6554	2	202008140900	202008280900
31	1	1	2650	6545	6545	3	202008280900	210008280900
32	1	2	5000	6546	6546	3	202008280900	210008280900
33	1	3	9450	6547	6547	3	202008280900	210008280900
34	1	4	17500	6548	6548	3	202008280900	210008280900
35	1	5	33500	6549	6549	3	202008280900	210008280900
36	2	6	224000	6550	6550	3	202008280900	210008280900
37	2	7	795500	6551	6551	3	202008280900	210008280900
38	2	8	2820000	6552	6552	3	202008280900	210008280900
39	2	9	10000000	6553	6553	3	202008280900	210008280900
40	2	10	35450000	6554	6554	3	202008280900	210008280900
