ROWID	_ResultType|INTEGER	_ClassID|INTEGER	_MailID1|INTEGER	_MailID2|INTEGER	_GuildFestPoint|INTEGER	_GuildPoint|INTEGER
1	1	1	310026	0	0	0
2	1	2	310026	0	0	0
3	1	3	310026	0	0	0
4	1	4	310026	0	0	0
5	2	1	310030	0	0	0
6	2	2	310030	0	0	0
7	2	3	310030	0	0	0
8	2	4	310030	0	0	0
9	3	1	310014	0	1000	10000
10	3	2	310015	0	1000	10000
11	3	3	310016	0	1000	10000
12	3	4	310017	0	1000	10000
13	4	1	310018	0	2000	20000
14	4	2	310019	0	2000	20000
15	4	3	310020	0	2000	20000
16	4	4	310021	0	2000	20000
17	5	1	310022	0	3000	30000
18	5	2	310023	0	3000	30000
19	5	3	310024	0	3000	30000
20	5	4	310025	0	3000	30000
21	6	1	310026	330020	4000	40000
22	6	2	310027	330021	4000	40000
23	6	3	310028	330022	4000	40000
24	6	4	310029	330023	4000	40000
25	7	1	310030	0	0	0
26	7	2	310031	0	0	0
27	7	3	310032	0	0	0
28	7	4	310033	0	0	0
29	1	5	310026	0	0	0
30	2	5	310030	0	0	0
31	3	5	310051	330030	1000	10000
32	4	5	310052	330031	2000	20000
33	5	5	310053	330032	3000	30000
34	6	5	310054	330033	4000	40000
35	7	5	310055	330034	0	0
36	8	1	310026	327	4000	40000
37	8	2	310027	328	4000	40000
38	8	3	310028	329	4000	40000
39	8	4	310029	330	4000	40000
40	8	5	310054	331	4000	40000
41	1	6	310026	0	0	0
42	2	6	310030	0	0	0
43	3	6	751	786	1000	10000
44	4	6	752	787	2000	20000
45	5	6	753	788	3000	30000
46	6	6	754	789	4000	40000
47	7	6	755	790	0	0
48	8	6	754	791	4000	40000
49	1	7	310026	0	0	0
50	2	7	310030	0	0	0
51	3	7	2276	2197	1000	10000
52	4	7	2277	2198	2000	20000
53	5	7	2278	2199	3000	30000
54	6	7	2279	2200	4000	40000
55	7	7	2280	2201	0	0
56	8	7	2279	2202	4000	40000
57	1	8	310026	0	0	0
58	2	8	310030	0	0	0
59	3	8	2721	2713	1000	10000
60	4	8	2722	2714	2000	20000
61	5	8	2723	2715	3000	30000
62	6	8	2724	2716	4000	40000
63	7	8	2725	2717	0	0
64	8	8	2724	2718	4000	40000
65	1	9	310026	0	0	0
66	2	9	310030	0	0	0
67	3	9	3125	3132	1000	10000
68	4	9	3126	3133	2000	20000
69	5	9	3127	3134	3000	30000
70	6	9	3128	3135	4000	40000
71	7	9	3129	3136	0	0
72	8	9	3128	3137	4000	40000
