ROWID	MapID|INTEGER	Type|INTEGER	StartRankReward|INTEGER	EndRankReward|INTEGER	ItemID1|INTEGER	Count1|INTEGER	ItemID2|INTEGER	Count2|INTEGER	ItemID3|INTEGER	Count3|INTEGER	ItemID4|INTEGER	Count4|INTEGER	ItemID5|INTEGER	Count5|INTEGER	MailID|INTEGER
1	13631	1	1	1	805308682	1	338889728	30	536873241	10	0	0	0	0	2550
2	13631	2	2	2	338889728	25	536873241	10	0	0	0	0	0	0	2551
3	13631	3	3	3	338889728	20	536873241	10	0	0	0	0	0	0	2552
4	13631	4	4	10	338889728	15	536873241	5	0	0	0	0	0	0	2553
5	13631	5	11	100	338889728	7	536873241	1	0	0	0	0	0	0	2554
6	13631	6	101	300	338889728	3	0	0	0	0	0	0	0	0	2555
7	13639	1	1	1	536880284	1	0	0	0	0	0	0	0	0	4781
8	13639	2	2	2	536880285	1	0	0	0	0	0	0	0	0	4782
9	13639	3	3	3	536880286	1	0	0	0	0	0	0	0	0	4783
10	13639	4	4	10	536880283	1	0	0	0	0	0	0	0	0	4784
11	13639	5	11	100	536880289	1	0	0	0	0	0	0	0	0	4801
