ROWID	_HeroLevelExp|TEXT	_HeroLevelAbilityID|INTEGER
1	0	905969865
2	100	905969866
3	200	905969867
4	300	905969868
5	410	905969869
6	530	905969870
7	660	905969871
8	800	905969872
9	960	905969873
10	1140	905969874
11	1330	905969875
12	1550	905969876
13	1790	905969877
14	2050	905969878
15	2340	905969879
16	2660	905969880
17	3010	905969881
18	3390	905969882
19	3810	905969883
20	4270	905969884
21	4760	905969885
22	5300	905969886
23	5880	905969887
24	6500	905969888
25	7170	905969889
26	7890	905969890
27	8660	905969891
28	9480	905969892
29	10360	905969893
30	11300	905969894
31	12290	905969895
32	13350	905969896
33	14470	905969897
34	15650	905969898
35	16900	905969899
36	18220	905969900
37	19610	905969901
38	21070	905969902
39	22610	905969903
40	24230	905969904
41	25920	905969905
42	27700	905969906
43	29560	905969907
44	31500	905969908
45	33530	905969909
46	35650	905969910
47	37860	905969911
48	40160	905969912
49	42560	905969913
50	45060	905969914
51	47650	905969915
52	50350	905969916
53	53150	905969917
54	56050	905969918
55	59060	905969919
56	62180	905969920
57	65410	905969921
58	68750	905969922
59	72210	905969923
60	75790	905969924
61	79480	905969925
62	83300	905969926
63	87240	905969927
64	91300	905969928
65	95490	905969929
66	99810	905969930
67	104260	905969931
68	108840	905969932
69	113560	905969933
70	118420	905969934
71	123410	905969935
72	128550	905969936
73	133830	905969937
74	139250	905969938
75	144820	905969939
76	150540	905969940
77	156410	905969941
78	162430	905969942
79	168610	905969943
80	174950	905969944
81	181440	905969945
82	188100	905969946
83	194920	905969947
84	201900	905969948
85	209050	905969949
86	216370	905969950
87	223860	905969951
88	231520	905969952
89	239360	905969953
90	247380	905969954
91	255570	905969955
92	263950	905969956
93	272510	905969957
94	281250	905969958
95	290180	905969959
96	299300	905969960
97	308610	905969961
98	318110	905969962
99	327810	905969963
100	337710	905969964
101	347800	905969965
102	358100	905969966
103	368600	905969967
104	379300	905969968
105	390210	905969969
106	401330	905969970
107	412660	905969971
108	424200	905969972
109	435960	905969973
110	447940	905969974
111	460130	905969975
112	472550	905969976
113	485190	905969977
114	498050	905969978
115	511140	905969979
116	524460	905969980
117	538010	905969981
118	551790	905969982
119	565810	905969983
120	580070	905969984
121	594560	905969985
122	609300	905969986
123	624280	905969987
124	639500	905969988
125	654970	905969989
126	670690	905969990
127	686660	905969991
128	702880	905969992
129	719360	905969993
130	736100	905969994
131	753090	905969995
132	770350	905969996
133	787870	905969997
134	805650	905969998
135	823700	905969999
136	842020	905970000
137	860610	905970001
138	879470	905970002
139	898610	905970003
140	918030	905970004
141	937720	905970005
142	957700	905970006
143	977960	905970007
144	998500	905970008
145	1019330	905970009
146	1040450	905970010
147	1061860	905970011
148	1083560	905970012
149	1105560	905970013
150	1127860	905970014
151	1150450	905970015
152	1173350	905970016
153	1196550	905970017
154	1220050	905970018
155	1243860	905970019
156	1267980	905970020
157	1292410	905970021
158	1317150	905970022
159	1342210	905970023
160	1367590	905970024
161	1393280	905970025
162	1419300	905970026
163	1445640	905970027
164	1472300	905970028
165	1499290	905970029
166	1526610	905970030
167	1554260	905970031
168	1582240	905970032
169	1610560	905970033
170	1639220	905970034
171	1668210	905970035
172	1697550	905970036
173	1727230	905970037
174	1757250	905970038
175	1787620	905970039
176	1818340	905970040
177	1849410	905970041
178	1880830	905970042
179	1912610	905970043
180	1944750	905970044
181	1977240	905970045
182	2010100	905970046
183	2043320	905970047
184	2076900	905970048
185	2110850	905970049
186	2145170	905970050
187	2179860	905970051
188	2214920	905970052
189	2250360	905970053
190	2286180	905970054
191	2322370	905970055
192	2358950	905970056
193	2395910	905970057
194	2433250	905970058
195	2470980	905970059
196	2509100	905970060
197	2547610	905970061
198	2586510	905970062
199	2625810	905970063
200	2665510	905970064
201	2705600	905972845
202	2746100	905972846
203	2787000	905972847
204	2828300	905972848
205	2870010	905972849
206	2912130	905972850
207	2954660	905972851
208	2997600	905972852
209	3040960	905972853
210	3084740	905972854
211	3128930	905972855
212	3173550	905972856
213	3218590	905972857
214	3264050	905972858
215	3309940	905972859
216	3356260	905972860
217	3403010	905972861
218	3450190	905972862
219	3497810	905972863
220	3545870	905972864
221	3594360	905972865
222	3643300	905972866
223	3692680	905972867
224	3742500	905972868
225	3792770	905972869
226	3843490	905972870
227	3894660	905972871
228	3946280	905972872
229	3998360	905972873
230	4050900	905972874
231	4103890	905972875
232	4157350	905972876
233	4211270	905972877
234	4265650	905972878
235	4320500	905972879
236	4375820	905972880
237	4431610	905972881
238	4487870	905972882
239	4544610	905972883
240	4601830	905972884
241	4659520	905972885
242	4717700	905972886
243	4776360	905972887
244	4835500	905972888
245	4895130	905972889
246	4955250	905972890
247	5015860	905972891
248	5076960	905972892
249	5138560	905972893
250	5200660	905972894
251	5263250	905972895
252	5326350	905972896
253	5389950	905972897
254	5454050	905972898
255	5518660	905972899
256	5583780	905972900
257	5649410	905972901
258	5715550	905972902
259	5782210	905972903
260	5849390	905972904
261	5917080	905972905
262	5985300	905972906
263	6054040	905972907
264	6123300	905972908
265	6193090	905972909
266	6263410	905972910
267	6334260	905972911
268	6405640	905972912
269	6477560	905972913
270	6550020	905972914
271	6623010	905972915
272	6696550	905972916
273	6770630	905972917
274	6845250	905972918
275	6920420	905972919
276	6996140	905972920
277	7072410	905972921
278	7149230	905972922
279	7226610	905972923
280	7304550	905972924
281	7383040	905972925
282	7462100	905972926
283	7541720	905972927
284	7621900	905972928
285	7702650	905972929
286	7783970	905972930
287	7865860	905972931
288	7948320	905972932
