ROWID	_GroupID|INTEGER	_ShopProb|INTEGER	_PurchaseCount|INTEGER	_FirstNPCImg|TEXT	_FirstTalkID|INTEGER	_SecondNPCImg|TEXT	_SecondTalkID|INTEGER	_SN01|INTEGER	_SN02|INTEGER	_SN03|INTEGER	_SN04|INTEGER	_SN05|INTEGER	_SN06|INTEGER	_SN07|INTEGER	_SN08|INTEGER	_SN09|INTEGER	_SN10|INTEGER	_ButtonImgID|INTEGER
24	14	1	1	NPC_Top_Battle_BlackSmith.dds	1000168627	NPC_Body_Battle_BlackSmith.dds	1000168631	1903640	0	0	0	0	0	0	0	0	0	25
25	15	1	1	NPC_Top_Battle_BlackSmith.dds	1000168627	NPC_Body_Battle_BlackSmith.dds	1000168631	1903641	0	0	0	0	0	0	0	0	0	25
26	16	1	1	NPC_Top_Battle_BlackSmith.dds	1000168627	NPC_Body_Battle_BlackSmith.dds	1000168631	1903642	0	0	0	0	0	0	0	0	0	25
27	17	1	1	NPC_Top_Battle_BlackSmith.dds	1000168627	NPC_Body_Battle_BlackSmith.dds	1000168631	1903643	0	0	0	0	0	0	0	0	0	25
28	18	1	1	NPC_Top_Battle_BlackSmith.dds	1000168627	NPC_Body_Battle_BlackSmith.dds	1000168631	1903644	0	0	0	0	0	0	0	0	0	25
29	19	1	1	NPC_Top_Battle_BlackSmith.dds	1000168627	NPC_Body_Battle_BlackSmith.dds	1000168631	1903645	0	0	0	0	0	0	0	0	0	25
30	20	1	1	NPC_Top_Atdin.dds	1000168628	NPC_Body_Atdin.dds	1000168632	1903646	0	0	0	0	0	0	0	0	0	6
31	21	1	1	NPC_Top_Argenta.dds	1000168638	NPC_Body_Argenta.dds	1000168639	1903647	0	0	0	0	0	0	0	0	0	2
32	22	1	1	NPC_Top_Argenta.dds	1000168638	NPC_Body_Argenta.dds	1000168639	1903648	0	0	0	0	0	0	0	0	0	2
34	24	1	1	NPC_Top_Argenta.dds	1000168638	NPC_Body_Argenta.dds	1000168639	1903653	0	0	0	0	0	0	0	0	0	2
35	25	1	1	NPC_Top_Duwen.dds	1000168668	NPC_Body_Duwen.dds	1000168633	1903654	0	0	0	0	0	0	0	0	0	5
36	26	1	1	NPC_Top_Duwen.dds	1000168668	NPC_Body_Duwen.dds	1000168633	1903655	0	0	0	0	0	0	0	0	0	5
37	27	1	1	NPC_Top_Duwen.dds	1000168668	NPC_Body_Duwen.dds	1000168633	1903656	0	0	0	0	0	0	0	0	0	5
38	28	1	1	NPC_Top_Duwen.dds	1000168668	NPC_Body_Duwen.dds	1000168633	1903657	0	0	0	0	0	0	0	0	0	5
40	30	9	1	NPC_Top_Goblin.dds	1000067380	NPC_Body_Goblin.dds	1000067381	1903659	0	0	0	0	0	0	0	0	0	7
41	30	1	1	NPC_Top_Goblin.dds	1000067380	NPC_Body_Goblin.dds	1000067381	1900720	0	0	0	0	0	0	0	0	0	7
42	31	1	1	NPC_Top_Argenta.dds	1000168638	NPC_Body_Argenta.dds	1000168639	1903671	0	0	0	0	0	0	0	0	0	2
