ROWID	_gradeicon|INTEGER	_state|INTEGER	_state_min|TEXT	_state_max|TEXT
6	3	32	5000	8000
7	4	32	20000	50000
8	5	32	70000	100000
9	3	33	5000	8000
10	4	33	20000	50000
11	5	33	70000	100000
12	1	12	6666	6666
13	2	12	13332	13332
14	3	12	19998	19998
15	4	12	26664	26664
16	5	12	33330	33330
17	1	103	30000	30000
18	2	103	60000	60000
19	3	103	90000	90000
20	4	103	120000	120000
21	5	103	150000	150000
22	1	29	100	100
23	2	29	150	150
24	3	29	200	200
25	4	29	250	250
26	5	29	300	300
27	1	25	106666	106666
28	2	25	213332	213332
29	3	25	319998	319998
30	4	25	426664	426664
31	5	25	533330	533330
32	1	8	3000	3000
33	2	8	6000	6000
34	3	8	9000	9000
35	4	8	12000	12000
36	5	8	15000	15000
37	1	9	3000	3000
38	2	9	6000	6000
39	3	9	9000	9000
40	4	9	12000	12000
41	5	9	15000	15000
42	1	101	0.0041	0.0041
43	2	101	0.0081	0.0081
44	3	101	0.0121	0.0121
45	4	101	0.0161	0.0161
46	5	101	0.0201	0.0201
47	1	102	0.0041	0.0041
48	2	102	0.0081	0.0081
49	3	102	0.0121	0.0121
50	4	102	0.0161	0.0161
51	5	102	0.0201	0.0201
52	1	88	0.0021	0.0021
53	2	88	0.0041	0.0041
54	3	88	0.0061	0.0061
55	4	88	0.0081	0.0081
56	5	88	0.0101	0.0101
57	1	109	1	1
58	4	109	2	2
59	5	109	3	3
