ROWID	_ImprintingType|INTEGER
1073741952	2
1078067328	2
1078198400	2
1078329472	2
1078460544	2
1078067456	2
1078198528	2
1078329600	2
1078460672	2
1078067584	2
1078198656	2
1078329728	2
1078460800	2
1078067712	2
1078198784	2
1078329856	2
1078460928	2
1078067840	2
1078198912	2
1078329984	2
1078461056	2
1078067968	2
1078199040	2
1078330112	2
1078461184	2
1078068096	2
1078199168	2
1078330240	2
1078461312	2
1077937024	2
1078068224	2
1078199296	2
1078330368	2
1078461440	2
1077937152	2
1078068352	2
1078199424	2
1078330496	2
1078461568	2
1082130560	2
1082261632	2
1082392704	2
1082523776	2
1082654848	2
1082130688	2
1082261760	2
1082392832	2
1082523904	2
1082654976	2
1082261888	2
1082392960	2
1082524032	2
1082655104	2
1082262016	2
1082393088	2
1082524160	2
1082655232	2
1082262144	2
1082393216	2
1082524288	2
1082655360	2
1082262272	2
1082393344	2
1082524416	2
1082655488	2
1082262400	2
1082393472	2
1082524544	2
1082655616	2
1082131328	2
1082262528	2
1082393600	2
1082524672	2
1082655744	2
1082131456	2
1082262656	2
1082393728	2
1082524800	2
1082655872	2
1082131584	2
1086324864	2
1086455936	2
1086587008	2
1086718080	2
1086849152	2
1086324992	2
1086456064	2
1086587136	2
1086718208	2
1086849280	2
1086456192	2
1086587264	2
1086718336	2
1086849408	2
1086456320	2
1086587392	2
1086718464	2
1086849536	2
1086456448	2
1086587520	2
1086718592	2
1086849664	2
1086456576	2
1086587648	2
1086718720	2
1086849792	2
1086456704	2
1086587776	2
1086718848	2
1086849920	2
1086325632	2
1086456832	2
1086587904	2
1086718976	2
1086850048	2
1086325760	2
1086456960	2
1086588032	2
1086719104	2
1086850176	2
1086325888	2
1090519168	2
1090650240	2
1090781312	2
1090912384	2
1091043456	2
1090519296	2
1090650368	2
1090781440	2
1090912512	2
1091043584	2
1090650496	2
1090781568	2
1090912640	2
1091043712	2
1090650624	2
1090781696	2
1090912768	2
1091043840	2
1090650752	2
1090781824	2
1090912896	2
1091043968	2
1090650880	2
1090781952	2
1090913024	2
1091044096	2
1090651008	2
1090782080	2
1090913152	2
1091044224	2
1090651136	2
1090782208	2
1090913280	2
1091044352	2
1090651264	2
1090782336	2
1090913408	2
1091044480	2
1090520192	2
1078068480	2
1078199552	2
1078330624	2
1078461696	2
1078068608	2
1078199680	2
1078330752	2
1078461824	2
1082262784	2
1082393856	2
1082524928	2
1082656000	2
1082262912	2
1082393984	2
1082525056	2
1082656128	2
1086457088	2
1086588160	2
1086719232	2
1086850304	2
1086457216	2
1086588288	2
1086719360	2
1086850432	2
1090651392	2
1090782464	2
1090913536	2
1091044608	2
1090651520	2
1090782592	2
1090913664	2
1091044736	2
1086457344	2
1086588416	2
1086719488	2
1086850560	2
1086457472	2
1086588544	2
1086719616	2
1086850688	2
1078068736	2
1078199808	2
1078330880	2
1078461952	2
1078068864	2
1078199936	2
1078331008	2
1078462080	2
1078068992	2
1078200064	2
1078331136	2
1078462208	2
1078069120	2
1078200192	2
1078331264	2
1078462336	2
1078069248	2
1078200320	2
1078331392	2
1078462464	2
1078069376	2
1078200448	2
1078331520	2
1078462592	2
1078069504	2
1078200576	2
1078331648	2
1078462720	2
1078069632	2
1078200704	2
1078331776	2
1078462848	2
1078069760	2
1078200832	2
1078331904	2
1078462976	2
1082263040	2
1082394112	2
1082525184	2
1082656256	2
1082263168	2
1082394240	2
1082525312	2
1082656384	2
1082263296	2
1082394368	2
1082525440	2
1082656512	2
1082263424	2
1082394496	2
1082525568	2
1082656640	2
1082263552	2
1082394624	2
1082525696	2
1082656768	2
1082263680	2
1082394752	2
1082525824	2
1082656896	2
1082132608	2
1082263808	2
1082394880	2
1082525952	2
1082657024	2
1082132736	2
1082263936	2
1082395008	2
1082526080	2
1082657152	2
1086457600	2
1086588672	2
1086719744	2
1086850816	2
1086457728	2
1086588800	2
1086719872	2
1086850944	2
1086457856	2
1086588928	2
1086720000	2
1086851072	2
1086326784	2
1086457984	2
1086589056	2
1086720128	2
1086851200	2
1086326912	2
1086458112	2
1086589184	2
1086720256	2
1086851328	2
1086327040	2
1086458240	2
1086589312	2
1086720384	2
1086851456	2
1086458368	2
1086589440	2
1086720512	2
1086851584	2
1086458496	2
1086589568	2
1086720640	2
1086851712	2
1086458624	2
1086589696	2
1086720768	2
1086851840	2
1090651648	2
1090782720	2
1090913792	2
1091044864	2
1090651776	2
1090782848	2
1090913920	2
1091044992	2
1090651904	2
1090782976	2
1090914048	2
1091045120	2
1090652032	2
1090783104	2
1090914176	2
1091045248	2
1090652160	2
1090783232	2
1090914304	2
1091045376	2
1090652288	2
1090783360	2
1090914432	2
1091045504	2
1090652416	2
1090783488	2
1090914560	2
1091045632	2
1090652544	2
1090783616	2
1090914688	2
1091045760	2
1090652672	2
1090783744	2
1090914816	2
1091045888	2
1078069888	2
1078200960	2
1078332032	2
1078463104	2
1078070016	2
1078201088	2
1078332160	2
1078463232	2
1078070144	2
1078201216	2
1078332288	2
1078463360	2
1078070272	2
1078201344	2
1078332416	2
1078463488	2
1078070400	2
1078201472	2
1078332544	2
1078463616	2
1078070528	2
1078201600	2
1078332672	2
1078463744	2
1082264064	2
1082395136	2
1082526208	2
1082657280	2
1082264192	2
1082395264	2
1082526336	2
1082657408	2
1082264320	2
1082395392	2
1082526464	2
1082657536	2
1082264448	2
1082395520	2
1082526592	2
1082657664	2
1082264576	2
1082395648	2
1082526720	2
1082657792	2
1082133504	2
1082264704	2
1082395776	2
1082526848	2
1082657920	2
1082264832	2
1082395904	2
1082526976	2
1082658048	2
1086458752	2
1086589824	2
1086720896	2
1086851968	2
1086458880	2
1086589952	2
1086721024	2
1086852096	2
1086459008	2
1086590080	2
1086721152	2
1086852224	2
1086459136	2
1086590208	2
1086721280	2
1086852352	2
1086459264	2
1086590336	2
1086721408	2
1086852480	2
1086459392	2
1086590464	2
1086721536	2
1086852608	2
1090652800	2
1090783872	2
1090914944	2
1091046016	2
1090652928	2
1090784000	2
1090915072	2
1091046144	2
1090653056	2
1090784128	2
1090915200	2
1091046272	2
1090653184	2
1090784256	2
1090915328	2
1091046400	2
1090653312	2
1090784384	2
1090915456	2
1091046528	2
1090653440	2
1090784512	2
1090915584	2
1091046656	2
1077936256	2
1077936384	2
1077936512	2
1082130816	2
1082130944	2
1082131072	2
1090519424	2
1090519552	2
1090519680	2
1086325120	2
1086325248	2
1086325376	2
1078070656	2
1078201728	2
1078332800	2
1078463872	2
1078070784	2
1078201856	2
1078332928	2
1078464000	2
1078070912	2
1078201984	2
1078333056	2
1078464128	2
1082264960	2
1082396032	2
1082527104	2
1082658176	2
1082133888	2
1082265088	2
1082396160	2
1082527232	2
1082658304	2
1082134016	2
1082265216	2
1082396288	2
1082527360	2
1082658432	2
1082134144	2
1086459520	2
1086590592	2
1086721664	2
1086852736	2
1086459648	2
1086590720	2
1086721792	2
1086852864	2
1086459776	2
1086590848	2
1086721920	2
1086852992	2
1090653568	2
1090784640	2
1090915712	2
1091046784	2
1090653696	2
1090784768	2
1090915840	2
1091046912	2
1090653824	2
1090784896	2
1090915968	2
1091047040	2
1090653952	2
1090785024	2
1090916096	2
1091047168	2
1090654080	2
1090785152	2
1090916224	2
1091047296	2
1090654208	2
1090785280	2
1090916352	2
1091047424	2
1077939968	2
1078071040	2
1078202112	2
1078333184	2
1078464256	2
1082134272	2
1082265344	2
1082396416	2
1082527488	2
1082658560	2
1086328832	2
1086459904	2
1086590976	2
1086722048	2
1086853120	2
1090523264	2
1090654336	2
1090785408	2
1090916480	2
1091047552	2
1077940096	2
1078071168	2
1078202240	2
1078333312	2
1078464384	2
1082134400	2
1082265472	2
1082396544	2
1082527616	2
1082658688	2
1086328960	2
1086460032	2
1086591104	2
1086722176	2
1086853248	2
1090523392	2
1090654464	2
1090785536	2
1090916608	2
1091047680	2
1077940224	2
1078071296	2
1078202368	2
1078333440	2
1078464512	2
1082134528	2
1082265600	2
1082396672	2
1082527744	2
1082658816	2
1086329088	2
1086460160	2
1086591232	2
1086722304	2
1086853376	2
1090523520	2
1090654592	2
1090785664	2
1090916736	2
1091047808	2
1077940352	2
1078071424	2
1078202496	2
1078333568	2
1078464640	2
1082134656	2
1082265728	2
1082396800	2
1082527872	2
1082658944	2
1086329216	2
1086460288	2
1086591360	2
1086722432	2
1086853504	2
1090523648	2
1090654720	2
1090785792	2
1090916864	2
1091047936	2
1077940480	2
1078071552	2
1078202624	2
1078333696	2
1078464768	2
1082134784	2
1082265856	2
1082396928	2
1082528000	2
1082659072	2
1086329344	2
1086460416	2
1086591488	2
1086722560	2
1086853632	2
1090523776	2
1090654848	2
1090785920	2
1090916992	2
1091048064	2
1077940608	2
1078071680	2
1078202752	2
1078333824	2
1078464896	2
1082134912	2
1082265984	2
1082397056	2
1082528128	2
1082659200	2
1086329472	2
1086460544	2
1086591616	2
1086722688	2
1086853760	2
1090523904	2
1090654976	2
1090786048	2
1090917120	2
1091048192	2
1077940736	2
1078071808	2
1078202880	2
1078333952	2
1078465024	2
1082135040	2
1082266112	2
1082397184	2
1082528256	2
1082659328	2
1086329600	2
1086460672	2
1086591744	2
1086722816	2
1086853888	2
1090524032	2
1090655104	2
1090786176	2
1090917248	2
1091048320	2
1077940864	2
1078071936	2
1078203008	2
1078334080	2
1078465152	2
1082135168	2
1082266240	2
1082397312	2
1082528384	2
1082659456	2
1086329728	2
1086460800	2
1086591872	2
1086722944	2
1086854016	2
1090524160	2
1090655232	2
1090786304	2
1090917376	2
1091048448	2
1077940992	2
1078072064	2
1078203136	2
1078334208	2
1078465280	2
1082135296	2
1082266368	2
1082397440	2
1082528512	2
1082659584	2
1086329856	2
1086460928	2
1086592000	2
1086723072	2
1086854144	2
1090524288	2
1090655360	2
1090786432	2
1090917504	2
1091048576	2
1077941120	2
1078072192	2
1078203264	2
1078334336	2
1078465408	2
1082135424	2
1082266496	2
1082397568	2
1082528640	2
1082659712	2
1086329984	2
1086461056	2
1086592128	2
1086723200	2
1086854272	2
1090524416	2
1090655488	2
1090786560	2
1090917632	2
1091048704	2
1077941248	2
1078072320	2
1078203392	2
1078334464	2
1078465536	2
1082135552	2
1082266624	2
1082397696	2
1082528768	2
1082659840	2
1086330112	2
1086461184	2
1086592256	2
1086723328	2
1086854400	2
1090524544	2
1090655616	2
1090786688	2
1090917760	2
1091048832	2
1077941376	2
1078072448	2
1078203520	2
1078334592	2
1078465664	2
1082135680	2
1082266752	2
1082397824	2
1082528896	2
1082659968	2
1086330240	2
1086461312	2
1086592384	2
1086723456	2
1086854528	2
1090524672	2
1090655744	2
1090786816	2
1090917888	2
1091048960	2
1077941504	2
1079903104	4
1077941632	2
1079903232	4
1077941760	2
1079903360	4
1082135808	2
1084097408	4
1082135936	2
1084097536	4
1082136064	2
1084097664	4
1086330368	2
1088291712	4
1086330496	2
1088291840	4
1086330624	2
1088291968	4
1090524800	2
1092486016	4
1090524928	2
1092486144	4
1090525056	2
1092486272	4
1077941888	2
1079903488	4
1077942016	2
1079903616	4
1077942144	2
1079903744	4
1082136192	2
1084097792	4
1082136320	2
1084097920	4
1082136448	2
1084098048	4
1086330752	2
1088292096	4
1086330880	2
1088292224	4
1086331008	2
1088292352	4
1090525184	2
1092486400	4
1090525312	2
1092486528	4
1090525440	2
1092486656	4
1077942272	2
1079903872	4
1077942400	2
1079904000	4
1077942528	2
1079904128	4
1082136576	2
1084098176	4
1082136704	2
1084098304	4
1082136832	2
1084098432	4
1086331136	2
1088292480	4
1086331264	2
1088292608	4
1086331392	2
1088292736	4
1090525568	2
1092486784	4
1090525696	2
1092486912	4
1090525824	2
1092487040	4
1077942656	2
1079904256	4
1077942784	2
1079904384	4
1077942912	2
1079904512	4
1082136960	2
1084098560	4
1082137088	2
1084098688	4
1082137216	2
1084098816	4
1086331520	2
1088292864	4
1086331648	2
1088292992	4
1086331776	2
1088293120	4
1090525952	2
1092487168	4
1090526080	2
1092487296	4
1090526208	2
1092487424	4
1077943552	2
1079905152	4
