ROWID	_ImprintingType|INTEGER
1073851897	2
1073851898	2
1073851899	2
1073851900	2
1073851901	2
1073851902	2
1073851903	2
1073851904	2
1073851905	2
1073851906	2
1073851907	2
1073851908	2
1073851909	2
1073851910	2
1073851911	2
1073851912	2
1073851913	2
1073851914	2
1073851915	2
1073851916	2
1073851917	2
1073851918	2
1073851919	2
1073851920	2
1073851921	2
1073851922	2
1073851923	2
1073851924	2
1073851925	2
1073851926	2
1073851927	2
1073851928	2
1073851929	2
1073851930	2
1073851931	2
1073851932	2
1073851933	2
1073851934	2
1073851935	2
1073851936	2
1073851937	2
1073851938	2
1073851939	2
1073851940	2
1073851941	2
1073851942	2
1073851943	2
1073851944	2
1073851945	2
1073851946	2
1073851947	2
1073851948	2
1073851949	2
1073851950	2
1073851951	2
1073851952	2
1073851953	2
1073851954	2
1073851955	2
1073851956	2
1073851957	2
1073851958	2
1073851959	2
1073851960	2
1073851961	2
1073851962	2
1073851963	2
1073851964	2
1073851965	2
1073851966	2
1073851967	2
1073851968	2
1073851969	2
1073851970	2
1073851971	2
1073851972	2
1073851973	2
1073851974	2
1073851975	2
1073851976	2
1073862360	2
1073862361	2
1073862362	2
1073862363	2
1073862364	2
1073862365	2
1073862366	2
1073862367	2
1073862368	2
1073862369	2
1073844867	2
1073844868	2
1073844869	2
1073844870	2
1073844871	2
1073844872	2
1073844873	2
1073844874	2
1073844875	2
1073844876	2
1073844877	2
1073844878	2
1073844879	2
1073844880	2
1073844881	2
1073844882	2
1073844883	2
1073844884	2
1073844885	2
1073844886	2
1073844887	2
1073844888	2
1073844889	2
1073844890	2
1073844891	2
1073844892	2
1073844893	2
1073844894	2
1073844895	2
1073844896	2
1073844897	2
1073844898	2
1073844899	2
1073844900	2
1073844901	2
1073844902	2
1073844903	2
1073844904	2
1073844905	2
1073844906	2
1073844907	2
1073844908	2
1073844909	2
1073844910	2
1073844911	2
1073844912	2
1073844913	2
1073844914	2
1073844915	2
1073844916	2
1073844917	2
1073844918	2
1073844919	2
1073844920	2
1073844921	2
1073844922	2
1073844923	2
1073844924	2
1073844925	2
1073844926	2
1073844927	2
1073844928	2
1073844929	2
1073844930	2
1073844931	2
1073844932	2
1073844933	2
1073844934	2
1073844935	2
1073844936	2
1073844937	2
1073844938	2
1073844939	2
1073844940	2
1073844941	2
1073844942	2
1073844943	2
1073844944	2
1073844945	2
1073844946	2
1073844947	2
1073844948	2
1073844949	2
1073844950	2
1073844951	2
1073844952	2
1073844953	2
1073844954	2
1073844955	2
1073844956	2
1073844957	2
1073844958	2
1073844959	2
1073844960	2
1073844961	2
1073844962	2
1073844963	2
1073844964	2
1073844965	2
1073844966	2
1073844967	2
1073844968	2
1073844969	2
1073844970	2
1073844971	2
1073844972	2
1073844973	2
1073844974	2
1073844975	2
1073844976	2
1073844977	2
1073844978	2
1073844979	2
1073844980	2
1073844981	2
1073844982	2
1073844983	2
1073844984	2
1073844985	2
1073844986	2
1073843272	2
1073843273	2
1073843274	2
1073843275	2
1073843276	2
1073843277	2
1073843278	2
1073843279	2
1073843280	2
1073843281	2
1073843282	2
1073843283	2
1073843284	2
1073843285	2
1073843286	2
1073839264	2
1073839265	2
1073839266	2
1073839267	2
1073839268	2
1073839269	2
1073839270	2
1073839271	2
1073839272	2
1073839273	2
1073839274	2
1073839275	2
1073839276	2
1073839277	2
1073839278	2
1073839279	2
1073839280	2
1073839281	2
1073839282	2
1073839283	2
1073839284	2
1073839285	2
1073839286	2
1073839287	2
1073839288	2
1073839289	2
1073839290	2
1073839291	2
1073839292	2
1073839293	2
1073839294	2
1073839295	2
1073839296	2
1073839297	2
1073839298	2
1073839299	2
1073839300	2
1073839301	2
1073839302	2
1073839303	2
1073839304	2
1073839305	2
1073839306	2
1073839307	2
1073839308	2
1073839309	2
1073839310	2
1073839311	2
1073839312	2
1073839313	2
1073839314	2
1073839315	2
1073839316	2
1073839317	2
1073839318	2
1073839319	2
1073839320	2
1073839321	2
1073839322	2
1073839323	2
1073839324	2
1073839325	2
1073839326	2
1073839327	2
1073839328	2
1073839329	2
1073839330	2
1073839331	2
1073839332	2
1073839333	2
1073839334	2
1073839335	2
1073839336	2
1073839337	2
1073839338	2
1073839339	2
1073839340	2
1073839341	2
1073839342	2
1073839343	2
1073839344	2
1073839345	2
1073839346	2
1073839347	2
1073839348	2
1073839349	2
1073839350	2
1073839351	2
1073839352	2
1073839353	2
1073839354	2
1073839355	2
1073839356	2
1073839357	2
1073839358	2
1073839359	2
1073839360	2
1073839361	2
1073839362	2
1073839363	2
1073839364	2
1073839365	2
1073839366	2
1073839367	2
1073839368	2
1073839369	2
1073839370	2
1073839371	2
1073839372	2
1073839373	2
1073839374	2
1073839375	2
1073839376	2
1073839377	2
1073839378	2
1073839379	2
1073839380	2
1073839381	2
1073839382	2
1073839383	2
1073838179	2
1073838180	2
1073838181	2
1073838182	2
1073838183	2
1073838184	2
1073838185	2
1073838186	2
1073838187	2
1073838188	2
1073838189	2
1073838190	2
1073838191	2
1073838192	2
1073838193	2
1073838194	2
1073838195	2
1073838196	2
1073838197	2
1073838198	2
1073838199	2
1073838200	2
1073838201	2
1073838202	2
