ROWID	_ImprintingType|INTEGER
1073920466	1
1073920467	1
1073920468	1
1073920469	1
1073920470	1
1073920471	1
1073920472	1
1073920473	1
1073920474	1
1073920475	1
1073920476	1
1073920477	1
1073920478	1
1073920479	1
1073920480	1
1073920481	1
1073920482	1
1073920483	1
1073920484	1
1073920485	1
1073920486	1
1073920487	1
1073920488	1
1073920489	1
1073920490	1
1073920491	1
1073920492	1
1073920493	1
1073920494	1
1073920495	1
1073920496	1
1073920497	1
1073920498	1
1073921261	1
1073921262	1
1073921263	1
1073921264	1
1073921265	1
1073921266	1
1073921267	1
1073921268	1
1073921269	1
1073921270	1
1073921271	1
1073921272	1
1073921273	1
1073921274	1
1073921275	1
1073921276	1
1073921277	1
1073921278	1
1073921279	1
1073921280	1
1073921281	1
1073921282	1
1073921283	1
1073921284	1
1073921285	1
1073921286	1
1073921287	1
1073921288	1
1073921289	1
1073921290	1
1073921291	1
1073921292	1
1073921293	1
