ROWID	_ImprintingType|INTEGER
536876130	0
536871136	1
536871137	1
536871138	1
536871139	1
536871140	1
536871141	1
536871142	1
536871143	1
536871144	1
536871145	1
536871146	1
536871147	1
536871148	1
536871149	1
536871150	1
536871151	1
536871152	1
536871153	1
536871154	1
536871659	1
536871660	1
536871661	1
536872767	1
536872768	1
536873856	1
536875283	1
536875284	1
536875944	1
536875945	1
536871155	2
536871156	2
536871157	2
536871158	2
536871159	2
536871160	2
536871161	2
536871162	2
536871163	2
536871164	2
536871165	2
536871166	2
536871167	2
536871168	2
536871169	2
536871170	2
536871171	2
536871172	2
536871173	2
536871174	2
536871175	2
536871176	2
536871177	2
536871178	2
536871179	2
536871662	2
536871663	2
536871664	2
536871665	2
536871666	2
536872769	2
536872770	2
536872771	2
536872772	2
536872773	2
536875278	2
536875279	2
536875280	2
536875281	2
536875282	2
536875939	2
536875940	2
536875941	2
536875942	2
536875943	2
