ROWID	_ItemID|INTEGER
1	69403649
2	77605888
3	370147840
4	370148352
5	370148864
6	370149376
7	370149888
8	370150400
9	370150912
10	370151424
11	374868000
12	374933536
13	374966304
14	374900768
15	375220256
16	370151936
17	374869024
18	374934560
19	374967328
20	374901792
21	375221280
28	268441355
29	268441356
34	268448353
35	268448354
37	268454431
38	268454432
39	268463030
40	268463031
22	1124804608
23	1124806656
24	1124808704
25	1124810752
26	268441355
27	268441356
30	1073763368
31	1073767168
32	1073770222
33	1073777060
36	1073791414
50	268442597
51	268442598
52	268442599
53	268442600
54	268442601
55	268442602
56	268442603
70	536873427
71	536873428
72	536873429
73	536873430
74	536873431
75	536873432
76	536873433
77	536873434
78	536873435
79	536873436
80	536873437
81	536873438
82	536873439
83	536873440
84	536873441
85	536873442
86	536873443
87	536873444
88	536873507
89	536873508
90	536873509
91	536873510
92	536873511
93	536873512
94	536873513
95	536875210
96	536875211
110	536875938
111	536875946
100	268442605
101	400431
102	400432
104	805308901
105	268454605
106	268455871
107	268456221
108	268456222
112	805310499
113	805310500
114	805310501
115	805310502
116	805310503
117	805310504
118	805310531
119	805310532
120	805310533
121	805310534
122	805310535
123	805310536
124	536878181
125	536879821
126	268484354
127	268484355
128	268484356
129	268484357
130	268484358
131	268484359
132	268484360
133	268484361
134	268484362
135	268484363
136	268484364
137	268484365
138	268484366
139	268484456
140	268484480
141	268484367
142	268484457
143	268484481
144	268484368
145	268484458
146	268484482
147	268484369
148	268484459
149	268484483
150	268484370
151	268484460
152	268484461
153	268484371
154	268484462
155	268484484
156	268484372
157	268484463
158	268484485
159	268484373
160	268484374
161	268484375
162	268484376
163	268484377
164	268484378
165	268484379
166	268484380
167	268484381
168	268484382
169	536881119
170	536881120
171	268488981
172	268488982
173	268488983
174	268488984
175	268488985
176	268488979
177	268488980
178	268488986
179	268488987
180	268489670
181	268489671
