ROWID	_NameID|INTEGER	_ItemCategoryType|INTEGER
1	1000047758	1
2	1000047759	2
3	1000047760	3
4	1000047761	4
5	1000047768	5
6	1000047763	6
7	1000047764	7
8	1000047765	8
9	1000047766	9
10	1000047767	10
11	1000047768	11
12	1000047769	12
13	1000047770	13
14	1000047771	14
15	1000047772	15
16	1000047773	16
17	1000048734	17
18	1000048734	18
19	1000048734	19
20	1000048734	20
21	1000047777	21
22	1000047778	22
23	1000047779	23
24	1000047780	24
25	1000047781	25
26	1000047782	26
27	1000047783	27
28	1000047784	28
29	1000047785	29
30	1000164223	30
31	1000168316	31
