ROWID	_ListID|INTEGER	_CompoundGroupID|INTEGER	_MainCategory|INTEGER	_CompoundGroupType|INTEGER	_PartsNameID|INTEGER	_SetID|INTEGER	_Level|INTEGER	_Rank|INTEGER	_JobClass|INTEGER	_ActivateLevel|INTEGER	_PreviewState|BOOLEAN	_PreviewDescription|INTEGER
1	1001	76965	0	9	2191	1000159678	95	5	1	95	false	1000041175
2	1001	76966	0	10	2193	1000159678	95	5	1	95	false	1000041175
3	1001	76967	0	11	2194	1000159678	95	5	1	95	false	1000041175
4	1001	76968	0	9	1000001883	1000159678	95	5	2	95	false	1000041175
5	1001	76969	0	10	1000001894	1000159678	95	5	2	95	false	1000041175
6	1001	76970	0	11	1000001889	1000159678	95	5	2	95	false	1000041175
7	1001	76971	0	9	2199	1000159678	95	5	3	95	false	1000041175
8	1001	76972	0	10	1000001913	1000159678	95	5	3	95	false	1000041175
9	1001	76973	0	11	2201	1000159678	95	5	3	95	false	1000041175
10	1001	76974	0	9	2202	1000159678	95	5	4	95	false	1000041175
11	1001	76975	0	10	2203	1000159678	95	5	4	95	false	1000041175
12	1001	76976	0	11	2204	1000159678	95	5	4	95	false	1000041175
13	1001	76977	0	9	1000032445	1000159678	95	5	5	95	false	1000041175
14	1001	76978	0	10	1000033312	1000159678	95	5	5	95	false	1000041175
15	1001	76979	0	9	8779	1000159678	95	5	6	95	false	1000041175
16	1001	76980	0	10	1000041665	1000159678	95	5	6	95	false	1000041175
17	1001	76981	0	9	2165	1000159678	95	5	7	95	false	1000041175
18	1001	76982	0	10	2166	1000159678	95	5	7	95	false	1000041175
19	1001	76964	0	9	1000072229	1000159678	95	5	8	95	false	1000041175
20	1001	76983	0	10	1000129390	1000159678	95	5	8	95	false	1000041175
21	1001	76984	0	9	1000088607	1000159678	95	5	9	95	false	1000041175
22	1001	76985	0	10	1000131680	1000159678	95	5	9	95	false	1000041175
23	1001	76986	0	6	2192	1000159678	95	5	1	95	false	1000041175
24	1001	76987	0	6	2207	1000159678	95	5	2	95	false	1000041175
25	1001	76988	0	6	1000001910	1000159678	95	5	3	95	false	1000041175
26	1001	76989	0	6	1000001944	1000159678	95	5	4	95	false	1000041175
27	1001	76990	0	6	1000033313	1000159678	95	5	5	95	false	1000041175
28	1001	76991	0	6	1000041666	1000159678	95	5	6	95	false	1000041175
29	1001	76992	0	6	2167	1000159678	95	5	7	95	false	1000041175
30	1001	76993	0	6	1000072230	1000159678	95	5	8	95	false	1000041175
31	1001	76994	0	6	1000088608	1000159678	95	5	9	95	false	1000041175
32	1001	76995	0	2	2222	1000159678	95	5	1	95	false	1000041175
33	1001	76996	0	0	2223	1000159678	95	5	1	95	false	1000041175
34	1001	76997	0	1	2224	1000159678	95	5	1	95	false	1000041175
35	1001	76998	0	3	40	1000159678	95	5	1	95	false	1000041175
36	1001	76999	0	4	2226	1000159678	95	5	1	95	false	1000041175
37	1001	76995	0	2	2222	1000159678	95	5	2	95	false	1000041175
38	1001	76996	0	0	2223	1000159678	95	5	2	95	false	1000041175
39	1001	76997	0	1	2224	1000159678	95	5	2	95	false	1000041175
40	1001	76998	0	3	40	1000159678	95	5	2	95	false	1000041175
41	1001	76999	0	4	2226	1000159678	95	5	2	95	false	1000041175
42	1001	76995	0	2	2222	1000159678	95	5	3	95	false	1000041175
43	1001	76996	0	0	2223	1000159678	95	5	3	95	false	1000041175
44	1001	76997	0	1	2224	1000159678	95	5	3	95	false	1000041175
45	1001	76998	0	3	40	1000159678	95	5	3	95	false	1000041175
46	1001	76999	0	4	2226	1000159678	95	5	3	95	false	1000041175
47	1001	76995	0	2	2222	1000159678	95	5	4	95	false	1000041175
48	1001	76996	0	0	2223	1000159678	95	5	4	95	false	1000041175
49	1001	76997	0	1	2224	1000159678	95	5	4	95	false	1000041175
50	1001	76998	0	3	40	1000159678	95	5	4	95	false	1000041175
51	1001	76999	0	4	2226	1000159678	95	5	4	95	false	1000041175
52	1001	76995	0	2	2222	1000159678	95	5	5	95	false	1000041175
53	1001	76996	0	0	2223	1000159678	95	5	5	95	false	1000041175
54	1001	76997	0	1	2224	1000159678	95	5	5	95	false	1000041175
55	1001	76998	0	3	40	1000159678	95	5	5	95	false	1000041175
56	1001	76999	0	4	2226	1000159678	95	5	5	95	false	1000041175
57	1001	76995	0	2	2222	1000159678	95	5	6	95	false	1000041175
58	1001	76996	0	0	2223	1000159678	95	5	6	95	false	1000041175
59	1001	76997	0	1	2224	1000159678	95	5	6	95	false	1000041175
60	1001	76998	0	3	40	1000159678	95	5	6	95	false	1000041175
61	1001	76999	0	4	2226	1000159678	95	5	6	95	false	1000041175
62	1001	76995	0	2	2222	1000159678	95	5	7	95	false	1000041175
63	1001	76996	0	0	2223	1000159678	95	5	7	95	false	1000041175
64	1001	76997	0	1	2224	1000159678	95	5	7	95	false	1000041175
65	1001	76998	0	3	40	1000159678	95	5	7	95	false	1000041175
66	1001	76999	0	4	2226	1000159678	95	5	7	95	false	1000041175
67	1001	76995	0	2	2222	1000159678	95	5	8	95	false	1000041175
68	1001	76996	0	0	2223	1000159678	95	5	8	95	false	1000041175
69	1001	76997	0	1	2224	1000159678	95	5	8	95	false	1000041175
70	1001	76998	0	3	40	1000159678	95	5	8	95	false	1000041175
71	1001	76999	0	4	2226	1000159678	95	5	8	95	false	1000041175
72	1001	76995	0	2	2222	1000159678	95	5	9	95	false	1000041175
73	1001	76996	0	0	2223	1000159678	95	5	9	95	false	1000041175
74	1001	76997	0	1	2224	1000159678	95	5	9	95	false	1000041175
75	1001	76998	0	3	40	1000159678	95	5	9	95	false	1000041175
76	1001	76999	0	4	2226	1000159678	95	5	9	95	false	1000041175
