ROWID	_ListID|INTEGER	_CompoundGroupID|INTEGER	_MainCategory|INTEGER	_CompoundGroupType|INTEGER	_PartsNameID|INTEGER	_SetID|INTEGER	_Level|INTEGER	_Rank|INTEGER	_JobClass|INTEGER	_ActivateLevel|INTEGER	_PreviewState|BOOLEAN	_PreviewDescription|INTEGER
930002	1001	268475273	2	13	2228	0	93	4	1	90	false	0
930003	1001	268475274	2	13	2228	0	93	4	1	90	false	0
930004	1001	268475275	2	13	2228	0	93	4	1	90	false	0
930005	1001	268475276	2	13	2228	0	93	4	1	90	false	0
930006	1001	268475277	2	13	2228	0	93	4	1	90	false	0
930007	1001	268475278	2	13	2228	0	93	4	1	90	false	0
930008	1001	268475279	2	13	2228	0	93	4	1	90	false	0
930009	1001	268475280	2	13	2228	0	93	4	1	90	false	0
930010	1001	268475281	2	13	2228	0	93	4	2	90	false	0
930011	1001	268475282	2	13	2228	0	93	4	2	90	false	0
930012	1001	268475283	2	13	2228	0	93	4	2	90	false	0
930013	1001	268475284	2	13	2228	0	93	4	2	90	false	0
930014	1001	268475285	2	13	2228	0	93	4	2	90	false	0
930015	1001	268475286	2	13	2228	0	93	4	2	90	false	0
930016	1001	268475287	2	13	2228	0	93	4	3	90	false	0
930017	1001	268475288	2	13	2228	0	93	4	3	90	false	0
930018	1001	268475289	2	13	2228	0	93	4	3	90	false	0
930019	1001	268475290	2	13	2228	0	93	4	3	90	false	0
930020	1001	268475291	2	13	2228	0	93	4	4	90	false	0
930021	1001	268475292	2	13	2228	0	93	4	4	90	false	0
930022	1001	268475293	2	13	2228	0	93	4	4	90	false	0
930023	1001	268475294	2	13	2228	0	93	4	4	90	false	0
930024	1001	268475295	2	13	2228	0	93	4	4	90	false	0
930025	1001	268475296	2	13	2228	0	93	4	4	90	false	0
930026	1001	268475297	2	13	2228	0	93	4	5	90	false	0
930027	1001	268475298	2	13	2228	0	93	4	5	90	false	0
930028	1001	268475299	2	13	2228	0	93	4	5	90	false	0
930029	1001	268475300	2	13	2228	0	93	4	5	90	false	0
930030	1001	268475301	2	13	2228	0	93	4	5	90	false	0
930031	1001	268475302	2	13	2228	0	93	4	5	90	false	0
930032	1001	268475303	2	13	2228	0	93	4	5	90	false	0
930033	1001	268475304	2	13	2228	0	93	4	6	90	false	0
930034	1001	268475305	2	13	2228	0	93	4	6	90	false	0
930035	1001	268475306	2	13	2228	0	93	4	6	90	false	0
930036	1001	268475307	2	13	2228	0	93	4	6	90	false	0
930037	1001	268475308	2	13	2228	0	93	4	6	90	false	0
930038	1001	268475309	2	13	2228	0	93	4	6	90	false	0
930039	1001	268475310	2	13	2228	0	93	4	6	90	false	0
930040	1001	268475311	2	13	2228	0	93	4	7	90	false	0
930041	1001	268475312	2	13	2228	0	93	4	7	90	false	0
930042	1001	268475313	2	13	2228	0	93	4	7	90	false	0
930043	1001	268475314	2	13	2228	0	93	4	7	90	false	0
930044	1001	268475315	2	13	2228	0	93	4	7	90	false	0
930045	1001	268475316	2	13	2228	0	93	4	8	90	false	0
930046	1001	268475317	2	13	2228	0	93	4	8	90	false	0
930047	1001	268475318	2	13	2228	0	93	4	8	90	false	0
930048	1001	268475319	2	13	2228	0	93	4	8	90	false	0
930049	1001	268475320	2	13	2228	0	93	4	9	90	false	0
930050	1001	268475321	2	13	2228	0	93	4	9	90	false	0
930051	1001	268475322	2	14	2227	0	93	4	1	90	false	0
930052	1001	268475323	2	14	2227	0	93	4	1	90	false	0
930053	1001	268475324	2	14	2227	0	93	4	1	90	false	0
930054	1001	268475325	2	14	2227	0	93	4	1	90	false	0
930055	1001	268475326	2	14	2227	0	93	4	1	90	false	0
930056	1001	268475327	2	14	2227	0	93	4	2	90	false	0
930057	1001	268475328	2	14	2227	0	93	4	2	90	false	0
930058	1001	268475329	2	14	2227	0	93	4	2	90	false	0
930059	1001	268475330	2	14	2227	0	93	4	2	90	false	0
930060	1001	268475331	2	14	2227	0	93	4	2	90	false	0
930061	1001	268475332	2	14	2227	0	93	4	3	90	false	0
930062	1001	268475333	2	14	2227	0	93	4	3	90	false	0
930063	1001	268475334	2	14	2227	0	93	4	3	90	false	0
930064	1001	268475335	2	14	2227	0	93	4	3	90	false	0
930065	1001	268475336	2	14	2227	0	93	4	4	90	false	0
930066	1001	268475337	2	14	2227	0	93	4	4	90	false	0
930067	1001	268475338	2	14	2227	0	93	4	4	90	false	0
930068	1001	268475339	2	14	2227	0	93	4	4	90	false	0
930069	1001	268475340	2	14	2227	0	93	4	4	90	false	0
930070	1001	268475341	2	14	2227	0	93	4	4	90	false	0
930071	1001	268475342	2	14	2227	0	93	4	5	90	false	0
930072	1001	268475343	2	14	2227	0	93	4	5	90	false	0
930073	1001	268475344	2	14	2227	0	93	4	5	90	false	0
930074	1001	268475345	2	14	2227	0	93	4	5	90	false	0
930075	1001	268475346	2	14	2227	0	93	4	6	90	false	0
930076	1001	268475347	2	14	2227	0	93	4	6	90	false	0
930077	1001	268475348	2	14	2227	0	93	4	6	90	false	0
930078	1001	268475349	2	14	2227	0	93	4	6	90	false	0
930079	1001	268475350	2	14	2227	0	93	4	7	90	false	0
930080	1001	268475351	2	14	2227	0	93	4	7	90	false	0
930081	1001	268475352	2	14	2227	0	93	4	7	90	false	0
930082	1001	268475353	2	14	2227	0	93	4	7	90	false	0
930083	1001	268475354	2	14	2227	0	93	4	8	90	false	0
930084	1001	268475355	2	14	2227	0	93	4	8	90	false	0
930085	1001	268475356	2	14	2227	0	93	4	9	90	false	0
930086	1001	268475357	2	14	2227	0	93	4	9	90	false	0
930087	1001	268475358	2	12	2229	0	93	4	1	90	false	0
930088	1001	268475359	2	12	2229	0	93	4	1	90	false	0
930089	1001	268475360	2	12	2229	0	93	4	1	90	false	0
930090	1001	268475361	2	12	2229	0	93	4	1	90	false	0
930091	1001	268475362	2	12	2229	0	93	4	1	90	false	0
930092	1001	268475363	2	12	2229	0	93	4	1	90	false	0
930093	1001	268475364	2	12	2229	0	93	4	1	90	false	0
930094	1001	268475365	2	12	2229	0	93	4	1	90	false	0
930095	1001	268475366	2	12	2229	0	93	4	1	90	false	0
930096	1001	268475367	2	12	2229	0	93	4	1	90	false	0
930097	1001	268475368	2	12	2229	0	93	4	1	90	false	0
930098	1001	268475369	2	12	2229	0	93	4	1	90	false	0
930099	1001	268475370	2	12	2229	0	93	4	1	90	false	0
930100	1001	268475371	2	12	2229	0	93	4	1	90	false	0
930101	1001	268475372	2	12	2229	0	93	4	1	90	false	0
930102	1001	268475373	2	12	2229	0	93	4	2	90	false	0
930103	1001	268475374	2	12	2229	0	93	4	2	90	false	0
930104	1001	268475375	2	12	2229	0	93	4	2	90	false	0
930105	1001	268475376	2	12	2229	0	93	4	2	90	false	0
930106	1001	268475377	2	12	2229	0	93	4	2	90	false	0
