ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_CompoundGroupID|INTEGER	_CompoundPotentialID|INTEGER	_Possibility|DOUBLE	_Cost|INTEGER	_TimeRequired|DOUBLE	_SuccessType1|INTEGER	_SuccessItemID1|INTEGER	_FailType1|INTEGER	_FailItemID1|INTEGER	_Slot1Id|INTEGER	_Slot1Num|INTEGER	_Slot2Id|INTEGER	_Slot2Num|INTEGER	_Slot3Id|INTEGER	_Slot3Num|INTEGER	_Slot4Id|INTEGER	_Slot4Num|INTEGER	_Slot5Id|INTEGER	_Slot5Num|INTEGER	_CompoundPreliminaryID|INTEGER	_Explanation|INTEGER	_Kind|INTEGER	_SuccessAwardItem1|INTEGER
268476012	0	0	0	0	1.0	26000	2000.0	-1	268476012	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476013	0	0	0	0	1.0	26000	2000.0	-1	268476013	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476014	0	0	0	0	1.0	26000	2000.0	-1	268476014	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476015	0	0	0	0	1.0	26000	2000.0	-1	268476015	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476016	0	0	0	0	1.0	26000	2000.0	-1	268476016	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476017	0	0	0	0	1.0	26000	2000.0	-1	268476017	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476018	0	0	0	0	1.0	26000	2000.0	-1	268476018	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476019	0	0	0	0	1.0	26000	2000.0	-1	268476019	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476020	0	0	0	0	1.0	26000	2000.0	-1	268476020	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476021	0	0	0	0	1.0	26000	2000.0	-1	268476021	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476066	0	0	0	0	1.0	26000	2000.0	-1	268476066	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476022	0	0	0	0	1.0	26000	2000.0	-1	268476022	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476023	0	0	0	0	1.0	26000	2000.0	-1	268476023	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476024	0	0	0	0	1.0	26000	2000.0	-1	268476024	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476025	0	0	0	0	1.0	26000	2000.0	-1	268476025	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476026	0	0	0	0	1.0	26000	2000.0	-1	268476026	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476027	0	0	0	0	1.0	26000	2000.0	-1	268476027	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476028	0	0	0	0	1.0	26000	2000.0	-1	268476028	-1	0	268466749	20	0	0	0	0	0	0	0	0	0	0	0	0
268476082	0	0	0	0	1.0	257500	2000.0	-1	268476082	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268476086	0	0	0	0	1.0	257500	2000.0	-1	268476086	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268476087	0	0	0	0	1.0	257500	2000.0	-1	268476087	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268476088	0	0	0	0	1.0	257500	2000.0	-1	268476088	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268476089	0	0	0	0	1.0	257500	2000.0	-1	268476089	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481453	0	0	0	0	1.0	52000	2000.0	-1	268481453	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481454	0	0	0	0	1.0	52000	2000.0	-1	268481454	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481455	0	0	0	0	1.0	52000	2000.0	-1	268481455	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481456	0	0	0	0	1.0	52000	2000.0	-1	268481456	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481457	0	0	0	0	1.0	52000	2000.0	-1	268481457	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481458	0	0	0	0	1.0	52000	2000.0	-1	268481458	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481459	0	0	0	0	1.0	52000	2000.0	-1	268481459	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481460	0	0	0	0	1.0	52000	2000.0	-1	268481460	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481461	0	0	0	0	1.0	52000	2000.0	-1	268481461	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481462	0	0	0	0	1.0	52000	2000.0	-1	268481462	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481463	0	0	0	0	1.0	52000	2000.0	-1	268481463	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481464	0	0	0	0	1.0	52000	2000.0	-1	268481464	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481465	0	0	0	0	1.0	52000	2000.0	-1	268481465	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268483982	0	0	0	0	1.0	52000	2000.0	-1	268483982	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268483985	0	0	0	0	1.0	52000	2000.0	-1	268483985	-1	0	268466749	35	0	0	0	0	0	0	0	0	0	0	0	0
268481515	0	0	0	0	1.0	515000	2000.0	-1	268481515	-1	0	268466749	100	0	0	0	0	0	0	0	0	0	0	0	0
268481516	0	0	0	0	1.0	515000	2000.0	-1	268481516	-1	0	268466749	100	0	0	0	0	0	0	0	0	0	0	0	0
268483692	0	0	0	0	1.0	515000	2000.0	-1	268483692	-1	0	268466749	100	0	0	0	0	0	0	0	0	0	0	0	0
268483693	0	0	0	0	1.0	515000	2000.0	-1	268483693	-1	0	268466749	100	0	0	0	0	0	0	0	0	0	0	0	0
268483716	0	0	0	0	1.0	515000	2000.0	-1	268483716	-1	0	268466749	100	0	0	0	0	0	0	0	0	0	0	0	0
268483717	0	0	0	0	1.0	515000	2000.0	-1	268483717	-1	0	268466749	100	0	0	0	0	0	0	0	0	0	0	0	0
268483765	0	0	0	0	1.0	515000	2000.0	-1	268483765	-1	0	268466749	100	0	0	0	0	0	0	0	0	0	0	0	0
268483766	0	0	0	0	1.0	515000	2000.0	-1	268483766	-1	0	268466749	100	0	0	0	0	0	0	0	0	0	0	0	0
268490254	0	0	0	0	1.0	10000	2000.0	-1	268490254	-1	0	268490369	300	268490370	200	268490367	1	0	0	0	0	0	0	0	0
268490259	0	0	0	0	1.0	10000	2000.0	-1	268490259	-1	0	268490369	300	268490370	200	268490367	1	0	0	0	0	0	0	0	0
268490260	0	0	0	0	1.0	10000	2000.0	-1	268490260	-1	0	268490369	300	268490370	200	268490367	1	0	0	0	0	0	0	0	0
268490815	0	0	0	0	1.0	485000000	2000.0	-1	268490815	-1	0	268484916	50	0	0	0	0	0	0	0	0	0	0	0	0
268495054	0	0	0	0	1.0	1	2000.0	-1	268495054	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268495055	0	0	0	0	1.0	1	2000.0	-1	268495055	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268495056	0	0	0	0	1.0	1	2000.0	-1	268495056	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268495057	0	0	0	0	1.0	1	2000.0	-1	268495057	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268495058	0	0	0	0	1.0	1	2000.0	-1	268495058	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268495059	0	0	0	0	1.0	1	2000.0	-1	268495059	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268495060	0	0	0	0	1.0	1	2000.0	-1	268495060	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268495061	0	0	0	0	1.0	1	2000.0	-1	268495061	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268495062	0	0	0	0	1.0	1	2000.0	-1	268495062	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268495063	0	0	0	0	1.0	1	2000.0	-1	268495063	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268495064	0	0	0	0	1.0	1	2000.0	-1	268495064	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268495065	0	0	0	0	1.0	1	2000.0	-1	268495065	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268495066	0	0	0	0	1.0	1	2000.0	-1	268495066	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
