ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_CompoundGroupID|INTEGER	_CompoundPotentialID|INTEGER	_Possibility|DOUBLE	_Cost|INTEGER	_TimeRequired|DOUBLE	_SuccessType1|INTEGER	_SuccessItemID1|INTEGER	_FailType1|INTEGER	_FailItemID1|INTEGER	_Slot1Id|INTEGER	_Slot1Num|INTEGER	_Slot2Id|INTEGER	_Slot2Num|INTEGER	_Slot3Id|INTEGER	_Slot3Num|INTEGER	_Slot4Id|INTEGER	_Slot4Num|INTEGER	_Slot5Id|INTEGER	_Slot5Num|INTEGER	_CompoundPreliminaryID|INTEGER	_Explanation|INTEGER	_Kind|INTEGER	_SuccessAwardItem1|INTEGER
73036	0	0	61051	0	1.0	104000	1500.0	0	6938	-1	0	268447154	13	268447158	5	0	0	0	0	0	0	-1	0	0	1610612898
73035	0	0	61051	0	1.0	78000	1500.0	0	6936	-1	0	268447153	13	268447157	5	0	0	0	0	0	0	-1	0	0	1610612897
73034	0	0	61051	0	1.0	52000	1500.0	0	6934	-1	0	268447152	13	268447156	5	0	0	0	0	0	0	-1	0	0	1610612896
73033	0	0	61051	0	1.0	26000	1500.0	0	6932	-1	0	268447151	13	268447155	5	0	0	0	0	0	0	-1	0	0	1610612895
73044	0	0	61051	0	1.0	104000	1500.0	0	6939	-1	0	268447154	13	268447158	5	0	0	0	0	0	0	-1	0	0	1610612906
73043	0	0	61051	0	1.0	78000	1500.0	0	6937	-1	0	268447153	13	268447157	5	0	0	0	0	0	0	-1	0	0	1610612905
73042	0	0	61051	0	1.0	52000	1500.0	0	6935	-1	0	268447152	13	268447156	5	0	0	0	0	0	0	-1	0	0	1610612904
73041	0	0	61051	0	1.0	26000	1500.0	0	6933	-1	0	268447151	13	268447155	5	0	0	0	0	0	0	-1	0	0	1610612903
74655	0	0	74600	0	1.0	312000	1500.0	0	7379	-1	0	268447154	26	268447158	6	268445505	1	0	0	0	0	-1	0	0	268454571
74656	0	0	74600	0	1.0	312000	1500.0	0	7377	-1	0	268447154	26	268447158	6	268445987	1	0	0	0	0	-1	0	0	268454570
74657	0	0	74600	0	1.0	312000	1500.0	0	7391	-1	0	268447154	26	268447158	6	268446017	1	0	0	0	0	-1	0	0	268454583
74658	0	0	74600	0	1.0	312000	1500.0	0	7385	-1	0	268447154	26	268447158	6	268446005	1	0	0	0	0	-1	0	0	268454577
74659	0	0	74600	0	1.0	312000	1500.0	0	7388	-1	0	268447154	26	268447158	6	268446011	1	0	0	0	0	-1	0	0	268454580
74660	0	0	74600	0	1.0	312000	1500.0	0	7383	-1	0	268447154	26	268447158	6	268446002	1	0	0	0	0	-1	0	0	268454575
74661	0	0	74600	0	1.0	312000	1500.0	0	7380	-1	0	268447154	26	268447158	6	268445996	1	0	0	0	0	-1	0	0	268454572
74662	0	0	74600	0	1.0	312000	1500.0	0	7378	-1	0	268447154	26	268447158	6	268445984	1	0	0	0	0	-1	0	0	268454569
74663	0	0	74600	0	1.0	312000	1500.0	0	7387	-1	0	268447154	26	268447158	6	268446008	1	0	0	0	0	-1	0	0	268454579
74664	0	0	74599	0	1.0	312000	1500.0	0	7392	-1	0	268447154	26	268447158	6	268446020	1	0	0	0	0	-1	0	0	268454584
