ROWID	_DropGroupID|INTEGER	_FTGBoostFlag|BOOLEAN	_Difficulty|INTEGER	_ExDifficulty|INTEGER	_DropID|INTEGER	_Expectation|DOUBLE	_PropertyDrop|BOOLEAN	_MinLevel|INTEGER	_MaxLevel|INTEGER	_PropertyDropCopy|BOOLEAN
78283528	92279683	false	1	0	92279686	0.072	false	0	0	false
78283547	92279683	false	1	0	92279689	0.012	false	0	0	false
78283550	92279683	false	1	0	92279690	10.6	false	0	0	false
78283529	92279683	false	3	0	92279686	0.092	false	0	0	false
78283548	92279683	false	3	0	92279689	0.036	false	0	0	false
78283551	92279683	false	3	0	92279690	20.8	false	0	0	false
78283530	92279683	false	4	0	92279686	0.132	false	0	0	false
78283549	92279683	false	4	0	92279689	0.06	false	0	0	false
78283552	92279683	false	4	0	92279690	30.0	false	0	0	false
78287967	92279683	false	1	0	92280599	0.01	false	0	0	false
78287968	92279683	false	3	0	92280599	0.01	false	0	0	false
78287969	92279683	false	4	0	92280599	0.01	false	0	0	false
78285133	92279683	false	1	0	92280251	1.0	false	0	0	false
78285134	92279683	false	3	0	92280251	1.0	false	0	0	false
78285135	92279683	false	4	0	92280251	1.0	false	0	0	false
78283553	92279691	false	1	0	92279694	1.0	false	0	0	false
78283554	92279691	false	3	0	92279694	1.0	false	0	0	false
78283555	92279691	false	4	0	92279694	1.0	false	0	0	false
78283556	92279695	false	1	0	92279696	2.0	false	0	0	false
78283559	92279695	false	1	0	92279680	1.0	false	0	0	false
78283562	92279695	false	1	0	92279681	2.0	false	0	0	false
78283557	92279695	false	3	0	92279696	2.0	false	0	0	false
78283560	92279695	false	3	0	92279680	1.0	false	0	0	false
78283563	92279695	false	3	0	92279681	2.0	false	0	0	false
78283558	92279695	false	4	0	92279696	2.0	false	0	0	false
78283561	92279695	false	4	0	92279680	1.0	false	0	0	false
78283564	92279695	false	4	0	92279681	2.0	false	0	0	false
78284520	92280095	false	0	0	92280096	1.0	true	95	95	false
78284547	92280095	false	0	0	92280100	1.0	true	95	95	false
78287952	92280095	false	0	0	92280584	1.0	true	95	95	false
78284548	92280098	false	0	0	92280096	1.0	true	95	95	false
78284549	92280098	false	0	0	92280100	1.0	true	95	95	false
117190903	117190904	false	0	0	83886084	3.8	false	0	0	false
78287456	92280461	false	4	13	92280473	0.111183174	false	95	95	false
78287457	92280462	false	4	13	92280473	0.13897897	false	95	95	false
78287458	92280463	false	4	13	92280473	0.16677476	false	95	95	false
78287459	92280464	false	4	13	92280473	0.16677476	false	95	95	false
78287460	92280465	false	4	13	92280473	0.19457056	false	95	95	false
78287461	92280466	false	4	13	92280473	0.111183174	false	95	95	false
78287462	92280467	false	4	13	92280473	0.13897897	false	95	95	false
78287463	92280468	false	4	13	92280473	0.16677476	false	95	95	false
78287464	92280469	false	4	13	92280473	0.16677476	false	95	95	false
