ROWID	_DropGroupID|INTEGER	_FTGBoostFlag|BOOLEAN	_Difficulty|INTEGER	_ExDifficulty|INTEGER	_DropID|INTEGER	_Expectation|DOUBLE	_PropertyDrop|BOOLEAN	_MinLevel|INTEGER	_MaxLevel|INTEGER	_PropertyDropCopy|BOOLEAN
300001	101	false	0	0	4000	1.0	false	0	0	false
300002	101	false	1	0	4000	1.0	false	0	0	false
300003	101	false	2	0	4000	1.0	false	0	0	false
300004	101	false	3	0	4000	1.0	false	0	0	false
300005	101	false	4	0	4000	1.0	false	0	0	false
300009	281	false	0	0	6901	1.0	false	0	0	false
300010	281	false	0	0	7417	0.0	false	0	0	false
300011	281	false	0	0	7418	0.0	false	0	0	false
300012	282	false	0	0	6902	1.0	false	0	0	false
300013	282	false	0	0	7420	0.0	false	0	0	false
300014	282	false	0	0	7421	0.0	false	0	0	false
300021	283	false	0	0	7753	1.0	false	0	0	false
300022	284	false	0	0	7754	1.0	false	0	0	false
300023	285	false	0	0	7755	1.0	false	0	0	false
300024	286	false	0	0	7891	1.0	false	0	0	false
300025	286	false	0	0	7892	1.0	false	0	0	false
300026	287	false	0	0	7892	1.0	false	0	0	false
300030	278	false	0	0	9701	1.0	false	0	0	false
300031	278	false	0	0	9701	1.0	false	0	0	false
300032	278	false	0	0	9701	1.0	false	0	0	false
300033	278	false	0	0	9701	1.0	false	0	0	false
300034	278	false	0	0	9701	1.0	false	0	0	false
300035	279	false	0	0	9701	1.0	false	0	0	false
300036	279	false	0	0	9701	1.0	false	0	0	false
300037	279	false	0	0	9701	1.0	false	0	0	false
300038	279	false	0	0	9701	1.0	false	0	0	false
300039	279	false	0	0	9701	1.0	false	0	0	false
300040	279	false	0	0	9701	1.0	false	0	0	false
300041	279	false	0	0	9701	1.0	false	0	0	false
300042	280	false	0	0	9701	1.0	false	0	0	false
300043	280	false	0	0	9701	1.0	false	0	0	false
300044	280	false	0	0	9701	1.0	false	0	0	false
300045	280	false	0	0	9701	1.0	false	0	0	false
300046	280	false	0	0	9701	1.0	false	0	0	false
300047	280	false	0	0	9701	1.0	false	0	0	false
300048	280	false	0	0	9701	1.0	false	0	0	false
300049	280	false	0	0	9701	1.0	false	0	0	false
300050	280	false	0	0	9701	1.0	false	0	0	false
300051	280	false	0	0	9701	1.0	false	0	0	false
300101	11	false	0	0	11	1.0	false	0	0	false
300102	11	false	1	0	11	1.0	false	0	0	false
300103	11	false	2	0	11	1.0	false	0	0	false
300104	11	false	3	0	11	1.0	false	0	0	false
300105	11	false	4	0	11	1.0	false	0	0	false
300201	51	false	0	0	51	1.0	false	0	0	false
300202	51	false	1	0	51	1.0	false	0	0	false
300203	51	false	2	0	51	1.0	false	0	0	false
300204	51	false	3	0	51	1.0	false	0	0	false
300205	51	false	4	0	51	1.0	false	0	0	false
300301	52	false	0	0	52	1.0	false	0	0	false
300302	52	false	1	0	52	1.0	false	0	0	false
300303	52	false	2	0	52	1.0	false	0	0	false
300304	52	false	3	0	52	1.0	false	0	0	false
300305	52	false	4	0	52	1.0	false	0	0	false
300401	11001	false	0	0	1022	1.0	false	0	0	false
300402	11001	false	1	0	1022	1.0	false	0	0	false
300403	11001	false	2	0	1022	1.0	false	0	0	false
300404	11001	false	3	0	1022	1.0	false	0	0	false
300405	11001	false	4	0	1022	1.0	false	0	0	false
300501	31001	false	0	0	37	1.0	false	0	0	false
300601	31005	false	0	0	46	1.0	false	0	0	false
300602	31005	false	1	0	46	1.0	false	0	0	false
300603	31005	false	2	0	46	1.0	false	0	0	false
300604	31005	false	3	0	46	1.0	false	0	0	false
300605	31005	false	4	0	46	1.0	false	0	0	false
300621	31006	false	0	0	47	1.0	false	0	0	false
300622	31006	false	1	0	47	1.0	false	0	0	false
300623	31006	false	2	0	47	1.0	false	0	0	false
300624	31006	false	3	0	47	1.0	false	0	0	false
300625	31006	false	4	0	47	1.0	false	0	0	false
300631	31007	false	0	0	48	1.0	false	0	0	false
300632	31007	false	1	0	48	1.0	false	0	0	false
300633	31007	false	2	0	48	1.0	false	0	0	false
300634	31007	false	3	0	48	1.0	false	0	0	false
300635	31007	false	4	0	48	1.0	false	0	0	false
300701	17001	false	0	0	7011	1.0	false	0	0	false
300702	17001	false	0	0	7012	1.0	false	0	0	false
300703	17001	false	0	0	7013	1.0	false	0	0	false
300704	17001	false	0	0	7014	1.0	false	0	0	false
300705	17001	false	0	0	7015	1.0	false	0	0	false
300706	17001	false	1	0	7011	1.0	false	0	0	false
300707	17001	false	1	0	7012	1.0	false	0	0	false
300708	17001	false	1	0	7013	1.0	false	0	0	false
300709	17001	false	1	0	7014	1.0	false	0	0	false
300710	17001	false	1	0	7015	1.0	false	0	0	false
300711	17001	false	2	0	7011	1.0	false	0	0	false
300712	17001	false	2	0	7012	1.0	false	0	0	false
300713	17001	false	2	0	7013	1.0	false	0	0	false
300714	17001	false	2	0	7014	1.0	false	0	0	false
300715	17001	false	2	0	7015	1.0	false	0	0	false
300716	17001	false	3	0	7011	1.0	false	0	0	false
300717	17001	false	3	0	7012	1.0	false	0	0	false
300718	17001	false	3	0	7013	1.0	false	0	0	false
300719	17001	false	3	0	7014	1.0	false	0	0	false
300720	17001	false	3	0	7015	1.0	false	0	0	false
300721	17001	false	4	0	7011	1.0	false	0	0	false
300722	17001	false	4	0	7012	1.0	false	0	0	false
300723	17001	false	4	0	7013	1.0	false	0	0	false
300724	17001	false	4	0	7014	1.0	false	0	0	false
300725	17001	false	4	0	7015	1.0	false	0	0	false
300801	17002	false	0	0	7031	1.0	false	0	0	false
300802	17002	false	0	0	7032	1.0	false	0	0	false
300803	17002	false	0	0	7033	1.0	false	0	0	false
300804	17002	false	0	0	7034	1.0	false	0	0	false
300805	17002	false	0	0	7035	1.0	false	0	0	false
300806	17002	false	1	0	7031	1.0	false	0	0	false
300807	17002	false	1	0	7032	1.0	false	0	0	false
300808	17002	false	1	0	7033	1.0	false	0	0	false
300809	17002	false	1	0	7034	1.0	false	0	0	false
300810	17002	false	1	0	7035	1.0	false	0	0	false
300811	17002	false	2	0	7031	1.0	false	0	0	false
300812	17002	false	2	0	7032	1.0	false	0	0	false
300813	17002	false	2	0	7033	1.0	false	0	0	false
300814	17002	false	2	0	7034	1.0	false	0	0	false
300815	17002	false	2	0	7035	1.0	false	0	0	false
300816	17002	false	3	0	7031	1.0	false	0	0	false
300817	17002	false	3	0	7032	1.0	false	0	0	false
