ROWID	_DropGroupID|INTEGER	_FTGBoostFlag|BOOLEAN	_Difficulty|INTEGER	_ExDifficulty|INTEGER	_DropID|INTEGER	_Expectation|DOUBLE	_PropertyDrop|BOOLEAN	_MinLevel|INTEGER	_MaxLevel|INTEGER	_PropertyDropCopy|BOOLEAN
117191075	9735	true	4	0	11487	9.9E-4	true	0	0	false
117191567	9735	true	4	0	10030	0.003	true	0	0	false
117191568	9735	true	4	0	11832	1.0	true	0	0	false
117192234	9735	true	4	0	12303	0.0098	true	0	0	false
117192235	9735	true	4	1	12303	9.8E-4	true	0	0	false
117192236	9735	true	4	2	12303	0.002058	true	0	0	false
117192237	9735	true	4	3	12303	0.0032438	true	0	0	false
117192238	9735	true	4	4	12303	0.00454818	true	0	0	false
117192239	9735	true	4	5	12303	0.005982998	true	0	0	false
117192240	9735	true	4	6	12303	0.010717898	true	0	0	false
117192241	9735	true	4	7	12303	0.016873267	true	0	0	false
117192242	9735	true	4	8	12303	0.024875246	true	0	0	false
117192243	9735	true	4	9	12303	0.03527782	true	0	0	false
117192244	9735	true	4	10	12303	0.048801165	true	0	0	false
117192245	9735	true	4	11	12303	0.066381514	true	0	0	false
117192246	9735	true	4	12	12303	0.08923597	true	0	0	false
117192247	9735	true	4	13	12303	0.11894676	true	0	0	false
117192248	9735	true	4	14	12303	0.1575708	true	0	0	false
117192249	9735	true	4	15	12303	0.20393251	true	0	0	false
117192250	9735	true	4	16	12303	0.25822055	true	0	0	false
117192251	9735	true	4	17	12303	0.3201333	true	0	0	false
117192252	9735	true	4	18	12303	0.38875943	true	0	0	false
117192253	9735	true	4	19	12303	0.46249294	true	0	0	false
117192254	9735	true	4	20	12303	0.5390044	true	0	0	false
117192255	9735	true	4	21	12303	0.6152882	true	0	0	false
117193953	9735	true	4	22	12303	0.68779844	true	0	0	false
117192256	9735	true	4	15	12304	0.001	true	0	0	false
117192257	9735	true	4	16	12304	0.00101	true	0	0	false
117192258	9735	true	4	17	12304	0.001030301	true	0	0	false
117192259	9735	true	4	18	12304	0.0010615202	true	0	0	false
117192260	9735	true	4	19	12304	0.0011046221	true	0	0	false
117192261	9735	true	4	20	12304	0.0011609689	true	0	0	false
117192262	9735	true	4	21	12304	0.0012323919	true	0	0	false
117193954	9735	true	4	22	12304	0.0012951267	true	0	0	false
117191694	10024	true	4	0	12057	1.0	true	0	0	false
117192304	10024	true	4	10	12389	0.007	true	0	0	false
117192263	10024	true	4	11	12389	0.007	true	0	0	false
117192264	10024	true	4	12	12389	0.007	true	0	0	false
117192265	10024	true	4	13	12389	0.007	true	0	0	false
117192266	10024	true	4	14	12389	0.007	true	0	0	false
117192267	10024	true	4	15	12389	0.007	true	0	0	false
117192268	10024	true	4	16	12389	0.007	true	0	0	false
117192269	10024	true	4	17	12389	0.007	true	0	0	false
117192270	10024	true	4	18	12389	0.007	true	0	0	false
117192271	10024	true	4	19	12389	0.007	true	0	0	false
117192272	10024	true	4	20	12389	0.007	true	0	0	false
117192273	10024	true	4	21	12389	0.007	true	0	0	false
117193955	10024	true	4	22	12389	0.007	true	0	0	false
