ROWID	_DropGroupID|INTEGER	_FTGBoostFlag|BOOLEAN	_Difficulty|INTEGER	_ExDifficulty|INTEGER	_DropID|INTEGER	_Expectation|DOUBLE	_PropertyDrop|BOOLEAN	_MinLevel|INTEGER	_MaxLevel|INTEGER	_PropertyDropCopy|BOOLEAN
117190989	11458	true	1	0	13262	1.0	true	95	95	false
117190992	11458	false	1	0	13267	1.0	true	95	95	false
117193471	11458	false	1	5	13267	1.0	true	95	95	false
117193472	11458	false	1	6	13268	1.0	true	95	95	false
117193473	11458	false	1	7	13269	1.0	true	95	95	false
117193474	11458	false	1	8	13270	1.0	true	95	95	false
117193475	11458	false	1	9	13271	1.0	true	95	95	false
117193476	11458	false	1	10	13272	1.0	true	95	95	false
117193477	11458	false	1	11	13272	1.0	true	95	95	false
117193478	11458	false	1	12	13272	1.0	true	95	95	false
117193479	11458	false	1	13	13272	1.0	true	95	95	false
117193480	11458	false	1	14	13273	1.0	true	95	95	false
117193481	11458	false	1	15	13273	1.0	true	95	95	false
117193482	11458	false	1	16	13273	1.0	true	95	95	false
117193483	11458	false	1	17	13273	1.0	true	95	95	false
117193484	11458	false	1	18	13274	1.0	true	95	95	false
117193485	11458	false	1	19	13274	1.0	true	95	95	false
117193486	11458	false	1	20	13274	1.0	true	95	95	false
117193487	11458	false	1	21	13274	1.0	true	95	95	false
117193488	11458	false	1	22	13275	1.0	true	95	95	false
117191061	11458	true	1	0	11486	1.0	true	95	95	false
117191204	11458	true	1	5	11760	1.0	true	95	95	false
117191205	11458	true	1	6	11761	1.0	true	95	95	false
117191206	11458	true	1	7	11762	1.0	true	95	95	false
117191207	11458	true	1	8	11763	1.0	true	95	95	false
117191208	11458	true	1	9	11764	1.0	true	95	95	false
117191209	11458	true	1	10	11765	1.0	true	95	95	false
117191210	11458	true	1	11	11766	1.0	true	95	95	false
117191211	11458	true	1	12	11767	1.0	true	95	95	false
117191212	11458	true	1	13	11768	1.0	true	95	95	false
117191213	11458	true	1	14	11769	1.0	true	95	95	false
117191337	11458	true	1	15	11770	1.0	true	95	95	false
117191338	11458	true	1	16	11771	1.0	true	95	95	false
117191339	11458	true	1	17	11772	1.0	true	95	95	false
117191340	11458	true	1	18	11773	1.0	true	95	95	false
117191341	11458	true	1	19	11774	1.0	true	95	95	false
117191342	11458	true	1	20	11775	1.0	true	95	95	false
117191343	11458	true	1	21	11776	1.0	true	95	95	false
117194606	11458	true	1	22	13576	1.0	true	95	95	false
117191904	11458	true	1	0	12259	1.0	true	95	95	false
117191905	11458	true	1	1	12260	1.0	true	95	95	false
117191906	11458	true	1	2	12261	1.0	true	95	95	false
117191907	11458	true	1	3	12262	1.0	true	95	95	false
117191908	11458	true	1	4	12263	1.0	true	95	95	false
117191909	11458	true	1	5	12264	1.0	true	95	95	false
117191910	11458	true	1	6	12265	1.0	true	95	95	false
117191911	11458	true	1	7	12266	1.0	true	95	95	false
117191912	11458	true	1	8	12267	1.0	true	95	95	false
117191913	11458	true	1	9	12268	1.0	true	95	95	false
117191914	11458	true	1	10	12269	1.0	true	95	95	false
117191915	11458	true	1	11	12270	1.0	true	95	95	false
117191916	11458	true	1	12	12271	1.0	true	95	95	false
117191917	11458	true	1	13	12272	1.0	true	95	95	false
117191918	11458	true	1	14	12273	1.0	true	95	95	false
117191919	11458	true	1	15	12274	1.0	true	95	95	false
117191920	11458	true	1	16	12275	1.0	true	95	95	false
117191921	11458	true	1	17	12276	1.0	true	95	95	false
117191922	11458	true	1	18	12277	1.0	true	95	95	false
117191923	11458	true	1	19	12278	1.0	true	95	95	false
117191924	11458	true	1	20	12279	1.0	true	95	95	false
117191925	11458	true	1	21	12280	1.0	true	95	95	false
117194607	11458	true	1	22	13577	1.0	true	95	95	false
117194608	11458	true	1	10	13578	1.0	true	95	95	false
117194609	11458	true	1	11	13579	1.0	true	95	95	false
117194610	11458	true	1	12	13580	1.0	true	95	95	false
117194611	11458	true	1	13	13581	1.0	true	95	95	false
117194612	11458	true	1	14	13582	1.0	true	95	95	false
117194613	11458	true	1	15	13583	1.0	true	95	95	false
117194614	11458	true	1	16	13584	1.0	true	95	95	false
117194615	11458	true	1	17	13585	1.0	true	95	95	false
117194616	11458	true	1	18	13586	1.0	true	95	95	false
117194617	11458	true	1	19	13587	1.0	true	95	95	false
117194618	11458	true	1	20	13588	1.0	true	95	95	false
117194619	11458	true	1	21	13589	1.0	true	95	95	false
117194620	11458	true	1	22	13590	1.0	true	95	95	false
117190993	11459	false	1	0	13262	1.0	true	95	95	false
117190995	11459	false	1	0	11795	1.0	true	95	95	false
117190999	11459	false	1	0	13276	1.0	true	95	95	false
117193489	11459	false	1	5	13267	1.0	true	95	95	false
117193490	11459	false	1	6	13268	1.0	true	95	95	false
117193491	11459	false	1	7	13269	1.0	true	95	95	false
117193492	11459	false	1	8	13270	1.0	true	95	95	false
117193493	11459	false	1	9	13271	1.0	true	95	95	false
117193494	11459	false	1	10	13272	1.0	true	95	95	false
117193495	11459	false	1	11	13272	1.0	true	95	95	false
117193496	11459	false	1	12	13272	1.0	true	95	95	false
117193497	11459	false	1	13	13272	1.0	true	95	95	false
117193498	11459	false	1	14	13273	1.0	true	95	95	false
117193499	11459	false	1	15	13273	1.0	true	95	95	false
117193500	11459	false	1	16	13273	1.0	true	95	95	false
117193501	11459	false	1	17	13273	1.0	true	95	95	false
117193502	11459	false	1	18	13274	1.0	true	95	95	false
