ROWID	_GoldMin|INTEGER	_GoldMax|INTEGER	_GoldProb|INTEGER	_GoldLumpMin|INTEGER	_GoldLumpMax|INTEGER	_IsGroup1|BOOLEAN	_Item1Index|INTEGER	_Item1Prob|INTEGER	_Item1Info|INTEGER	_IsGroup2|BOOLEAN	_Item2Index|INTEGER	_Item2Prob|INTEGER	_Item2Info|INTEGER	_IsGroup3|BOOLEAN	_Item3Index|INTEGER	_Item3Prob|INTEGER	_Item3Info|INTEGER	_IsGroup4|BOOLEAN	_Item4Index|INTEGER	_Item4Prob|INTEGER	_Item4Info|INTEGER	_IsGroup5|BOOLEAN	_Item5Index|INTEGER	_Item5Prob|INTEGER	_Item5Info|INTEGER	_IsGroup6|BOOLEAN	_Item6Index|INTEGER	_Item6Prob|INTEGER	_Item6Info|INTEGER	_IsGroup7|BOOLEAN	_Item7Index|INTEGER	_Item7Prob|INTEGER	_Item7Info|INTEGER	_IsGroup8|BOOLEAN	_Item8Index|INTEGER	_Item8Prob|INTEGER	_Item8Info|INTEGER	_IsGroup9|BOOLEAN	_Item9Index|INTEGER	_Item9Prob|INTEGER	_Item9Info|INTEGER	_IsGroup10|BOOLEAN	_Item10Index|INTEGER	_Item10Prob|INTEGER	_Item10Info|INTEGER	_IsGroup11|BOOLEAN	_Item11Index|INTEGER	_Item11Prob|INTEGER	_Item11Info|INTEGER	_IsGroup12|BOOLEAN	_Item12Index|INTEGER	_Item12Prob|INTEGER	_Item12Info|INTEGER	_IsGroup13|BOOLEAN	_Item13Index|INTEGER	_Item13Prob|INTEGER	_Item13Info|INTEGER	_IsGroup14|BOOLEAN	_Item14Index|INTEGER	_Item14Prob|INTEGER	_Item14Info|INTEGER	_IsGroup15|BOOLEAN	_Item15Index|INTEGER	_Item15Prob|INTEGER	_Item15Info|INTEGER	_IsGroup16|BOOLEAN	_Item16Index|INTEGER	_Item16Prob|INTEGER	_Item16Info|INTEGER	_IsGroup17|BOOLEAN	_Item17Index|INTEGER	_Item17Prob|INTEGER	_Item17Info|INTEGER	_IsGroup18|BOOLEAN	_Item18Index|INTEGER	_Item18Prob|INTEGER	_Item18Info|INTEGER	_IsGroup19|BOOLEAN	_Item19Index|INTEGER	_Item19Prob|INTEGER	_Item19Info|INTEGER	_IsGroup20|BOOLEAN	_Item20Index|INTEGER	_Item20Prob|INTEGER	_Item20Info|INTEGER
166000000	0	0	0	0	0	false	268634176	103448281	1	false	268634944	206896551	1	false	268635008	206896551	1	false	268634368	51724137	1	false	268634304	51724137	1	false	268635136	103448275	1	false	268634432	275862068	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166000800	0	0	0	0	0	false	269682752	103448281	1	false	269683520	206896551	1	false	269683584	206896551	1	false	269682944	51724137	1	false	269682880	51724137	1	false	269683136	275862068	1	false	269683712	103448275	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166000400	0	0	0	0	0	false	269158784	275862074	1	false	269158464	103448275	1	false	269159232	206896551	1	false	269159296	206896551	1	false	269158656	51724137	1	false	269158592	51724137	1	false	269159424	103448275	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166001200	0	0	0	0	0	false	270207360	222222225	1	false	270207040	83333333	1	false	270207872	166666666	1	false	270207232	41666666	1	false	270207168	41666666	1	false	270207424	222222222	1	false	270207296	222222222	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166006400	0	0	0	0	0	false	277023296	230769233	1	false	277023232	230769230	1	false	277023872	115384615	1	false	277023744	115384615	1	false	277023360	307692307	1	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166006800	0	0	0	0	0	false	277547840	187500000	1	false	277547584	187500000	1	false	277547520	187500000	1	false	277548160	93750000	1	false	277548032	93750000	1	false	277547648	250000000	1	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166007200	0	0	0	0	0	false	278072128	187500000	1	false	278071872	187500000	1	false	278071808	187500000	1	false	278072448	93750000	1	false	278072320	93750000	1	false	278071936	250000000	1	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166007600	0	0	0	0	0	false	278596416	187500000	1	false	278596480	187500000	1	false	278596160	187500000	1	false	278596096	187500000	1	false	278596224	250000000	1	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166008000	0	0	0	0	0	false	279120704	222222223	1	false	279120768	222222222	1	false	279120448	222222222	1	false	279120384	222222222	1	false	279121088	111111111	1	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166021600	0	0	0	0	0	false	270731328	103448281	1	false	270732096	206896551	1	false	270732160	206896551	1	false	270731520	51724137	1	false	270731456	51724137	1	false	270732352	103448275	1	false	270731584	275862068	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166022000	0	0	0	0	0	false	271255616	103448281	1	false	271256384	206896551	1	false	271256448	206896551	1	false	271255808	51724137	1	false	271255744	51724137	1	false	271256640	103448275	1	false	271255872	275862068	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166022400	0	0	0	0	0	false	271779904	103448281	1	false	271780672	206896551	1	false	271780736	206896551	1	false	271780096	51724137	1	false	271780032	51724137	1	false	271780928	103448275	1	false	271780160	275862068	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166022800	0	0	0	0	0	false	272304192	120000000	1	false	272305024	240000000	1	false	272305088	80000000	1	false	272304384	60000000	1	false	272304320	60000000	1	false	272305216	120000000	1	false	272304448	320000000	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166028400	0	0	0	0	0	false	279644736	230769233	1	false	279644672	230769230	1	false	279645248	115384615	1	false	279645312	115384615	1	false	279644800	307692307	1	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166028800	0	0	0	0	0	false	280169344	187500000	1	false	280169024	187500000	1	false	280168960	187500000	1	false	280169536	93750000	1	false	280169600	93750000	1	false	280169088	250000000	1	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166029200	0	0	0	0	0	false	280693632	187500000	1	false	280693312	187500000	1	false	280693248	187500000	1	false	280693824	93750000	1	false	280693888	93750000	1	false	280693376	250000000	1	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166029600	0	0	0	0	0	false	281217920	230769233	1	false	281217600	230769230	1	false	281217536	230769230	1	false	281217664	307692307	1	true	0	0	0	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166030000	0	0	0	0	0	false	281742208	285714288	1	false	281741888	285714285	1	false	281741824	285714285	1	false	281742528	142857142	1	true	0	0	0	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166063200	0	0	0	0	0	false	272828480	103448281	1	false	272829248	206896551	1	false	272829312	206896551	1	false	272828672	51724137	1	false	272828608	51724137	1	false	272828864	275862068	1	false	272829440	103448275	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166063600	0	0	0	0	0	false	273353088	275862074	1	false	273352768	103448275	1	false	273353536	206896551	1	false	273353600	206896551	1	false	273352960	51724137	1	false	273352896	51724137	1	false	273353728	103448275	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166064000	0	0	0	0	0	false	273877056	103448281	1	false	273877824	206896551	1	false	273877888	206896551	1	false	273877248	51724137	1	false	273877184	51724137	1	false	273878144	103448275	1	false	273877312	275862068	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166064400	0	0	0	0	0	false	274401344	115384619	1	false	274402112	230769230	1	false	274402176	230769230	1	false	274401536	57692307	1	false	274401472	57692307	1	false	274401408	192307692	1	false	274402304	115384615	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166072400	0	0	0	0	0	false	284887744	307692310	1	false	284887616	230769230	1	false	284887552	230769230	1	false	284888192	115384615	1	false	284888064	115384615	1	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166072800	0	0	0	0	0	false	285412032	210526320	1	false	285412160	157894736	1	false	285412224	157894736	1	false	285411904	157894736	1	false	285411840	157894736	1	false	285412480	78947368	1	false	285412352	78947368	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166073200	0	0	0	0	0	false	285936320	210526320	1	false	285936448	157894736	1	false	285936512	157894736	1	false	285936192	157894736	1	false	285936128	157894736	1	false	285936768	78947368	1	false	285936640	78947368	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166073600	0	0	0	0	0	false	286460736	187500000	1	false	286460800	187500000	1	false	286460480	187500000	1	false	286460416	187500000	1	false	286460672	250000000	1	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166074000	0	0	0	0	0	false	286985024	222222223	1	false	286985088	222222222	1	false	286984768	222222222	1	false	286984704	222222222	1	false	286985408	111111111	1	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166045200	0	0	0	0	0	false	275449920	103448281	1	false	275450688	206896551	1	false	275450752	206896551	1	false	275450112	51724137	1	false	275450048	51724137	1	false	275451008	103448275	1	false	275450176	275862068	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166045600	0	0	0	0	0	false	275974208	103448281	1	false	275974976	206896551	1	false	275975040	206896551	1	false	275974400	51724137	1	false	275974336	51724137	1	false	275975296	103448275	1	false	275974464	275862068	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166046000	0	0	0	0	0	false	276498496	103448281	1	false	276499264	206896551	1	false	276499328	206896551	1	false	276498688	51724137	1	false	276498624	51724137	1	false	276499584	103448275	1	false	276498752	275862068	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166044800	0	0	0	0	0	false	274925632	120000000	1	false	274926464	240000000	1	false	274926528	80000000	1	false	274925824	60000000	1	false	274925760	60000000	1	false	274926720	120000000	1	false	274925888	320000000	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166050400	0	0	0	0	0	false	282266176	260869567	1	false	282266112	260869565	1	false	282266368	347826086	1	false	282266752	130434782	1	true	0	0	0	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166050800	0	0	0	0	0	false	282790784	206896555	1	false	282790464	206896551	1	false	282790400	206896551	1	false	282790656	275862068	1	false	282791040	103448275	1	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166051200	0	0	0	0	0	false	283315072	206896555	1	false	283314752	206896551	1	false	283314688	206896551	1	false	283314944	275862068	1	false	283315328	103448275	1	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166051600	0	0	0	0	0	false	283839168	307692310	1	false	283839360	230769230	1	false	283839040	230769230	1	false	283838976	230769230	1	true	0	0	0	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
166052000	0	0	0	0	0	false	284363648	285714288	1	false	284363328	285714285	1	false	284363264	285714285	1	false	284363968	142857142	1	true	0	0	0	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
167000000	0	0	0	0	0	false	268636224	103448281	1	false	268636992	206896551	1	false	268637056	206896551	1	false	268636416	51724137	1	false	268636352	51724137	1	false	268637184	103448275	1	false	268636480	275862068	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
167000800	0	0	0	0	0	false	269684800	103448281	1	false	269685568	206896551	1	false	269685632	206896551	1	false	269684992	51724137	1	false	269684928	51724137	1	false	269685184	275862068	1	false	269685760	103448275	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
167000400	0	0	0	0	0	false	269160832	275862074	1	false	269160512	103448275	1	false	269161280	206896551	1	false	269161344	206896551	1	false	269160704	51724137	1	false	269160640	51724137	1	false	269161472	103448275	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
167001200	0	0	0	0	0	false	270209408	222222225	1	false	270209088	83333333	1	false	270209920	166666666	1	false	270209280	41666666	1	false	270209216	41666666	1	false	270209472	222222222	1	false	270209344	222222222	1	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
167006400	0	0	0	0	0	false	277025344	230769233	1	false	277025280	230769230	1	false	277025920	115384615	1	false	277025792	115384615	1	false	277025408	307692307	1	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
167006800	0	0	0	0	0	false	277549888	187500000	1	false	277549632	187500000	1	false	277549568	187500000	1	false	277550208	93750000	1	false	277550080	93750000	1	false	277549696	250000000	1	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
167007200	0	0	0	0	0	false	278074176	187500000	1	false	278073920	187500000	1	false	278073856	187500000	1	false	278074496	93750000	1	false	278074368	93750000	1	false	278073984	250000000	1	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
167007600	0	0	0	0	0	false	278598464	187500000	1	false	278598528	187500000	1	false	278598208	187500000	1	false	278598144	187500000	1	false	278598272	250000000	1	true	0	0	0	true	0	0	0	true	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
