ROWID	_GoldMin|INTEGER	_GoldMax|INTEGER	_GoldProb|INTEGER	_GoldLumpMin|INTEGER	_GoldLumpMax|INTEGER	_IsGroup1|BOOLEAN	_Item1Index|INTEGER	_Item1Prob|INTEGER	_Item1Info|INTEGER	_IsGroup2|BOOLEAN	_Item2Index|INTEGER	_Item2Prob|INTEGER	_Item2Info|INTEGER	_IsGroup3|BOOLEAN	_Item3Index|INTEGER	_Item3Prob|INTEGER	_Item3Info|INTEGER	_IsGroup4|BOOLEAN	_Item4Index|INTEGER	_Item4Prob|INTEGER	_Item4Info|INTEGER	_IsGroup5|BOOLEAN	_Item5Index|INTEGER	_Item5Prob|INTEGER	_Item5Info|INTEGER	_IsGroup6|BOOLEAN	_Item6Index|INTEGER	_Item6Prob|INTEGER	_Item6Info|INTEGER	_IsGroup7|BOOLEAN	_Item7Index|INTEGER	_Item7Prob|INTEGER	_Item7Info|INTEGER	_IsGroup8|BOOLEAN	_Item8Index|INTEGER	_Item8Prob|INTEGER	_Item8Info|INTEGER	_IsGroup9|BOOLEAN	_Item9Index|INTEGER	_Item9Prob|INTEGER	_Item9Info|INTEGER	_IsGroup10|BOOLEAN	_Item10Index|INTEGER	_Item10Prob|INTEGER	_Item10Info|INTEGER	_IsGroup11|BOOLEAN	_Item11Index|INTEGER	_Item11Prob|INTEGER	_Item11Info|INTEGER	_IsGroup12|BOOLEAN	_Item12Index|INTEGER	_Item12Prob|INTEGER	_Item12Info|INTEGER	_IsGroup13|BOOLEAN	_Item13Index|INTEGER	_Item13Prob|INTEGER	_Item13Info|INTEGER	_IsGroup14|BOOLEAN	_Item14Index|INTEGER	_Item14Prob|INTEGER	_Item14Info|INTEGER	_IsGroup15|BOOLEAN	_Item15Index|INTEGER	_Item15Prob|INTEGER	_Item15Info|INTEGER	_IsGroup16|BOOLEAN	_Item16Index|INTEGER	_Item16Prob|INTEGER	_Item16Info|INTEGER	_IsGroup17|BOOLEAN	_Item17Index|INTEGER	_Item17Prob|INTEGER	_Item17Info|INTEGER	_IsGroup18|BOOLEAN	_Item18Index|INTEGER	_Item18Prob|INTEGER	_Item18Info|INTEGER	_IsGroup19|BOOLEAN	_Item19Index|INTEGER	_Item19Prob|INTEGER	_Item19Info|INTEGER	_IsGroup20|BOOLEAN	_Item20Index|INTEGER	_Item20Prob|INTEGER	_Item20Info|INTEGER
552775025	0	0	0	0	0	true	552775050	83333333	0	true	552775075	83333333	0	true	552775100	83333333	0	true	552775125	83333333	0	true	552775150	83333333	0	true	552775175	83333333	0	true	552775200	83333333	0	true	552775225	83333333	0	true	552775250	83333333	0	true	552775275	83333333	0	true	552775300	83333333	0	true	552775325	83333333	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775050	0	0	0	0	0	false	348205057	500000000	1	false	348205058	500000000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775075	0	0	0	0	0	false	348205121	333333333	1	false	348205122	333333333	1	false	348205123	333333333	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775100	0	0	0	0	0	false	348205185	333333333	1	false	348205186	333333333	1	false	348205187	333333333	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775125	0	0	0	0	0	false	348205249	200000000	1	false	348205250	200000000	1	false	348205251	200000000	1	false	348205252	200000000	1	false	348205253	200000000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775150	0	0	0	0	0	false	348205313	333333333	1	false	348205314	333333333	1	false	348205315	333333333	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775175	0	0	0	0	0	false	348205377	250000000	1	false	348205378	250000000	1	false	348205379	250000000	1	false	348205380	250000000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775200	0	0	0	0	0	false	348205441	250000000	1	false	348205442	250000000	1	false	348205443	250000000	1	false	348205444	250000000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775225	0	0	0	0	0	false	348205505	333333333	1	false	348205506	333333333	1	false	348205507	333333333	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775250	0	0	0	0	0	false	348205569	200000000	1	false	348205570	200000000	1	false	348205571	200000000	1	false	348205572	200000000	1	false	348205573	200000000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775275	0	0	0	0	0	false	348205633	125000000	1	false	348205634	125000000	1	false	348205635	125000000	1	false	348205636	125000000	1	false	348205637	125000000	1	false	348205638	125000000	1	false	348205639	125000000	1	false	348205640	125000000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775300	0	0	0	0	0	false	348205697	160000000	1	false	348205698	140000000	1	false	348205699	140000000	1	false	348205700	140000000	1	false	348205701	140000000	1	false	348205702	140000000	1	false	348205703	140000000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775325	0	0	0	0	0	false	348205761	160000000	1	false	348205762	140000000	1	false	348205763	140000000	1	false	348205764	140000000	1	false	348205765	140000000	1	false	348205766	140000000	1	false	348205767	140000000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
552775525	0	0	0	0	0	true	552775550	850000000	0	true	552775625	100000000	0	true	552775650	50000000	0	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1
552775550	0	0	0	0	0	true	552775575	500000000	0	true	552775600	500000000	0	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1
552775575	0	0	0	0	0	false	348201985	90000000	1	false	348201986	90000000	1	false	348201987	90000000	1	false	348201988	90000000	1	false	348201989	80000000	1	false	348201990	80000000	1	false	348201991	80000000	1	false	348202192	80000000	1	false	348201993	80000000	1	false	348201994	80000000	1	false	348201995	80000000	1	false	348201996	80000000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1
