ROWID	_GoldMin|INTEGER	_GoldMax|INTEGER	_GoldProb|INTEGER	_GoldLumpMin|INTEGER	_GoldLumpMax|INTEGER	_IsGroup1|BOOLEAN	_Item1Index|INTEGER	_Item1Prob|INTEGER	_Item1Info|INTEGER	_IsGroup2|BOOLEAN	_Item2Index|INTEGER	_Item2Prob|INTEGER	_Item2Info|INTEGER	_IsGroup3|BOOLEAN	_Item3Index|INTEGER	_Item3Prob|INTEGER	_Item3Info|INTEGER	_IsGroup4|BOOLEAN	_Item4Index|INTEGER	_Item4Prob|INTEGER	_Item4Info|INTEGER	_IsGroup5|BOOLEAN	_Item5Index|INTEGER	_Item5Prob|INTEGER	_Item5Info|INTEGER	_IsGroup6|BOOLEAN	_Item6Index|INTEGER	_Item6Prob|INTEGER	_Item6Info|INTEGER	_IsGroup7|BOOLEAN	_Item7Index|INTEGER	_Item7Prob|INTEGER	_Item7Info|INTEGER	_IsGroup8|BOOLEAN	_Item8Index|INTEGER	_Item8Prob|INTEGER	_Item8Info|INTEGER	_IsGroup9|BOOLEAN	_Item9Index|INTEGER	_Item9Prob|INTEGER	_Item9Info|INTEGER	_IsGroup10|BOOLEAN	_Item10Index|INTEGER	_Item10Prob|INTEGER	_Item10Info|INTEGER	_IsGroup11|BOOLEAN	_Item11Index|INTEGER	_Item11Prob|INTEGER	_Item11Info|INTEGER	_IsGroup12|BOOLEAN	_Item12Index|INTEGER	_Item12Prob|INTEGER	_Item12Info|INTEGER	_IsGroup13|BOOLEAN	_Item13Index|INTEGER	_Item13Prob|INTEGER	_Item13Info|INTEGER	_IsGroup14|BOOLEAN	_Item14Index|INTEGER	_Item14Prob|INTEGER	_Item14Info|INTEGER	_IsGroup15|BOOLEAN	_Item15Index|INTEGER	_Item15Prob|INTEGER	_Item15Info|INTEGER	_IsGroup16|BOOLEAN	_Item16Index|INTEGER	_Item16Prob|INTEGER	_Item16Info|INTEGER	_IsGroup17|BOOLEAN	_Item17Index|INTEGER	_Item17Prob|INTEGER	_Item17Info|INTEGER	_IsGroup18|BOOLEAN	_Item18Index|INTEGER	_Item18Prob|INTEGER	_Item18Info|INTEGER	_IsGroup19|BOOLEAN	_Item19Index|INTEGER	_Item19Prob|INTEGER	_Item19Info|INTEGER	_IsGroup20|BOOLEAN	_Item20Index|INTEGER	_Item20Prob|INTEGER	_Item20Info|INTEGER
1	0	0	0	1	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1
2	0	0	0	1	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	0	0	1
3	0	0	0	1	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	0	0	1	false	0	0	1
4	0	0	0	1	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	0	0	1	false	0	0	1	false	0	0	1
5	0	0	0	1	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1
6	0	0	0	1	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1
7	0	0	0	1	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1
8	0	0	0	1	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1
9	0	0	0	1	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1
10	0	0	0	1	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	270536960	10000	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1
