ROWID	_GoldMin|INTEGER	_GoldMax|INTEGER	_GoldProb|INTEGER	_GoldLumpMin|INTEGER	_GoldLumpMax|INTEGER	_IsGroup1|BOOLEAN	_Item1Index|INTEGER	_Item1Prob|INTEGER	_Item1Info|INTEGER	_IsGroup2|BOOLEAN	_Item2Index|INTEGER	_Item2Prob|INTEGER	_Item2Info|INTEGER	_IsGroup3|BOOLEAN	_Item3Index|INTEGER	_Item3Prob|INTEGER	_Item3Info|INTEGER	_IsGroup4|BOOLEAN	_Item4Index|INTEGER	_Item4Prob|INTEGER	_Item4Info|INTEGER	_IsGroup5|BOOLEAN	_Item5Index|INTEGER	_Item5Prob|INTEGER	_Item5Info|INTEGER	_IsGroup6|BOOLEAN	_Item6Index|INTEGER	_Item6Prob|INTEGER	_Item6Info|INTEGER	_IsGroup7|BOOLEAN	_Item7Index|INTEGER	_Item7Prob|INTEGER	_Item7Info|INTEGER	_IsGroup8|BOOLEAN	_Item8Index|INTEGER	_Item8Prob|INTEGER	_Item8Info|INTEGER	_IsGroup9|BOOLEAN	_Item9Index|INTEGER	_Item9Prob|INTEGER	_Item9Info|INTEGER	_IsGroup10|BOOLEAN	_Item10Index|INTEGER	_Item10Prob|INTEGER	_Item10Info|INTEGER	_IsGroup11|BOOLEAN	_Item11Index|INTEGER	_Item11Prob|INTEGER	_Item11Info|INTEGER	_IsGroup12|BOOLEAN	_Item12Index|INTEGER	_Item12Prob|INTEGER	_Item12Info|INTEGER	_IsGroup13|BOOLEAN	_Item13Index|INTEGER	_Item13Prob|INTEGER	_Item13Info|INTEGER	_IsGroup14|BOOLEAN	_Item14Index|INTEGER	_Item14Prob|INTEGER	_Item14Info|INTEGER	_IsGroup15|BOOLEAN	_Item15Index|INTEGER	_Item15Prob|INTEGER	_Item15Info|INTEGER	_IsGroup16|BOOLEAN	_Item16Index|INTEGER	_Item16Prob|INTEGER	_Item16Info|INTEGER	_IsGroup17|BOOLEAN	_Item17Index|INTEGER	_Item17Prob|INTEGER	_Item17Info|INTEGER	_IsGroup18|BOOLEAN	_Item18Index|INTEGER	_Item18Prob|INTEGER	_Item18Info|INTEGER	_IsGroup19|BOOLEAN	_Item19Index|INTEGER	_Item19Prob|INTEGER	_Item19Info|INTEGER	_IsGroup20|BOOLEAN	_Item20Index|INTEGER	_Item20Prob|INTEGER	_Item20Info|INTEGER
163000001	0	0	0	0	0	false	268442037	80000000	1	false	268442037	80000000	1	false	268442037	80000000	1	false	268442037	80000000	1	false	336617728	80000000	1	false	268442037	80000000	2	false	268442037	80000000	2	false	268442037	80000000	2	false	268442037	80000000	2	false	336617728	80000000	2	false	268442037	30000000	3	false	268442037	30000000	3	false	268442037	30000000	3	false	268442037	30000000	3	false	336617728	30000000	3	false	336609536	30000000	1	false	336609536	20000000	2	false	0	0	1	false	0	0	1	false	0	0	1
163000002	0	0	0	0	0	false	268442038	80000000	1	false	268442038	80000000	1	false	268442038	80000000	1	false	268442038	80000000	1	false	336617984	80000000	1	false	268442038	80000000	2	false	268442038	80000000	2	false	268442038	80000000	2	false	268442038	80000000	2	false	336617984	80000000	2	false	268442038	30000000	3	false	268442038	30000000	3	false	268442038	30000000	3	false	268442038	30000000	3	false	336617984	30000000	3	false	336609792	30000000	1	false	336609792	20000000	2	false	0	0	1	false	0	0	1	false	0	0	1
163000003	0	0	0	0	0	false	336086272	300000000	1	false	336086272	300000000	2	false	336086272	250000000	3	false	336086272	100000000	1	false	336086272	50000000	2	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1	false	0	0	1
109054761	0	0	0	0	0	false	268452928	300000000	3	false	268452927	319600000	3	false	336990720	100000000	3	true	218105189	100000000	1	true	218105187	100000000	1	false	268456120	10000000	1	true	226494708	10000000	1	true	218105354	10000000	1	true	218105345	100000	1	false	1073842829	100000	1	false	805309276	50000000	1	true	218105706	100000	1	true	226495696	100000	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
109054772	0	0	0	0	0	false	536875950	340000000	2	false	268466189	330000000	2	false	268466749	330000000	3	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
109054773	0	0	0	0	0	false	536875950	340000000	1	false	268466189	330000000	1	false	268466749	330000000	2	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
109054774	0	0	0	0	0	false	268452928	150000000	3	false	268452927	169600000	3	false	336990720	100000000	3	true	218105189	100000000	1	true	218105187	100000000	1	false	268456120	10000000	1	true	226494708	10000000	1	true	218105354	10000000	1	true	218105345	100000	1	false	1073842829	100000	1	false	805309276	50000000	1	true	218105706	100000	1	true	226495696	100000	1	false	536875681	300000000	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
109054830	0	0	0	0	0	false	268463240	150000000	3	false	268463241	149700000	3	false	536875681	250000000	1	true	218105757	100000	1	true	218105761	100000	1	true	218105774	75000000	1	true	218105776	75000000	1	true	226496792	50000000	1	true	218105758	100000000	1	true	218105773	100000000	1	false	805309276	50000000	1	false	1073842829	100000	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
109054762	0	0	0	0	0	false	268466748	200000000	1	false	536875681	100000000	1	false	268466189	200000000	1	false	268466715	200000000	2	false	268466717	100000000	1	false	268466184	150000000	1	false	1073842829	10000	1	false	805309276	49990000	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
109054763	0	0	0	0	0	false	268463240	300000000	1	false	268466748	200000000	1	false	268466189	500000000	1	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0	false	0	0	0
