ROWID	_ItemGainText|TEXT
268447332	#s{1000055957}\n#y{1000060605}
268447333	#s{1000055957}\n#y{1000060606}
268447334	#s{1000055957}\n#y{1000060607}
268447335	#s{1000055957}\n#y{1000060608}
268447336	#s{1000055957}\n#y
268447337	#s{1000055957}\n#y
268447338	#s{1000055957}\n#y{1000060609}
268447339	#s{1000055957}\n#y{1000060610}
268447340	#s{1000055957}\n#y
268447341	#s{1000055957}\n#y
268447342	#s{1000055957}\n#y{1000060611}
268447343	#s{1000055957}\n#y{1000060612}
268447344	#s{1000055957}\n#y{1000060613}
268447345	#s{1000055957}\n#y{1000060614}
268447346	#s{1000055957}\n#y
268447347	#s{1000055957}\n#y
268447348	#s{1000055957}\n#y
268447349	#s{1000055957}\n#y
268447350	#s{1000055957}\n#y
268447351	#s{1000055957}\n#y
268447352	#s{1000055957}\n#y
268447353	#s{1000055957}\n#y
268447354	#s{1000055957}\n#y
268447355	#s{1000055957}\n#y
268447356	#s{1000055957}\n#y{1000060611}
268447357	#s{1000055957}\n#y{1000060612}
268447358	#s{1000055957}\n#y{1000060613}
268447359	#s{1000055957}\n#y{1000060614}
268447360	#s{1000055957}\n#y
268447361	#s{1000055957}\n#y
268447362	#s{1000055957}\n#y
268447363	#s{1000055957}\n#y
268447364	#s{1000055957}\n#y
268447365	#s{1000055957}\n#y
268447366	#s{1000055957}\n#y
268447367	#s{1000055957}\n#y
268447368	#s{1000055957}\n#y
268447369	#s{1000055957}\n#y
268447370	#s{1000055957}\n#y{1000060611}
268447371	#s{1000055957}\n#y{1000060612}
268447372	#s{1000055957}\n#y{1000060613}
268447373	#s{1000055957}\n#y{1000060614}
