ROWID	_ItemGainText|TEXT
335545856	#h{1000061707}
335545857	#h{1000061707}
335545858	#h{1000061707}
335547392	#h{1000061707}
335547393	#h{1000061707}
335547394	#h{1000061707}
335544832	#h{1000061707}
335544833	#h{1000061707}
335544834	#h{1000061707}
335551360	#h{1000061707}
335551361	#h{1000061707}
335551362	#h{1000061707}
335544576	#h{1000061707}
335544577	#h{1000061707}
335544578	#h{1000061707}
335551232	#h{1000061707}
335551233	#h{1000061707}
335551234	#h{1000061707}
335552512	#h{1000061707}
335552513	#h{1000061707}
335552514	#h{1000061707}
335552384	#h{1000061707}
335552385	#h{1000061707}
335545216	#h{1000061707}
335545217	#h{1000061707}
335545218	#h{1000061707}
335551872	#h{1000061707}
335551873	#h{1000061707}
335551874	#h{1000061707}
335546880	#h{1000061707}
335546881	#h{1000061707}
335546882	#h{1000061707}
335553282	#h{1000061707}
335546496	#h{1000061707}
335546497	#h{1000061707}
335546498	#h{1000061707}
335548800	#h{1000061707}
335548801	#h{1000061707}
335548802	#h{1000061707}
335548160	#h{1000061707}
335548161	#h{1000061707}
335548162	#h{1000061707}
335545472	#h{1000061707}
335545473	#h{1000061707}
335545474	#h{1000061707}
335547520	#h{1000061707}
335547521	#h{1000061707}
335547522	#h{1000061707}
335546624	#h{1000061707}
335546625	#h{1000061707}
335546626	#h{1000061707}
335546368	#h{1000061707}
335546369	#h{1000061707}
335546370	#h{1000061707}
335545088	#h{1000061707}
335545089	#h{1000061707}
335545090	#h{1000061707}
335552768	#h{1000061707}
335552769	#h{1000061707}
335552770	#h{1000061707}
335552640	#h{1000061707}
335552641	#h{1000061707}
335552642	#h{1000061707}
335546240	#h{1000061707}
335546241	#h{1000061707}
335546242	#h{1000061707}
335552256	#h{1000061707}
335552257	#h{1000061707}
335547776	#h{1000061707}
335547777	#h{1000061707}
335547778	#h{1000061707}
335553154	#h{1000061707}
335547136	#h{1000061707}
335547137	#h{1000061707}
335547138	#h{1000061707}
335544960	#h{1000061707}
335544961	#h{1000061707}
335544962	#h{1000061707}
335547904	#h{1000061707}
335547905	#h{1000061707}
335547906	#h{1000061707}
335545600	#h{1000061707}
335545601	#h{1000061707}
335545602	#h{1000061707}
335549184	#h{1000061707}
335549185	#h{1000061707}
335549186	#h{1000061707}
335550208	#h{1000061707}
335550209	#h{1000061707}
335550210	#h{1000061707}
335550720	#h{1000061707}
335550721	#h{1000061707}
335550722	#h{1000061707}
335550848	#h{1000061707}
335550849	#h{1000061707}
335550850	#h{1000061707}
335550592	#h{1000061707}
335550593	#h{1000061707}
335550594	#h{1000061707}
335545984	#h{1000061707}
335545985	#h{1000061707}
335545986	#h{1000061707}
335545344	#h{1000061707}
335545345	#h{1000061707}
335545346	#h{1000061707}
