ROWID	_Enchant|INTEGER	_Potential1|INTEGER	_Potential2|INTEGER	_DragonJewel|INTEGER
10001	1	0	0	0
10002	2	0	0	0
10003	3	0	0	0
10004	4	0	0	0
10005	5	0	0	0
10006	6	0	0	0
10007	7	0	0	0
10008	8	0	0	0
10009	9	0	0	0
10010	10	0	0	0
10011	11	0	0	0
10012	12	0	0	0
10013	13	0	0	0
10014	14	0	0	0
10015	15	0	0	0
11010	10	0	0	0
11011	6	0	0	0
20001	1	0	0	0
20002	2	0	0	0
20003	3	0	0	0
20004	4	0	0	0
20005	5	0	0	0
20006	6	0	0	0
20007	7	0	0	0
20008	8	0	0	0
20009	9	0	0	0
20010	10	0	0	0
20011	11	0	0	0
20012	12	0	0	0
20013	13	0	0	0
20014	14	0	0	0
20015	15	0	0	0
30001	1	2	2	0
30002	2	3	3	0
30003	3	4	4	0
30004	4	5	5	0
30005	5	6	6	0
30006	6	7	7	0
30007	7	8	8	0
30008	8	9	2	0
30009	9	2	3	0
30010	10	3	4	0
30011	11	4	5	0
30012	12	5	6	0
30013	13	6	7	0
30014	11	7	8	0
30015	12	8	2	0
40000	0	0	0	1
40001	1	0	0	1
40002	2	0	0	1
40003	3	0	0	1
40004	4	0	0	1
40005	5	0	0	1
40006	6	0	0	1
40007	7	0	0	1
40008	8	0	0	1
40009	9	0	0	1
40010	10	0	0	1
40011	11	0	0	1
40012	12	0	0	1
40013	13	0	0	1
40014	14	0	0	1
40015	15	0	0	1
50001	1	0	0	0
50002	2	0	0	0
50003	3	0	0	0
50004	4	0	0	0
50005	5	0	0	0
50006	6	0	0	0
50007	7	0	0	0
50008	8	0	0	0
50009	9	0	0	0
50010	10	0	0	0
50011	11	0	0	0
50012	12	0	0	0
50013	13	0	0	0
50014	14	0	0	0
50015	15	0	0	0
60000	0	0	0	0
60001	0	1	0	0
60002	0	2	0	0
60003	0	3	0	0
60004	0	4	0	0
60005	0	5	0	0
60006	0	6	0	0
60007	0	7	0	0
60008	0	8	0	0
60009	0	9	0	0
60010	0	10	0	0
60011	0	11	0	0
60012	0	12	0	0
60013	0	13	0	0
60014	0	14	0	0
60015	0	15	0	0
60016	0	16	0	0
60017	0	17	0	0
60018	0	18	0	0
60019	0	19	0	0
60020	0	20	0	0
60021	0	21	0	0
60022	0	22	0	0
60023	0	23	0	0
60024	0	24	0	0
60025	0	25	0	0
60026	0	26	0	0
60027	0	27	0	0
60028	0	28	0	0
60029	0	29	0	0
61000	10	0	0	0
61001	10	1	0	0
61002	10	2	0	0
61003	10	3	0	0
61004	10	4	0	0
61005	10	5	0	0
61006	10	6	0	0
61007	10	7	0	0
61008	10	8	0	0
61009	10	9	0	0
61010	10	10	0	0
61011	10	11	0	0
61012	10	12	0	0
61013	10	13	0	0
61014	10	14	0	0
61015	10	15	0	0
61016	10	16	0	0
61017	10	17	0	0
61018	10	18	0	0
61019	10	19	0	0
61020	10	20	0	0
61021	10	21	0	0
61022	10	22	0	0
61023	10	23	0	0
61024	10	24	0	0
61025	10	25	0	0
61026	10	26	0	0
61027	10	27	0	0
61028	10	28	0	0
61029	10	29	0	0
62000	20	0	0	0
62001	20	1	0	0
62002	20	2	0	0
62003	20	3	0	0
62004	20	4	0	0
62005	20	5	0	0
62006	20	6	0	0
62007	20	7	0	0
62008	20	8	0	0
62009	20	9	0	0
62010	20	10	0	0
62011	20	11	0	0
62012	20	12	0	0
62013	20	13	0	0
62014	20	14	0	0
62015	20	15	0	0
62016	20	16	0	0
62017	20	17	0	0
62018	20	18	0	0
62019	20	19	0	0
62020	20	20	0	0
62021	20	21	0	0
62022	20	22	0	0
62023	20	23	0	0
62024	20	24	0	0
62025	20	25	0	0
62026	20	26	0	0
62027	20	27	0	0
62028	20	28	0	0
62029	20	29	0	0
70001	1	0	0	0
70002	2	0	0	0
70003	3	0	0	0
70004	4	0	0	0
70005	5	0	0	0
70006	6	0	0	0
70007	7	0	0	0
70008	8	0	0	0
70009	9	0	0	0
70010	10	0	0	0
70011	11	0	0	0
70012	12	0	0	0
70013	13	0	0	0
70014	14	0	0	0
70015	15	0	0	0
70016	16	0	0	0
70017	17	0	0	0
70018	18	0	0	0
70019	19	0	0	0
70020	20	0	0	0
