ROWID	_Period|INTEGER
268480980	30
268470061	30
268476600	30
268470062	30
268470063	30
268470064	30
268476721	30
268470065	30
268480089	30
268480090	30
268480091	30
268480092	30
268480093	30
268480094	30
268480095	30
268480096	30
268480933	30
268480934	30
268480935	30
268480936	30
268480937	30
268480938	30
268480939	30
268480940	30
268480941	30
268480942	30
268480943	30
268480944	30
268480981	30
268483881	30
268470066	30
268470067	30
268470068	30
268470069	30
268470070	30
268470086	30
268470087	30
268470014	30
268470088	30
268470015	30
268470071	30
268470072	30
268470073	30
268470074	30
268470075	30
268470076	30
268470077	30
268470078	30
268470079	30
268470080	30
268470081	30
268470082	30
268470083	30
268470084	30
268470085	30
268470031	30
268470189	30
268476601	30
268470032	30
268470190	30
268470033	30
268470034	30
268470035	30
268470036	30
268474978	30
268476574	30
268470037	30
268470038	30
268470100	30
268470039	30
268477023	30
268470040	30
268477032	30
268477033	30
268477034	30
268477127	30
268477128	30
268477129	30
268477130	30
268477131	30
268477132	30
268477133	30
268480084	30
268480085	30
268480086	30
268480087	30
268480088	30
268480945	30
268480946	30
268480947	30
268480948	30
268480949	30
268480950	30
268480951	30
268480952	30
268480953	30
268480954	30
268480982	30
268480983	30
268480984	30
268480985	30
268481005	30
268481006	30
268481007	30
268481008	30
268481009	30
268481010	30
268481011	30
268481012	30
268481013	30
268481014	30
268481015	30
268481016	30
268481017	30
268481018	30
268483882	30
268483954	30
268483955	30
268483956	30
268483957	30
268483958	30
268483883	30
268483884	30
268483885	30
268483886	30
268483887	30
268483888	30
268483889	30
268483890	30
268483891	30
268483892	30
268483893	30
268483894	30
268483895	30
268483896	30
268470091	30
268470097	30
268470098	30
268470099	30
268470092	30
268470093	30
268470101	30
268470102	30
268470094	30
268470095	30
268474992	30
268474996	30
268474997	30
268474998	30
268474999	30
268475000	30
268475001	30
268475002	30
268475003	30
268475004	30
268475005	30
268475006	30
268475077	30
268475078	30
268475079	30
268475080	30
268475081	30
268476324	30
268476585	30
268476586	30
268480078	30
268480079	30
268480080	30
268480081	30
268480082	30
268480083	30
268480955	30
268480956	30
268480957	30
268480958	30
268480959	30
268480960	30
268480961	30
268480962	30
268480963	30
268480964	30
268480965	30
268480966	30
268480967	30
268480986	30
268480987	30
268480988	30
268480989	30
268483897	30
268483898	30
268483899	30
268483900	30
268483901	30
268483902	30
268483903	30
268483904	30
268483905	30
268483906	30
268483907	30
268483908	30
268483909	30
268483910	30
268483911	30
268483912	30
268484288	30
268483941	30
268483942	30
268483943	30
268483944	30
268483945	30
268483946	30
268483947	30
268483948	30
268483949	30
268483950	30
268483951	30
268483952	30
268483953	30
268470046	30
268475466	30
268475467	30
268475468	30
268470047	30
268475829	30
268475830	30
268475831	30
268475832	30
268470048	30
268475833	30
268475834	30
268475835	30
268475836	30
268475837	30
268475838	30
268475839	30
268475840	30
268475841	30
268475842	30
268475843	30
268475844	30
268475845	30
268475846	30
268475847	30
268475848	30
268475849	30
268475850	30
268475851	30
268470049	30
268475852	30
268475853	30
268475854	30
268475855	30
268475856	30
268475857	30
268475858	30
268475859	30
268475860	30
268475861	30
268475862	30
268475863	30
268475864	30
268475865	30
268475866	30
268475867	30
268475868	30
268475869	30
268475870	30
268470050	30
268474991	30
268470051	30
268470052	30
268470053	30
268470054	30
268470055	30
268480990	30
268475007	30
268475008	30
268475009	30
268475010	30
268475011	30
268475012	30
268475013	30
268475014	30
268475015	30
268475016	30
268475017	30
268475018	30
268475019	30
268475020	30
268475021	30
268475022	30
268475023	30
268475024	30
268475025	30
268475026	30
268475027	30
268475028	30
268475029	30
268475030	30
268475031	30
268475032	30
268475033	30
268475034	30
268475035	30
268475036	30
268475037	30
268475038	30
268475039	30
268475040	30
268475041	30
268475042	30
268480097	30
268480098	30
268480099	30
268480100	30
268480968	30
268480969	30
268480970	30
268480971	30
268480972	30
268480973	30
268480974	30
268480975	30
268480976	30
268480977	30
268480978	30
268480991	30
268480992	30
268475470	30
268476722	30
268475471	30
268476138	30
268475472	30
268475473	30
268476610	30
268475474	30
268476611	30
268476612	30
268476613	30
268476614	30
268477024	30
268476744	30
268476745	30
268476746	30
268476747	30
268476748	30
268476749	30
268477141	30
268477142	30
268477203	30
268477204	30
268484352	30
268480993	30
268481512	30
268470056	30
268470057	30
268470058	30
268470059	30
268470060	30
268477691	30
268477692	30
268477693	30
268477754	30
268477755	30
268477756	30
268477757	30
268477758	30
268477759	30
268477760	30
268477761	30
268477762	30
268477763	30
268481513	30
268481388	30
268481389	30
268481390	30
268481391	30
268481392	30
268481393	30
268481514	30
268470090	30
268484455	30
268476325	30
268476326	30
268476327	30
268476328	30
268476736	30
268476725	30
268476329	30
268476330	30
268476331	30
268476332	30
268476333	30
268476334	30
268476335	30
268476336	30
268476337	30
268476338	30
268476339	30
268476340	30
268476358	30
268476432	30
268476433	30
268476573	30
268476880	30
268476859	30
268476860	30
268476861	30
268476862	30
268476863	30
268476864	30
268476865	30
268476866	30
268476867	30
268476868	30
268476869	30
268476870	30
268476871	30
268476872	30
268483913	30
268483914	30
268483915	30
268483916	30
268483917	30
268483918	30
268483919	30
268483920	30
268483921	30
268483922	30
268483923	30
268483924	30
268483925	30
268483926	30
268483927	30
268476873	30
268476874	30
268489531	30
268489532	30
268476875	30
268476876	30
268476877	30
268476878	30
268476879	30
268476710	30
268476785	30
268476995	30
268476996	30
268477001	30
268484195	30
268484196	30
268477041	30
268477042	30
268477043	30
268477044	30
268483929	30
268477050	30
268477051	30
268477052	30
268477053	30
268477111	30
268477115	30
268477112	30
268477113	30
268477114	30
268477118	30
268477119	30
268477120	30
268477121	30
268477122	30
268477161	30
268477162	30
268477163	30
268477164	30
268477165	30
268477166	30
268477167	30
268477168	30
268477169	30
268477170	30
268477171	30
268477172	30
268477173	30
268477174	30
268477175	30
268477176	30
268477177	30
268477178	30
268477179	30
268477180	30
268477181	30
268477182	30
268477183	30
268477184	30
268477185	30
268477186	30
268477187	30
268477188	30
268477189	30
268477190	30
268477191	30
268477192	30
268477193	30
268477194	30
268477195	30
268477196	30
268477197	30
268477198	30
268477199	30
