ROWID	_Period|INTEGER
268449962	7
268449963	7
268449964	7
268449965	7
268449966	7
268449967	7
268450050	7
268450051	7
268450052	7
268450053	7
268450054	7
268450055	7
268450056	7
268450057	7
268450068	30
268450069	30
268450070	30
268450071	30
268450072	30
268450073	30
268450074	30
268450075	30
268456650	3
268456651	3
268456652	3
268456653	3
268456654	7
268456655	7
268456656	7
268456657	7
268456658	30
268456659	30
268456660	30
268456661	30
268470225	30
268470226	30
268470227	30
268470228	30
268476664	0
268476665	0
268476666	0
268476667	0
268476668	0
268476669	0
268476670	0
268476671	0
268476672	0
268476673	0
268476674	0
268476675	0
268476676	0
268476677	0
268476678	0
268476679	0
268476680	0
268476681	0
268476682	0
268476683	0
268476684	0
268476685	0
268476686	0
268476687	0
268476688	0
268476689	0
268476690	0
268476691	0
268476692	0
268476693	0
268476694	0
268476695	0
268476696	0
268476697	0
268476698	0
268476699	0
268476700	0
268476701	0
268476702	0
268476703	0
268476704	0
268476705	0
268476706	0
268476707	0
268476708	0
268477668	0
268477669	0
268477670	0
268477671	0
268477672	0
268477673	0
268477674	0
268477675	0
268477676	0
268477677	0
268477678	0
268477679	0
268477680	0
268477681	0
268477682	0
268477683	0
268477684	0
268477685	0
268477686	0
268477687	0
268477688	0
268479783	0
268479784	0
268479785	0
268479786	0
268479787	0
268484867	0
268484868	0
268484869	0
268484870	0
268484871	0
268489714	0
268489715	0
268489716	0
268489717	0
268490121	0
268490378	0
268476709	0
268489718	0
268490633	0
268490634	0
268490635	0
268490636	0
268490637	0
268491862	0
268491863	0
268491864	0
268491865	0
268491866	0
268446587	1
268446521	1
268446523	1
268446588	1
268446589	7
268446527	7
268447762	3
268446590	14
268446530	14
268448413	3
268448414	5
268448415	7
268447765	3
268447767	5
268447769	7
268447771	14
268447773	10
268447775	21
268476981	1
268476982	3
268476983	10
268476984	7
268476985	14
268476986	21
268476987	5
268476988	1
268476989	3
268476990	10
268476991	7
268476992	14
268476993	21
268476994	5
268495159	0
268495095	0
268495096	0
268495097	0
268495098	0
268495099	0
268495100	0
268495101	0
268495102	0
268495103	0
268495104	0
268495105	0
268495106	0
268495107	0
268495108	0
268495109	0
268495110	0
268495111	0
268495112	0
268495113	0
268495114	0
268495115	0
268495116	0
268495117	0
268495118	0
268495119	0
268495120	0
268495121	0
268495122	0
268495123	0
268495124	0
268495125	0
268495126	0
268495127	0
268495128	0
268495129	0
268495130	0
268495131	0
268495132	0
268495133	0
268495134	0
268495135	0
268495136	0
268495137	0
268495138	0
268495139	0
268495140	0
268495141	0
268495142	0
268495143	0
268495144	0
268495145	0
268495146	0
268495147	0
268495148	0
268495149	0
268495150	0
268495151	0
268495152	0
268495153	0
268495154	0
268495155	0
268495156	0
268495157	0
268495158	0
268495176	0
268495177	0
268495178	0
268495179	0
268495180	0
268495181	0
268495182	0
268495183	0
268495184	0
268495185	0
268495186	0
268495187	0
268495188	0
268495189	0
268495190	0
268495191	0
268495192	0
268495193	0
268495194	0
268495195	0
268495196	0
268495197	0
268495198	0
268495199	0
268495200	0
268495201	0
268495202	0
268495203	0
268495204	0
268495205	0
268495206	0
268495207	0
268495208	0
268495209	0
268495210	0
268495211	0
268495212	0
268495213	0
268495214	0
268495215	0
268495216	0
268495217	0
268495218	0
268495219	0
268495220	0
268495221	0
268495222	0
268495223	0
268495224	0
268495225	0
268495226	0
268495227	0
268495228	0
268495229	0
268495230	0
268495231	0
268495232	0
268495233	0
268495234	0
268495235	0
268495236	0
268495237	0
268495238	0
268495239	0
268446591	14
268446592	14
268446593	14
268446594	14
268446595	21
268446597	21
268446598	21
268446599	3
268446600	3
268446601	3
268446602	3
268446603	3
268446604	3
268446605	3
268446606	3
268446607	3
268446608	3
268446609	3
268446610	3
268446611	3
268449156	14
268449157	14
268449597	7
268449598	7
268449599	7
268449609	5
268449610	5
268449611	5
268449612	5
268449617	5
268456120	5
268456645	5
268466187	1
268466188	1
268467015	1
268467016	1
