ROWID	_ItemID|INTEGER	_RemoveGroup|INTEGER	_PriceType|INTEGER	_Price|INTEGER
1	876609536	1	0	10000
2	880803840	1	0	10000
3	5000000	1	0	10000
4	5000001	1	0	10000
5	872415233	1	0	10000
6	872415234	1	0	10000
7	872415236	1	0	10000
8	872415237	1	0	10000
9	872415238	1	0	10000
10	872415239	1	0	10000
11	872415240	1	0	10000
12	872415241	1	0	10000
13	872415242	1	0	10000
14	872415243	1	0	10000
15	872415246	1	0	10000
16	872415263	1	0	10000
17	805306745	1	0	10000
18	805306757	1	0	10000
19	872415248	1	0	10000
20	872415249	1	0	10000
21	872415250	1	0	10000
22	872415251	1	0	10000
23	872415252	1	0	10000
24	872415253	1	0	10000
25	872415254	1	0	10000
26	872415256	1	0	10000
27	872415257	1	0	10000
28	872415258	1	0	10000
29	872415259	1	0	10000
30	872415260	1	0	10000
31	872415261	1	0	10000
32	872415262	1	0	10000
33	872415270	1	0	10000
34	872415271	1	0	10000
35	872415272	1	0	10000
36	872415273	1	0	10000
37	872415274	1	0	10000
38	872418233	1	0	10000
39	872418234	1	0	10000
40	872418235	1	0	10000
41	872418236	1	0	10000
42	872418237	1	0	10000
43	872418238	1	0	10000
44	872418239	1	0	10000
45	872418240	1	0	10000
46	872418241	1	0	10000
47	872418233	1	0	10000
48	872418234	1	0	10000
49	872418235	1	0	10000
50	872418236	1	0	10000
51	872418237	1	0	10000
52	872418238	1	0	10000
53	872418239	1	0	10000
54	872418240	1	0	10000
55	872418241	1	0	10000
56	872418233	1	0	10000
57	872418234	1	0	10000
58	872418235	1	0	10000
59	872418236	1	0	10000
60	872418237	1	0	10000
61	872418238	1	0	10000
62	872418239	1	0	10000
63	872418240	1	0	10000
64	872418241	1	0	10000
65	872418252	1	0	10000
66	872418253	1	0	10000
67	872415276	1	0	10000
68	872415285	1	0	10000
69	872415286	1	0	10000
70	872415332	1	0	10000
71	872415333	1	0	10000
72	872415334	1	0	10000
73	872415335	1	0	10000
74	872418254	1	0	10000
75	872418257	1	0	10000
76	872418278	1	0	10000
77	872418259	1	0	10000
78	872418260	1	0	10000
79	872418261	1	0	10000
80	872418262	1	0	10000
81	872418263	1	0	10000
82	872418264	1	0	10000
83	872418265	1	0	10000
84	872418266	1	0	10000
85	872418267	1	0	10000
86	872418284	1	0	10000
87	805306751	1	0	10000
88	872419247	1	0	10000
89	805306769	1	0	10000
90	805306886	1	0	10000
91	805307079	1	0	10000
92	805307080	1	0	10000
93	805307081	1	0	10000
94	805307082	1	0	10000
95	805307083	1	0	10000
96	805307863	1	0	10000
97	805307084	1	0	10000
98	805307088	1	0	10000
99	805307089	1	0	10000
100	805307090	1	0	10000
101	805307091	1	0	10000
102	805307092	1	0	10000
103	805307121	1	0	10000
104	805307122	1	0	10000
105	805307123	1	0	10000
106	805307124	1	0	10000
107	805307125	1	0	10000
108	805307126	1	0	10000
109	805307127	1	0	10000
110	805307128	1	0	10000
111	805307129	1	0	10000
112	805307264	1	0	10000
113	805307265	1	0	10000
114	805307266	1	0	10000
115	805307267	1	0	10000
116	805307170	1	0	10000
117	805307171	1	0	10000
118	805307172	1	0	10000
119	805307234	1	0	10000
120	805307435	1	0	10000
121	805307444	1	0	10000
122	805307458	1	0	10000
123	805307459	1	0	10000
124	805307460	1	0	10000
125	805307461	1	0	10000
126	805307466	1	0	10000
127	805307468	1	0	10000
128	805307469	1	0	10000
129	805307470	1	0	10000
130	805307471	1	0	10000
131	805307472	1	0	10000
132	805307723	1	0	10000
133	805307724	1	0	10000
134	805307264	1	0	10000
135	805307265	1	0	10000
136	805307266	1	0	10000
137	805307267	1	0	10000
138	805307530	1	0	10000
139	805307588	1	0	10000
140	805307726	1	0	10000
141	805307732	1	0	10000
142	805307733	1	0	10000
143	805307734	1	0	10000
144	805307735	1	0	10000
145	805307736	1	0	10000
146	805307737	1	0	10000
147	805307738	1	0	10000
148	805307732	1	0	10000
149	805307733	1	0	10000
150	805307734	1	0	10000
151	805307735	1	0	10000
152	805307736	1	0	10000
153	805307737	1	0	10000
154	805307738	1	0	10000
155	805307891	1	0	10000
156	805307781	1	0	10000
157	805307868	1	0	10000
158	805307869	1	0	10000
159	805307908	1	0	10000
160	805307909	1	0	10000
161	805307910	1	0	10000
162	805307911	1	0	10000
163	805307912	1	0	10000
164	805307913	1	0	10000
165	805307915	1	0	10000
166	805307917	1	0	10000
167	805307918	1	0	10000
168	805307929	1	0	10000
169	805307917	1	0	10000
170	805307918	1	0	10000
171	805307960	1	0	10000
172	805307962	1	0	10000
173	805307964	1	0	10000
174	805307967	1	0	10000
175	805307968	1	0	10000
176	805307983	1	0	10000
177	805307984	1	0	10000
178	805307978	1	0	10000
179	805307979	1	0	10000
180	805307980	1	0	10000
181	805307981	1	0	10000
182	805307982	1	0	10000
183	805308006	1	0	10000
184	805308007	1	0	10000
185	805308008	1	0	10000
186	805308009	1	0	10000
187	805308010	1	0	10000
188	805308011	1	0	10000
189	805308012	1	0	10000
190	805308013	1	0	10000
191	805308022	1	0	10000
192	805308024	1	0	10000
193	805308026	1	0	10000
194	805308064	1	0	10000
195	805308090	1	0	10000
196	805308091	1	0	10000
197	805308092	1	0	10000
198	805308093	1	0	10000
199	805308094	1	0	10000
200	805308095	1	0	10000
201	805308096	1	0	10000
202	805308144	1	0	10000
203	805308145	1	0	10000
204	805308202	1	0	10000
205	805308203	1	0	10000
206	805308146	1	0	10000
207	805308231	1	0	10000
208	805308232	1	0	10000
209	805308233	1	0	10000
210	805308234	1	0	10000
211	805308235	1	0	10000
212	805308236	1	0	10000
213	805308237	1	0	10000
214	805308241	1	0	10000
215	805308242	1	0	10000
216	805308243	1	0	10000
217	805308244	1	0	10000
218	805308245	1	0	10000
219	805308243	1	0	10000
220	805308244	1	0	10000
221	805308245	1	0	10000
222	805308268	1	0	10000
223	805308525	1	0	10000
224	805308413	1	0	10000
225	805308573	1	0	10000
226	805308574	1	0	10000
227	805308575	1	0	10000
228	805308576	1	0	10000
229	805308577	1	0	10000
230	805308578	1	0	10000
231	805308579	1	0	10000
232	805308584	1	0	10000
233	805308586	1	0	10000
234	805308587	1	0	10000
235	805308588	1	0	10000
236	805308589	1	0	10000
237	805308605	1	0	10000
238	805308606	1	0	10000
239	805308607	1	0	10000
240	805308608	1	0	10000
241	805308609	1	0	10000
242	805308610	1	0	10000
243	805308623	1	0	10000
244	805308624	1	0	10000
245	805308625	1	0	10000
246	805308626	1	0	10000
247	805308627	1	0	10000
248	805308636	1	0	10000
249	805308666	1	0	10000
250	872915235	1	0	10000
251	872915247	1	0	10000
252	872915248	1	0	10000
253	872915249	1	0	10000
254	872915250	1	0	10000
255	872915251	1	0	10000
256	872915261	1	0	10000
257	872915262	1	0	10000
258	872915263	1	0	10000
259	872915264	1	0	10000
260	872915265	1	0	10000
261	872915266	1	0	10000
262	872915273	1	0	10000
263	872915282	1	0	10000
264	872915283	1	0	10000
265	872915284	1	0	10000
