ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_NameIDParam|TEXT	_DescriptionIDParam|TEXT	_Type|INTEGER	_TypeParam1|INTEGER	_TypeParam2|INTEGER	_TypeParam3|INTEGER	_Potential1|INTEGER	_Potential2|INTEGER	_Potential3|INTEGER	_Potential4|INTEGER	_Potential5|INTEGER	_Potential6|INTEGER	_Potential7|INTEGER	_Potential8|INTEGER	_Potential9|INTEGER	_Potential10|INTEGER	_LevelLimit|INTEGER	_HeroLevelLimit|INTEGER	_NeedJobClass|TEXT	_Rank|INTEGER	_OverlapCount|INTEGER	_IconImageIndex|INTEGER	_Amount|INTEGER	_SellAmount|INTEGER	_State1|INTEGER	_State1_GenProb|FLOAT	_State1_Min|TEXT	_State1_Max|TEXT	_State2|INTEGER	_State2_GenProb|FLOAT	_State2_Min|TEXT	_State2_Max|TEXT	_State3|INTEGER	_State3_GenProb|FLOAT	_State3_Min|TEXT	_State3_Max|TEXT	_State4|INTEGER	_State4_GenProb|FLOAT	_State4_Min|TEXT	_State4_Max|TEXT	_State5|INTEGER	_State5_GenProb|FLOAT	_State5_Min|TEXT	_State5_Max|TEXT	_State6|INTEGER	_State6_GenProb|FLOAT	_State6_Min|TEXT	_State6_Max|TEXT	_State7|INTEGER	_State7_GenProb|FLOAT	_State7_Min|TEXT	_State7_Max|TEXT	_State8|INTEGER	_State8_GenProb|FLOAT	_State8_Min|TEXT	_State8_Max|TEXT	_State9|INTEGER	_State9_GenProb|FLOAT	_State9_Min|TEXT	_State9_Max|TEXT	_State10|INTEGER	_State10_GenProb|FLOAT	_State10_Min|TEXT	_State10_Max|TEXT	_Skill_GenProb|FLOAT	_SkillID|INTEGER	_SkillLevel|INTEGER	_SkillUsingType|INTEGER	_Reversion|INTEGER	_SealCount|INTEGER	_IsAuthentication|BOOLEAN	_IsDestruction|BOOLEAN	_IsCash|BOOLEAN	_RootSound|INTEGER	_DragSound|INTEGER	_UseSound|INTEGER	_DropSkinName|INTEGER	_DropAniName|INTEGER	_DropActName|INTEGER	_EnchantID|INTEGER	_DisjointorType|INTEGER	_Disjointamount|INTEGER	_DisjointDrop1|INTEGER	_AllowMapTypes|INTEGER	_ShowAlarmDialog|BOOLEAN	_NeedPvPRank|INTEGER	_SealID|INTEGER	_IsSealed|BOOLEAN	_CashTradeCount|INTEGER	_Compose|BOOLEAN	_ComposeList|BOOLEAN	_ApplicableValue|INTEGER	_IsCollectingEvent|BOOLEAN	_ExchangeType|INTEGER	_UseLevelLimit|INTEGER	_IsRebuyable|BOOLEAN	_ItemCategoryType|INTEGER	_AbleWStorage|BOOLEAN	_isUse|BOOLEAN	_dragonjeweltype|INTEGER	_CashOverLabBuy|INTEGER	_ShowOldLabel|BOOLEAN	_TierName|INTEGER	_GearScore|INTEGER	_overlablimit|INTEGER	_AbleStorage|BOOLEAN	_CashDisjointGroup|INTEGER	_TooltipCharmNum|TEXT	_CloneSkillOn|INTEGER
302132232	1000000883	1000002182		{1714},{17},150	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	999	12076	50	5	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	1	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302132240	1000000884	1000002182		{1714},{17},200	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	999	12068	100	10	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	2	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302132248	1000000885	1000002182		{1714},{17},340	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	999	12000	300	30	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	3	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302132256	1000000886	1000002182		{1714},{17},340	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	999	12049	750	75	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	4	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302132264	1000000887	1000002182		{1714},{17},900	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12038	1500	150	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	5	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302132272	1000000887	1000002182		{1714},{17},900	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12038	1500	150	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	6	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302132280	1000000887	1000002182		{1714},{17},900	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12038	1500	150	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	7	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302132288	1000000887	1000002182		{1714},{17},1000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12038	1500	150	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	8	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302132296	1000000887	1000002182		{1714},{17},2000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12038	1500	150	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	9	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302132304	1000000887	1000002182		{1714},{17},3200	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12038	1500	150	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	10	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302134280	1000000888	1000002182		{1714},{18},120	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	999	12088	60	6	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40011	1	2	0	0	false	true	false	0	12884	12886	12891	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302134288	1000000889	1000002182		{1714},{18},160	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	999	12059	120	12	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40011	2	2	0	0	false	true	false	0	12884	12886	12891	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302134296	1000000890	1000002182		{1714},{18},272	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	999	12001	360	36	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40011	3	2	0	0	false	true	false	0	12884	12886	12891	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302134304	1000000891	1000002182		{1714},{18},272	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	999	12048	900	90	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40011	4	2	0	0	false	true	false	0	12884	12886	12891	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302134312	1000000892	1000002182		{1714},{18},720	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12029	1800	180	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40011	5	2	0	0	false	true	false	0	12884	12886	12891	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302134320	1000000892	1000002182		{1714},{18},720	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12029	1800	180	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40011	6	2	0	0	false	true	false	0	12884	12886	12891	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302134328	1000000892	1000002182		{1714},{18},720	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12029	1800	180	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40011	7	2	0	0	false	true	false	0	12884	12886	12891	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302134336	1000000892	1000002182		{1714},{18},800	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12029	1800	180	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40011	8	2	0	0	false	true	false	0	12884	12886	12891	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302134344	1000000892	1000002182		{1714},{18},1600	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12029	1800	180	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40011	9	2	0	0	false	true	false	0	12884	12886	12891	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302134352	1000000892	1000002182		{1714},{18},2560	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12029	1800	180	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40011	10	2	0	0	false	true	false	0	12884	12886	12891	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302173192	1000000893	1000061430		{1714},{17},150,{18},120	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	999	12078	75	8	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40021	1	2	0	0	false	true	false	0	12884	12886	4877	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302173200	1000000894	1000061430		{1714},{17},200,{18},160	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	999	12058	150	15	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40021	2	2	0	0	false	true	false	0	12884	12886	4877	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302173208	1000000895	1000061430		{1714},{17},340,{18},272	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	999	12002	450	45	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40021	3	2	0	0	false	true	false	0	12884	12886	4877	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302173216	1000000896	1000061430		{1714},{17},340,{18},272	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	999	12039	1125	112	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40021	4	2	0	0	false	true	false	0	12884	12886	4877	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302173224	1000000897	1000061430		{1714},{17},900,{18},720	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	999	12028	2250	225	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40021	5	2	0	0	false	true	false	0	12884	12886	4877	4875	4876	0	0	0	0	16390	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302394376	1000010211	1000002182		{1714},{17},150	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	50	12076	300	30	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	1	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16678	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302394384	1000010212	1000002182		{1714},{17},340	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	50	12068	800	80	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	4	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16678	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302394392	1000010213	1000002182		{1714},{17},900	2	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	50	12000	2500	250	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	7	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16678	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302394400	1000010214	1000002182		{1714},{17},2000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	50	12049	3500	350	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	9	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16678	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
302394408	1000010215	1000002182		{1714},{17},3200	2	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	50	12038	5000	500	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	1.0	40001	10	2	0	0	false	true	false	0	12884	12886	12890	4875	4876	0	0	0	0	16678	true	0	0	false	0	false	false	0	false	11	0	true	0	false	true	0	0	false	0	0	0	true	0		0
