ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_NameIDParam|TEXT	_DescriptionIDParam|TEXT	_Type|INTEGER	_TypeParam1|INTEGER	_TypeParam2|INTEGER	_TypeParam3|INTEGER	_Potential1|INTEGER	_Potential2|INTEGER	_Potential3|INTEGER	_Potential4|INTEGER	_Potential5|INTEGER	_Potential6|INTEGER	_Potential7|INTEGER	_Potential8|INTEGER	_Potential9|INTEGER	_Potential10|INTEGER	_LevelLimit|INTEGER	_HeroLevelLimit|INTEGER	_NeedJobClass|TEXT	_Rank|INTEGER	_OverlapCount|INTEGER	_IconImageIndex|INTEGER	_Amount|INTEGER	_SellAmount|INTEGER	_State1|INTEGER	_State1_GenProb|FLOAT	_State1_Min|TEXT	_State1_Max|TEXT	_State2|INTEGER	_State2_GenProb|FLOAT	_State2_Min|TEXT	_State2_Max|TEXT	_State3|INTEGER	_State3_GenProb|FLOAT	_State3_Min|TEXT	_State3_Max|TEXT	_State4|INTEGER	_State4_GenProb|FLOAT	_State4_Min|TEXT	_State4_Max|TEXT	_State5|INTEGER	_State5_GenProb|FLOAT	_State5_Min|TEXT	_State5_Max|TEXT	_State6|INTEGER	_State6_GenProb|FLOAT	_State6_Min|TEXT	_State6_Max|TEXT	_State7|INTEGER	_State7_GenProb|FLOAT	_State7_Min|TEXT	_State7_Max|TEXT	_State8|INTEGER	_State8_GenProb|FLOAT	_State8_Min|TEXT	_State8_Max|TEXT	_State9|INTEGER	_State9_GenProb|FLOAT	_State9_Min|TEXT	_State9_Max|TEXT	_State10|INTEGER	_State10_GenProb|FLOAT	_State10_Min|TEXT	_State10_Max|TEXT	_Skill_GenProb|FLOAT	_SkillID|INTEGER	_SkillLevel|INTEGER	_SkillUsingType|INTEGER	_Reversion|INTEGER	_SealCount|INTEGER	_IsAuthentication|BOOLEAN	_IsDestruction|BOOLEAN	_IsCash|BOOLEAN	_RootSound|INTEGER	_DragSound|INTEGER	_UseSound|INTEGER	_DropSkinName|INTEGER	_DropAniName|INTEGER	_DropActName|INTEGER	_EnchantID|INTEGER	_DisjointorType|INTEGER	_Disjointamount|INTEGER	_DisjointDrop1|INTEGER	_AllowMapTypes|INTEGER	_ShowAlarmDialog|BOOLEAN	_NeedPvPRank|INTEGER	_SealID|INTEGER	_IsSealed|BOOLEAN	_CashTradeCount|INTEGER	_Compose|BOOLEAN	_ComposeList|BOOLEAN	_ApplicableValue|INTEGER	_IsCollectingEvent|BOOLEAN	_ExchangeType|INTEGER	_UseLevelLimit|INTEGER	_IsRebuyable|BOOLEAN	_ItemCategoryType|INTEGER	_AbleWStorage|BOOLEAN	_isUse|BOOLEAN	_dragonjeweltype|INTEGER	_CashOverLabBuy|INTEGER	_ShowOldLabel|BOOLEAN	_TierName|INTEGER	_GearScore|INTEGER	_overlablimit|INTEGER	_AbleStorage|BOOLEAN	_CashDisjointGroup|INTEGER	_TooltipCharmNum|TEXT	_CloneSkillOn|INTEGER
1073921147	1000171861	1000171864			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	8386	1	0	32	1.0	4000	4000	33	1.0	4000	4000	16	1.0	0.06001	0.06001	17	1.0	0.06001	0.06001	18	1.0	0.06001	0.06001	19	1.0	0.06001	0.06001	12	1.0	6000	6000	103	1.0	7100	7100	-1	0.0	NONE	0	-1	0.0	0	0	0.0	0	1	0	2	0	false	false	true	4802	4802	4802	4878	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	25	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073921148	1000171862	1000171865			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	8387	1	0	29	1.0	150	150	0	1.0	600	600	1	1.0	600	600	2	1.0	600	600	3	1.0	600	600	88	1.0	0.02001	0.02001	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	2	0	false	false	true	4802	12885	12887	4878	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	23	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073921149	1000171863	1000171866			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	8388	1	0	32	1.0	12000	12000	33	1.0	12000	12000	62	1.0	0.07001	0.07001	103	1.0	12000	12000	29	1.0	150	150	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	2	0	false	false	true	4802	4802	4802	4878	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	24	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073921150	1000171502	1000171505			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	8389	1	0	32	1.0	4000	4000	33	1.0	4000	4000	16	1.0	0.06001	0.06001	17	1.0	0.06001	0.06001	18	1.0	0.06001	0.06001	19	1.0	0.06001	0.06001	12	1.0	6000	6000	103	1.0	7100	7100	-1	0.0	NONE	0	-1	0.0	0	0	0.0	0	1	0	2	0	false	false	true	4802	4802	4802	4878	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	25	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073921151	1000171503	1000171506			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	8390	1	0	29	1.0	150	150	0	1.0	600	600	1	1.0	600	600	2	1.0	600	600	3	1.0	600	600	88	1.0	0.02001	0.02001	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	2	0	false	false	true	4802	12885	12887	4878	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	23	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073921152	1000171504	1000171507			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	8391	1	0	32	1.0	12000	12000	33	1.0	12000	12000	62	1.0	0.07001	0.07001	103	1.0	12000	12000	29	1.0	150	150	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	2	0	false	false	true	4802	4802	4802	4878	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	24	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073921700	1000175158	1000175159			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	8395	1	0	29	1.0	150	150	0	1.0	600	600	1	1.0	600	600	2	1.0	600	600	3	1.0	600	600	88	1.0	0.02001	0.02001	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	2	0	false	false	true	4802	12885	12887	4878	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	23	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073922645	1000177539	1000177542			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	8036	1	0	32	1.0	4000	4000	33	1.0	4000	4000	16	1.0	0.06001	0.06001	17	1.0	0.06001	0.06001	18	1.0	0.06001	0.06001	19	1.0	0.06001	0.06001	12	1.0	6000	6000	103	1.0	7100	7100	-1	0.0	NONE	0	-1	0.0	0	0	0.0	0	1	0	2	0	false	false	true	4802	4802	4802	4878	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	25	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073922646	1000177540	1000177543			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	8037	1	0	29	1.0	150	150	0	1.0	600	600	1	1.0	600	600	2	1.0	600	600	3	1.0	600	600	88	1.0	0.02001	0.02001	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	2	0	false	false	true	4802	12885	12887	4878	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	23	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073922647	1000177541	1000177544			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	8038	1	0	32	1.0	12000	12000	33	1.0	12000	12000	62	1.0	0.07001	0.07001	103	1.0	12000	12000	29	1.0	150	150	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	2	0	false	false	true	4802	4802	4802	4878	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	24	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073921598	1000174655	1000174658			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	34685	1	0	74	1.0	0.15001	0.15001	81	1.0	0.2	0.2	37	1.0	300	300	32	1.0	7000	7000	33	1.0	7000	7000	101	1.0	0.02001	0.02001	102	1.0	0.02001	0.02001	29	1.0	200	200	25	1.0	20000	20000	-1	0.0	0	0	0.0	0	1	0	2	0	false	false	true	4802	12885	12887	4878	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	26	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073921599	1000174656	1000174659			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	34686	1	0	101	1.0	0.07001	0.07001	102	1.0	0.07001	0.07001	37	1.0	600	600	29	1.0	150	150	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	2	0	false	false	true	4802	12885	12887	4878	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	27	0	false	0	true	true	0	0	false	0	0	0	true	0		0
