ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_NameIDParam|TEXT	_DescriptionIDParam|TEXT	_Type|INTEGER	_TypeParam1|INTEGER	_TypeParam2|INTEGER	_TypeParam3|INTEGER	_Potential1|INTEGER	_Potential2|INTEGER	_Potential3|INTEGER	_Potential4|INTEGER	_Potential5|INTEGER	_Potential6|INTEGER	_Potential7|INTEGER	_Potential8|INTEGER	_Potential9|INTEGER	_Potential10|INTEGER	_LevelLimit|INTEGER	_HeroLevelLimit|INTEGER	_NeedJobClass|TEXT	_Rank|INTEGER	_OverlapCount|INTEGER	_IconImageIndex|INTEGER	_Amount|INTEGER	_SellAmount|INTEGER	_State1|INTEGER	_State1_GenProb|FLOAT	_State1_Min|TEXT	_State1_Max|TEXT	_State2|INTEGER	_State2_GenProb|FLOAT	_State2_Min|TEXT	_State2_Max|TEXT	_State3|INTEGER	_State3_GenProb|FLOAT	_State3_Min|TEXT	_State3_Max|TEXT	_State4|INTEGER	_State4_GenProb|FLOAT	_State4_Min|TEXT	_State4_Max|TEXT	_State5|INTEGER	_State5_GenProb|FLOAT	_State5_Min|TEXT	_State5_Max|TEXT	_State6|INTEGER	_State6_GenProb|FLOAT	_State6_Min|TEXT	_State6_Max|TEXT	_State7|INTEGER	_State7_GenProb|FLOAT	_State7_Min|TEXT	_State7_Max|TEXT	_State8|INTEGER	_State8_GenProb|FLOAT	_State8_Min|TEXT	_State8_Max|TEXT	_State9|INTEGER	_State9_GenProb|FLOAT	_State9_Min|TEXT	_State9_Max|TEXT	_State10|INTEGER	_State10_GenProb|FLOAT	_State10_Min|TEXT	_State10_Max|TEXT	_Skill_GenProb|FLOAT	_SkillID|INTEGER	_SkillLevel|INTEGER	_SkillUsingType|INTEGER	_Reversion|INTEGER	_SealCount|INTEGER	_IsAuthentication|BOOLEAN	_IsDestruction|BOOLEAN	_IsCash|BOOLEAN	_RootSound|INTEGER	_DragSound|INTEGER	_UseSound|INTEGER	_DropSkinName|INTEGER	_DropAniName|INTEGER	_DropActName|INTEGER	_EnchantID|INTEGER	_DisjointorType|INTEGER	_Disjointamount|INTEGER	_DisjointDrop1|INTEGER	_AllowMapTypes|INTEGER	_ShowAlarmDialog|BOOLEAN	_NeedPvPRank|INTEGER	_SealID|INTEGER	_IsSealed|BOOLEAN	_CashTradeCount|INTEGER	_Compose|BOOLEAN	_ComposeList|BOOLEAN	_ApplicableValue|INTEGER	_IsCollectingEvent|BOOLEAN	_ExchangeType|INTEGER	_UseLevelLimit|INTEGER	_IsRebuyable|BOOLEAN	_ItemCategoryType|INTEGER	_AbleWStorage|BOOLEAN	_isUse|BOOLEAN	_dragonjeweltype|INTEGER	_CashOverLabBuy|INTEGER	_ShowOldLabel|BOOLEAN	_TierName|INTEGER	_GearScore|INTEGER	_overlablimit|INTEGER	_AbleStorage|BOOLEAN	_CashDisjointGroup|INTEGER	_TooltipCharmNum|TEXT	_CloneSkillOn|INTEGER
1073880630	1000107887	1000107883			0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	14661	1	0	32	1.0	140	140	33	1.0	140	140	101	1.0	0.01001	0.01001	102	1.0	0.01001	0.01001	12	1.0	300	300	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	false	true	0	4803	4804	4797	4418	4417	847258592	0	0	184555792	-1	true	0	0	false	0	false	false	0	false	16	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073880631	1000107888	1000107883			0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	14662	1	0	32	1.0	100	100	33	1.0	100	100	101	1.0	0.00501	0.00501	102	1.0	0.00501	0.00501	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	false	true	0	4812	4813	4797	4418	4417	847258595	0	0	184555803	-1	true	0	0	false	0	false	false	0	false	17	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073880628	1000175914	1000115604	{1000114867},{1000107887}		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	14661	1	0	32	1.0	160	160	33	1.0	160	160	101	1.0	0.01501	0.01501	102	1.0	0.01501	0.01501	12	1.0	500	500	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	false	true	0	4803	4804	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	16	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073888697	1000175914	1000115604	{1000114868},{1000107887}		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	14661	1	0	32	1.0	180	180	33	1.0	180	180	101	1.0	0.02001	0.02001	102	1.0	0.02001	0.02001	12	1.0	700	700	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	false	true	0	4803	4804	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	16	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073888698	1000175914	1000115604	{1000114869},{1000107887}		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	14661	1	0	32	1.0	260	260	33	1.0	260	260	101	1.0	0.03001	0.03001	102	1.0	0.03001	0.03001	12	1.0	1500	1500	29	1.0	50	50	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	false	true	0	4803	4804	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	16	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073888699	1000175914	1000115604	{1000114870},{1000107887}		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	14661	1	0	32	1.0	350	350	33	1.0	350	350	101	1.0	0.04501	0.04501	102	1.0	0.04501	0.04501	12	1.0	2000	2000	29	1.0	70	70	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	false	true	0	4803	4804	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	16	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073888700	1000175914	1000115604	{1000006973},{1000107887}		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	14661	1	0	32	1.0	600	600	33	1.0	600	600	101	1.0	0.06001	0.06001	102	1.0	0.06001	0.06001	12	1.0	3000	3000	29	1.0	100	100	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	false	true	0	4803	4804	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	16	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073888701	1000175914	1000115604	{1000114871},{1000107887}		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	14661	1	0	32	1.0	1600	1600	33	1.0	1600	1600	101	1.0	0.08001	0.08001	102	1.0	0.08001	0.08001	12	1.0	4000	4000	29	1.0	150	150	62	1.0	0.03001	0.03001	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	false	true	0	4803	4804	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	16	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073888702	1000175914	1000115604	{1000114872},{1000107887}		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	14661	1	0	32	1.0	2500	2500	33	1.0	2500	2500	101	1.0	0.10001	0.10001	102	1.0	0.10001	0.10001	12	1.0	5000	5000	29	1.0	200	200	62	1.0	0.05001	0.05001	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	false	true	0	4803	4804	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	16	0	false	0	true	true	0	0	false	0	0	0	true	0		0
1073900270	1000175914	1000115604	{1000118202},{1000107887}		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	14661	1	0	32	1.0	10500	10500	33	1.0	10500	10500	101	1.0	0.10501	0.10501	102	1.0	0.10501	0.10501	12	1.0	6000	6000	29	1.0	250	250	62	1.0	0.05501	0.05501	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	false	true	0	4803	4804	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	16	0	false	0	true	true	0	0	false	0	0	0	true	0		0
