ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_NameIDParam|TEXT	_DescriptionIDParam|TEXT	_Type|INTEGER	_TypeParam1|INTEGER	_TypeParam2|INTEGER	_TypeParam3|INTEGER	_Potential1|INTEGER	_Potential2|INTEGER	_Potential3|INTEGER	_Potential4|INTEGER	_Potential5|INTEGER	_Potential6|INTEGER	_Potential7|INTEGER	_Potential8|INTEGER	_Potential9|INTEGER	_Potential10|INTEGER	_LevelLimit|INTEGER	_HeroLevelLimit|INTEGER	_NeedJobClass|TEXT	_Rank|INTEGER	_OverlapCount|INTEGER	_IconImageIndex|INTEGER	_Amount|INTEGER	_SellAmount|INTEGER	_State1|INTEGER	_State1_GenProb|FLOAT	_State1_Min|TEXT	_State1_Max|TEXT	_State2|INTEGER	_State2_GenProb|FLOAT	_State2_Min|TEXT	_State2_Max|TEXT	_State3|INTEGER	_State3_GenProb|FLOAT	_State3_Min|TEXT	_State3_Max|TEXT	_State4|INTEGER	_State4_GenProb|FLOAT	_State4_Min|TEXT	_State4_Max|TEXT	_State5|INTEGER	_State5_GenProb|FLOAT	_State5_Min|TEXT	_State5_Max|TEXT	_State6|INTEGER	_State6_GenProb|FLOAT	_State6_Min|TEXT	_State6_Max|TEXT	_State7|INTEGER	_State7_GenProb|FLOAT	_State7_Min|TEXT	_State7_Max|TEXT	_State8|INTEGER	_State8_GenProb|FLOAT	_State8_Min|TEXT	_State8_Max|TEXT	_State9|INTEGER	_State9_GenProb|FLOAT	_State9_Min|TEXT	_State9_Max|TEXT	_State10|INTEGER	_State10_GenProb|FLOAT	_State10_Min|TEXT	_State10_Max|TEXT	_Skill_GenProb|FLOAT	_SkillID|INTEGER	_SkillLevel|INTEGER	_SkillUsingType|INTEGER	_Reversion|INTEGER	_SealCount|INTEGER	_IsAuthentication|BOOLEAN	_IsDestruction|BOOLEAN	_IsCash|BOOLEAN	_RootSound|INTEGER	_DragSound|INTEGER	_UseSound|INTEGER	_DropSkinName|INTEGER	_DropAniName|INTEGER	_DropActName|INTEGER	_EnchantID|INTEGER	_DisjointorType|INTEGER	_Disjointamount|INTEGER	_DisjointDrop1|INTEGER	_AllowMapTypes|INTEGER	_ShowAlarmDialog|BOOLEAN	_NeedPvPRank|INTEGER	_SealID|INTEGER	_IsSealed|BOOLEAN	_CashTradeCount|INTEGER	_Compose|BOOLEAN	_ComposeList|BOOLEAN	_ApplicableValue|INTEGER	_IsCollectingEvent|BOOLEAN	_ExchangeType|INTEGER	_UseLevelLimit|INTEGER	_IsRebuyable|BOOLEAN	_ItemCategoryType|INTEGER	_AbleWStorage|BOOLEAN	_isUse|BOOLEAN	_dragonjeweltype|INTEGER	_CashOverLabBuy|INTEGER	_ShowOldLabel|BOOLEAN	_TierName|INTEGER	_GearScore|INTEGER	_overlablimit|INTEGER	_AbleStorage|BOOLEAN	_CashDisjointGroup|INTEGER	_TooltipCharmNum|TEXT	_CloneSkillOn|INTEGER
1073922275	1000176265	1000159650			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	33378	1	0	101	1.0	0.07001	0.07001	102	1.0	0.07001	0.07001	37	1.0	600	600	29	1.0	150	150	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	81092	1	6	1	0	false	false	true	4819	81	4818	4940	4801	4800	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	27	0	false	0	true	true	0	0	false	0	0	0	true	3		1
1073922276	1000176266	1000159651			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	33379	1	0	32	1.0	10000	10000	33	1.0	10000	10000	88	1.0	0.07001	0.07001	58	1.0	0.04001	0.04001	59	1.0	0.04001	0.04001	8	1.0	500	500	9	1.0	500	500	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	81093	1	6	1	0	false	false	true	4819	81	4818	4939	4799	4798	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	28	0	false	0	true	true	0	0	false	0	0	0	true	3		1
1073922277	1000176265	1000159650			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	33378	1	0	101	1.0	0.07001	0.07001	102	1.0	0.07001	0.07001	37	1.0	600	600	29	1.0	150	150	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	81094	1	6	1	0	false	false	true	4836	4834	4835	4643	4867	4866	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	27	0	false	0	true	true	0	0	false	0	0	0	true	3		1
1073922278	1000176266	1000159651			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	33379	1	0	32	1.0	10000	10000	33	1.0	10000	10000	88	1.0	0.07001	0.07001	58	1.0	0.04001	0.04001	59	1.0	0.04001	0.04001	8	1.0	500	500	9	1.0	500	500	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	81095	1	6	1	0	false	false	true	4836	4834	4835	5181	4799	4798	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	28	0	false	0	true	true	0	0	false	0	0	0	true	3		1
1073922279	1000176265	1000159650			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	33378	1	0	101	1.0	0.07001	0.07001	102	1.0	0.07001	0.07001	37	1.0	600	600	29	1.0	150	150	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	81096	1	6	1	0	false	false	true	4819	81	4818	4525	4799	4798	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	27	0	false	0	true	true	0	0	false	0	0	0	true	3		1
1073922280	1000176266	1000159651			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	33379	1	0	32	1.0	10000	10000	33	1.0	10000	10000	88	1.0	0.07001	0.07001	58	1.0	0.04001	0.04001	59	1.0	0.04001	0.04001	8	1.0	500	500	9	1.0	500	500	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	81097	1	6	1	0	false	false	true	4819	81	4818	4940	4801	4800	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	28	0	false	0	true	true	0	0	false	0	0	0	true	3		1
1073922281	1000176265	1000159650			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	33378	1	0	101	1.0	0.07001	0.07001	102	1.0	0.07001	0.07001	37	1.0	600	600	29	1.0	150	150	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	81098	1	6	1	0	false	false	true	4819	81	4818	4939	4799	4798	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	27	0	false	0	true	true	0	0	false	0	0	0	true	3		1
1073922282	1000176266	1000159651			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	33379	1	0	32	1.0	10000	10000	33	1.0	10000	10000	88	1.0	0.07001	0.07001	58	1.0	0.04001	0.04001	59	1.0	0.04001	0.04001	8	1.0	500	500	9	1.0	500	500	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	81099	1	6	1	0	false	false	true	4836	4834	4835	4643	4867	4866	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	28	0	false	0	true	true	0	0	false	0	0	0	true	3		1
1073922283	1000176265	1000159650			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	33378	1	0	101	1.0	0.07001	0.07001	102	1.0	0.07001	0.07001	37	1.0	600	600	29	1.0	150	150	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	81100	1	6	1	0	false	false	true	4836	4834	4835	5181	4799	4798	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	27	0	false	0	true	true	0	0	false	0	0	0	true	3		1
1073922284	1000176266	1000159651			1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	33379	1	0	32	1.0	10000	10000	33	1.0	10000	10000	88	1.0	0.07001	0.07001	58	1.0	0.04001	0.04001	59	1.0	0.04001	0.04001	8	1.0	500	500	9	1.0	500	500	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	81101	1	6	1	0	false	false	true	4819	81	4818	4525	4799	4798	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	28	0	false	0	true	true	0	0	false	0	0	0	true	3		1
