ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_NameIDParam|TEXT	_DescriptionIDParam|TEXT	_Type|INTEGER	_TypeParam1|INTEGER	_TypeParam2|INTEGER	_TypeParam3|INTEGER	_Potential1|INTEGER	_Potential2|INTEGER	_Potential3|INTEGER	_Potential4|INTEGER	_Potential5|INTEGER	_Potential6|INTEGER	_Potential7|INTEGER	_Potential8|INTEGER	_Potential9|INTEGER	_Potential10|INTEGER	_LevelLimit|INTEGER	_HeroLevelLimit|INTEGER	_NeedJobClass|TEXT	_Rank|INTEGER	_OverlapCount|INTEGER	_IconImageIndex|INTEGER	_Amount|INTEGER	_SellAmount|INTEGER	_State1|INTEGER	_State1_GenProb|FLOAT	_State1_Min|TEXT	_State1_Max|TEXT	_State2|INTEGER	_State2_GenProb|FLOAT	_State2_Min|TEXT	_State2_Max|TEXT	_State3|INTEGER	_State3_GenProb|FLOAT	_State3_Min|TEXT	_State3_Max|TEXT	_State4|INTEGER	_State4_GenProb|FLOAT	_State4_Min|TEXT	_State4_Max|TEXT	_State5|INTEGER	_State5_GenProb|FLOAT	_State5_Min|TEXT	_State5_Max|TEXT	_State6|INTEGER	_State6_GenProb|FLOAT	_State6_Min|TEXT	_State6_Max|TEXT	_State7|INTEGER	_State7_GenProb|FLOAT	_State7_Min|TEXT	_State7_Max|TEXT	_State8|INTEGER	_State8_GenProb|FLOAT	_State8_Min|TEXT	_State8_Max|TEXT	_State9|INTEGER	_State9_GenProb|FLOAT	_State9_Min|TEXT	_State9_Max|TEXT	_State10|INTEGER	_State10_GenProb|FLOAT	_State10_Min|TEXT	_State10_Max|TEXT	_Skill_GenProb|FLOAT	_SkillID|INTEGER	_SkillLevel|INTEGER	_SkillUsingType|INTEGER	_Reversion|INTEGER	_SealCount|INTEGER	_IsAuthentication|BOOLEAN	_IsDestruction|BOOLEAN	_IsCash|BOOLEAN	_RootSound|INTEGER	_DragSound|INTEGER	_UseSound|INTEGER	_DropSkinName|INTEGER	_DropAniName|INTEGER	_DropActName|INTEGER	_EnchantID|INTEGER	_DisjointorType|INTEGER	_Disjointamount|INTEGER	_DisjointDrop1|INTEGER	_AllowMapTypes|INTEGER	_ShowAlarmDialog|BOOLEAN	_NeedPvPRank|INTEGER	_SealID|INTEGER	_IsSealed|BOOLEAN	_CashTradeCount|INTEGER	_Compose|BOOLEAN	_ComposeList|BOOLEAN	_ApplicableValue|INTEGER	_IsCollectingEvent|BOOLEAN	_ExchangeType|INTEGER	_UseLevelLimit|INTEGER	_IsRebuyable|BOOLEAN	_ItemCategoryType|INTEGER	_AbleWStorage|BOOLEAN	_isUse|BOOLEAN	_dragonjeweltype|INTEGER	_CashOverLabBuy|INTEGER	_ShowOldLabel|BOOLEAN	_TierName|INTEGER	_GearScore|INTEGER	_overlablimit|INTEGER	_AbleStorage|BOOLEAN	_CashDisjointGroup|INTEGER	_TooltipCharmNum|TEXT	_CloneSkillOn|INTEGER
268489106	1000164215	1000164760			2	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	7	9999	13583	0	1	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4830	4830	12953	4860	57325	0	0	0	0	15	true	0	0	false	0	false	false	0	false	15	0	true	0	false	true	0	0	false	0	0	0	true	0		0
268489107	1000164216	1000164760			2	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	7	9999	13581	0	1	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4830	4830	12953	4860	57325	0	0	0	0	15	true	0	0	false	0	false	false	0	false	15	0	true	0	false	true	0	0	false	0	0	0	true	0		0
268489108	1000164217	1000164760			2	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	7	9999	13586	0	1	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4830	4830	12953	4860	57325	0	0	0	0	15	true	0	0	false	0	false	false	0	false	15	0	true	0	false	true	0	0	false	0	0	0	true	0		0
268489109	1000164218	1000164760			2	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	7	9999	13578	0	1	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4830	4830	12953	4860	57325	0	0	0	0	15	true	0	0	false	0	false	false	0	false	15	0	true	0	false	true	0	0	false	0	0	0	true	0		0
268489110	1000164219	1000164760			2	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	7	9999	13584	0	1	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4830	4830	12953	4860	57325	0	0	0	0	15	true	0	0	false	0	false	false	0	false	15	0	true	0	false	true	0	0	false	0	0	0	true	0		0
268489111	1000164220	1000164761			2	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	5	9999	12633	0	1	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4830	4830	12953	4860	57327	0	0	0	0	15	true	0	0	false	0	false	false	0	false	15	0	true	30	false	true	0	0	false	0	0	0	true	0		0
268489112	1000145317	1000164762			2	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	5	9999	15249	0	1	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4830	4830	12953	4860	57327	0	0	0	0	15	true	0	0	false	0	false	false	0	false	15	0	true	30	false	true	0	0	false	0	0	0	true	0		0
268489113	1000164222	1000164763			2	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	5	9999	14037	0	1	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4830	4830	12953	4860	57327	0	0	0	0	15	true	0	0	false	0	false	false	0	false	15	0	true	30	false	true	0	0	false	0	0	0	true	0		0
268489114	1000159113	1000164764			2	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	5	9999	13048	0	1	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4830	4830	12953	4860	57327	0	0	0	0	15	true	0	0	false	0	false	false	0	false	15	0	true	30	false	true	0	0	false	0	0	0	true	0		0
268489115	1000159123	1000164765			2	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	5	9999	13206	0	1	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4830	4830	12953	4860	57327	0	0	0	0	15	true	0	0	false	0	false	false	0	false	15	0	true	30	false	true	0	0	false	0	0	0	true	0		0
