ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_NameIDParam|TEXT	_DescriptionIDParam|TEXT	_Type|INTEGER	_TypeParam1|INTEGER	_TypeParam2|INTEGER	_TypeParam3|INTEGER	_Potential1|INTEGER	_Potential2|INTEGER	_Potential3|INTEGER	_Potential4|INTEGER	_Potential5|INTEGER	_Potential6|INTEGER	_Potential7|INTEGER	_Potential8|INTEGER	_Potential9|INTEGER	_Potential10|INTEGER	_LevelLimit|INTEGER	_HeroLevelLimit|INTEGER	_NeedJobClass|TEXT	_Rank|INTEGER	_OverlapCount|INTEGER	_IconImageIndex|INTEGER	_Amount|INTEGER	_SellAmount|INTEGER	_State1|INTEGER	_State1_GenProb|FLOAT	_State1_Min|TEXT	_State1_Max|TEXT	_State2|INTEGER	_State2_GenProb|FLOAT	_State2_Min|TEXT	_State2_Max|TEXT	_State3|INTEGER	_State3_GenProb|FLOAT	_State3_Min|TEXT	_State3_Max|TEXT	_State4|INTEGER	_State4_GenProb|FLOAT	_State4_Min|TEXT	_State4_Max|TEXT	_State5|INTEGER	_State5_GenProb|FLOAT	_State5_Min|TEXT	_State5_Max|TEXT	_State6|INTEGER	_State6_GenProb|FLOAT	_State6_Min|TEXT	_State6_Max|TEXT	_State7|INTEGER	_State7_GenProb|FLOAT	_State7_Min|TEXT	_State7_Max|TEXT	_State8|INTEGER	_State8_GenProb|FLOAT	_State8_Min|TEXT	_State8_Max|TEXT	_State9|INTEGER	_State9_GenProb|FLOAT	_State9_Min|TEXT	_State9_Max|TEXT	_State10|INTEGER	_State10_GenProb|FLOAT	_State10_Min|TEXT	_State10_Max|TEXT	_Skill_GenProb|FLOAT	_SkillID|INTEGER	_SkillLevel|INTEGER	_SkillUsingType|INTEGER	_Reversion|INTEGER	_SealCount|INTEGER	_IsAuthentication|BOOLEAN	_IsDestruction|BOOLEAN	_IsCash|BOOLEAN	_RootSound|INTEGER	_DragSound|INTEGER	_UseSound|INTEGER	_DropSkinName|INTEGER	_DropAniName|INTEGER	_DropActName|INTEGER	_EnchantID|INTEGER	_DisjointorType|INTEGER	_Disjointamount|INTEGER	_DisjointDrop1|INTEGER	_AllowMapTypes|INTEGER	_ShowAlarmDialog|BOOLEAN	_NeedPvPRank|INTEGER	_SealID|INTEGER	_IsSealed|BOOLEAN	_CashTradeCount|INTEGER	_Compose|BOOLEAN	_ComposeList|BOOLEAN	_ApplicableValue|INTEGER	_IsCollectingEvent|BOOLEAN	_ExchangeType|INTEGER	_UseLevelLimit|INTEGER	_IsRebuyable|BOOLEAN	_ItemCategoryType|INTEGER	_AbleWStorage|BOOLEAN	_isUse|BOOLEAN	_dragonjeweltype|INTEGER	_CashOverLabBuy|INTEGER	_ShowOldLabel|BOOLEAN	_TierName|INTEGER	_GearScore|INTEGER	_overlablimit|INTEGER	_AbleStorage|BOOLEAN	_CashDisjointGroup|INTEGER	_TooltipCharmNum|TEXT	_CloneSkillOn|INTEGER
268456419	1000004083	0	{1000083774},{1000001988}		1	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	4	3	1	4054	0	925	106	1.0	982	982	8	1.0	7010.03274048	7010.03274048	9	1.0	6231.14021376	6231.14021376	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4836	4834	4835	4642	4801	4800	847256676	1	4625	184552484	-1	true	0	89	false	0	false	false	4333572	false	3	0	true	0	true	true	5	0	false	0	0	0	true	0		0
268456420	1000004083	0	{1000083774},{1000057020}		1	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	7	3	1	20772	0	1050	106	1.0	1192	1192	8	1.0	6310.47186	6310.47186	9	1.0	8413.96248	8413.96248	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4819	81	4818	25348	4867	4866	847256764	1	5250	184552486	-1	true	0	89	false	0	false	false	37879824	false	5	0	true	0	true	true	5	0	false	0	0	0	true	0		0
268456421	1000004083	0	{1000083774},{1000057021}		1	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	7	3	1	20773	0	670	106	1.0	491	491	8	1.0	2524.188744	2524.188744	9	1.0	3365.584992	3365.584992	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4819	81	4818	25349	4799	4798	847256768	1	3350	184552487	-1	true	0	89	false	0	false	false	37879840	false	6	0	true	0	true	true	5	0	false	0	0	0	true	0		0
268456422	1000004083	0	{1000083774},{1000075079}		1	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	8	3	1	22553	0	670	106	1.0	491	491	8	1.0	3029.0264928	3029.0264928	9	1.0	2692.4679936	2692.4679936	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4819	81	4818	31559	4799	4798	847257450	1	3350	184552487	-1	true	0	89	false	0	false	false	71434272	false	6	0	true	0	true	true	5	0	false	0	0	0	true	0		0
268456423	1000004083	0	{1000083774},{1000075077}		1	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	8	3	1	22552	0	1050	106	1.0	1192	1192	8	1.0	7572.566232	7572.566232	9	1.0	6731.169984	6731.169984	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4819	81	4818	31560	4867	4866	847257394	1	5250	184552486	-1	true	0	89	false	0	false	false	71434256	false	5	0	true	0	true	true	5	0	false	0	0	0	true	0		0
268456424	1000004083	0	{1000083774},{1000041703}		1	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	6	3	1	10548	0	670	106	1.0	491	491	8	1.0	1983.291156	1983.291156	9	1.0	2644.388208	2644.388208	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4819	81	4818	16743	4799	4798	847256748	1	3350	184552487	-1	true	0	89	false	0	false	false	21102624	false	6	0	true	0	true	true	5	0	false	0	0	0	true	0		0
268456425	1000004083	0	{1000083774},{1000001986}		1	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	2	3	1	4142	0	1050	106	1.0	1192	1192	8	1.0	4958.22789	4958.22789	9	1.0	5408.97588	5408.97588	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4819	81	4818	4527	4867	4866	847256664	1	5250	184552486	-1	true	0	89	false	0	false	false	4327440	false	5	0	true	0	true	true	5	0	false	0	0	0	true	0		0
268456426	1000004083	0	{1000083774},{1000001925}		1	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	3	3	1	4058	0	1135	106	1.0	1403	1403	8	1.0	4795.9586136	4795.9586136	9	1.0	9591.9172272	9591.9172272	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4819	81	4818	4885	4582	4581	847256700	1	5675	184552485	-1	true	0	89	false	0	false	false	4329480	false	4	0	true	0	true	true	5	0	false	0	0	0	true	0		0
268456427	1000004083	0	{1000083774},{1000057022}		1	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	7	3	1	20770	0	925	106	1.0	982	982	8	1.0	5048.377488	5048.377488	9	1.0	6731.169984	6731.169984	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4819	81	4818	25346	4801	4800	847256756	1	4625	184552484	-1	true	0	89	false	0	false	false	37879812	false	3	0	true	0	true	true	5	0	false	0	0	0	true	0		0
268456428	1000004083	0	{1000083774},{1000001981}		1	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	2	3	1	4144	0	925	106	1.0	982	982	8	1.0	3966.582312	3966.582312	9	1.0	4327.180704	4327.180704	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4819	81	4818	4526	4801	4800	847256656	1	4625	184552484	-1	true	0	89	false	0	false	false	4327428	false	3	0	true	0	true	true	5	0	false	0	0	0	true	0		0
