ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_NameIDParam|TEXT	_DescriptionIDParam|TEXT	_Type|INTEGER	_TypeParam1|INTEGER	_TypeParam2|INTEGER	_TypeParam3|INTEGER	_Potential1|INTEGER	_Potential2|INTEGER	_Potential3|INTEGER	_Potential4|INTEGER	_Potential5|INTEGER	_Potential6|INTEGER	_Potential7|INTEGER	_Potential8|INTEGER	_Potential9|INTEGER	_Potential10|INTEGER	_LevelLimit|INTEGER	_HeroLevelLimit|INTEGER	_NeedJobClass|TEXT	_Rank|INTEGER	_OverlapCount|INTEGER	_IconImageIndex|INTEGER	_Amount|INTEGER	_SellAmount|INTEGER	_State1|INTEGER	_State1_GenProb|FLOAT	_State1_Min|TEXT	_State1_Max|TEXT	_State2|INTEGER	_State2_GenProb|FLOAT	_State2_Min|TEXT	_State2_Max|TEXT	_State3|INTEGER	_State3_GenProb|FLOAT	_State3_Min|TEXT	_State3_Max|TEXT	_State4|INTEGER	_State4_GenProb|FLOAT	_State4_Min|TEXT	_State4_Max|TEXT	_State5|INTEGER	_State5_GenProb|FLOAT	_State5_Min|TEXT	_State5_Max|TEXT	_State6|INTEGER	_State6_GenProb|FLOAT	_State6_Min|TEXT	_State6_Max|TEXT	_State7|INTEGER	_State7_GenProb|FLOAT	_State7_Min|TEXT	_State7_Max|TEXT	_State8|INTEGER	_State8_GenProb|FLOAT	_State8_Min|TEXT	_State8_Max|TEXT	_State9|INTEGER	_State9_GenProb|FLOAT	_State9_Min|TEXT	_State9_Max|TEXT	_State10|INTEGER	_State10_GenProb|FLOAT	_State10_Min|TEXT	_State10_Max|TEXT	_Skill_GenProb|FLOAT	_SkillID|INTEGER	_SkillLevel|INTEGER	_SkillUsingType|INTEGER	_Reversion|INTEGER	_SealCount|INTEGER	_IsAuthentication|BOOLEAN	_IsDestruction|BOOLEAN	_IsCash|BOOLEAN	_RootSound|INTEGER	_DragSound|INTEGER	_UseSound|INTEGER	_DropSkinName|INTEGER	_DropAniName|INTEGER	_DropActName|INTEGER	_EnchantID|INTEGER	_DisjointorType|INTEGER	_Disjointamount|INTEGER	_DisjointDrop1|INTEGER	_AllowMapTypes|INTEGER	_ShowAlarmDialog|BOOLEAN	_NeedPvPRank|INTEGER	_SealID|INTEGER	_IsSealed|BOOLEAN	_CashTradeCount|INTEGER	_Compose|BOOLEAN	_ComposeList|BOOLEAN	_ApplicableValue|INTEGER	_IsCollectingEvent|BOOLEAN	_ExchangeType|INTEGER	_UseLevelLimit|INTEGER	_IsRebuyable|BOOLEAN	_ItemCategoryType|INTEGER	_AbleWStorage|BOOLEAN	_isUse|BOOLEAN	_dragonjeweltype|INTEGER	_CashOverLabBuy|INTEGER	_ShowOldLabel|BOOLEAN	_TierName|INTEGER	_GearScore|INTEGER	_overlablimit|INTEGER	_AbleStorage|BOOLEAN	_CashDisjointGroup|INTEGER	_TooltipCharmNum|TEXT	_CloneSkillOn|INTEGER
353804296	1000001845	1000175902	{1000033055},{1000006073},{2228}		1	2386432	687915008	0	0	0	0	0	0	0	0	0	0	0	32	0	1	3	1	8065	0	1385	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	0	1	4	1	5	false	true	false	4802	4802	4802	4793	4418	4417	0	1	69	0	-1	true	0	66020000	true	0	false	false	2228736	false	9	0	true	0	true	true	99	0	true	0	0	0	true	0		0
353804368	1000001845	1000175902	{1000033055},{1000006073},{2228}		1	2386432	687915008	0	0	0	0	0	0	0	0	0	0	0	32	0	12	3	1	8065	0	1385	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	0	1	4	1	5	false	true	false	4802	4802	4802	4793	4418	4417	0	1	69	0	-1	true	0	66020000	true	0	false	false	2228736	false	9	0	true	0	true	true	99	0	true	0	0	0	true	0		0
353804376	1000001845	1000175902	{1000033055},{1000006073},{2228}		1	2386432	687915008	0	0	0	0	0	0	0	0	0	0	0	32	0	12	3	1	8065	0	1385	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	0	1	4	1	5	false	true	false	4802	4802	4802	4793	4418	4417	0	1	69	0	-1	true	0	66020000	true	0	false	false	2228736	false	9	0	true	0	true	true	99	0	true	0	0	0	true	0		0
353804384	1000001845	1000175902	{1000033055},{1000006073},{2228}		1	2386432	687915008	0	0	0	0	0	0	0	0	0	0	0	32	0	11	3	1	8065	0	1385	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	0	1	4	1	5	false	true	false	4802	4802	4802	4793	4418	4417	0	1	69	0	-1	true	0	66020000	true	0	false	false	2228736	false	9	0	true	0	true	true	99	0	true	0	0	0	true	0		0
353804392	1000001845	1000175902	{1000033055},{1000006073},{2228}		1	2386432	687915008	0	0	0	0	0	0	0	0	0	0	0	32	0	22	3	1	8065	0	1385	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	0	1	4	1	5	false	true	false	4802	4802	4802	4793	4418	4417	0	1	69	0	-1	true	0	66020000	true	0	false	false	2228736	false	9	0	true	0	true	true	99	0	true	0	0	0	true	0		0
353804400	1000001845	1000175902	{1000033055},{1000006073},{2228}		1	2386432	687915008	0	0	0	0	0	0	0	0	0	0	0	32	0	15	3	1	8065	0	1385	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	0	1	4	1	5	false	true	false	4802	4802	4802	4793	4418	4417	0	1	69	0	-1	true	0	66020000	true	0	false	false	2228736	false	9	0	true	0	true	true	99	0	true	0	0	0	true	0		0
353804408	1000001845	1000175902	{1000033055},{1000006073},{2228}		1	2386432	687915008	0	0	0	0	0	0	0	0	0	0	0	32	0	11	3	1	8065	0	1385	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	0	1	4	1	5	false	true	false	4802	4802	4802	4793	4418	4417	0	1	69	0	-1	true	0	66020000	true	0	false	false	2228736	false	9	0	true	0	true	true	99	0	true	0	0	0	true	0		0
353804416	1000001845	1000175902	{1000033055},{1000006073},{2228}		1	2386432	687915008	0	0	0	0	0	0	0	0	0	0	0	32	0	17	3	1	8065	0	1385	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	0	1	4	1	5	false	true	false	4802	4802	4802	4793	4418	4417	0	1	69	0	-1	true	0	66020000	true	0	false	false	2228736	false	9	0	true	0	true	true	99	0	true	0	0	0	true	0		0
353804424	1000001845	1000175902	{1000033055},{1000006073},{2228}		1	2386432	687915008	0	0	0	0	0	0	0	0	0	0	0	32	0	17	3	1	8065	0	1385	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	0	1	4	1	5	false	true	false	4802	4802	4802	4793	4418	4417	0	1	69	0	-1	true	0	66020000	true	0	false	false	2228736	false	9	0	true	0	true	true	99	0	true	0	0	0	true	0		0
353804432	1000001845	1000175902	{1000033055},{1000006073},{2228}		1	2386432	687915008	0	0	0	0	0	0	0	0	0	0	0	32	0	20	3	1	8065	0	1385	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	-1	0.0	0	0	1.0	0	1	4	1	5	false	true	false	4802	4802	4802	4793	4418	4417	0	1	69	0	-1	true	0	66020000	true	0	false	false	2228736	false	9	0	true	0	true	true	99	0	true	0	0	0	true	0		0
