ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_NameIDParam|TEXT	_DescriptionIDParam|TEXT	_Type|INTEGER	_TypeParam1|INTEGER	_TypeParam2|INTEGER	_TypeParam3|INTEGER	_Potential1|INTEGER	_Potential2|INTEGER	_Potential3|INTEGER	_Potential4|INTEGER	_Potential5|INTEGER	_Potential6|INTEGER	_Potential7|INTEGER	_Potential8|INTEGER	_Potential9|INTEGER	_Potential10|INTEGER	_LevelLimit|INTEGER	_HeroLevelLimit|INTEGER	_NeedJobClass|TEXT	_Rank|INTEGER	_OverlapCount|INTEGER	_IconImageIndex|INTEGER	_Amount|INTEGER	_SellAmount|INTEGER	_State1|INTEGER	_State1_GenProb|FLOAT	_State1_Min|TEXT	_State1_Max|TEXT	_State2|INTEGER	_State2_GenProb|FLOAT	_State2_Min|TEXT	_State2_Max|TEXT	_State3|INTEGER	_State3_GenProb|FLOAT	_State3_Min|TEXT	_State3_Max|TEXT	_State4|INTEGER	_State4_GenProb|FLOAT	_State4_Min|TEXT	_State4_Max|TEXT	_State5|INTEGER	_State5_GenProb|FLOAT	_State5_Min|TEXT	_State5_Max|TEXT	_State6|INTEGER	_State6_GenProb|FLOAT	_State6_Min|TEXT	_State6_Max|TEXT	_State7|INTEGER	_State7_GenProb|FLOAT	_State7_Min|TEXT	_State7_Max|TEXT	_State8|INTEGER	_State8_GenProb|FLOAT	_State8_Min|TEXT	_State8_Max|TEXT	_State9|INTEGER	_State9_GenProb|FLOAT	_State9_Min|TEXT	_State9_Max|TEXT	_State10|INTEGER	_State10_GenProb|FLOAT	_State10_Min|TEXT	_State10_Max|TEXT	_Skill_GenProb|FLOAT	_SkillID|INTEGER	_SkillLevel|INTEGER	_SkillUsingType|INTEGER	_Reversion|INTEGER	_SealCount|INTEGER	_IsAuthentication|BOOLEAN	_IsDestruction|BOOLEAN	_IsCash|BOOLEAN	_RootSound|INTEGER	_DragSound|INTEGER	_UseSound|INTEGER	_DropSkinName|INTEGER	_DropAniName|INTEGER	_DropActName|INTEGER	_EnchantID|INTEGER	_DisjointorType|INTEGER	_Disjointamount|INTEGER	_DisjointDrop1|INTEGER	_AllowMapTypes|INTEGER	_ShowAlarmDialog|BOOLEAN	_NeedPvPRank|INTEGER	_SealID|INTEGER	_IsSealed|BOOLEAN	_CashTradeCount|INTEGER	_Compose|BOOLEAN	_ComposeList|BOOLEAN	_ApplicableValue|INTEGER	_IsCollectingEvent|BOOLEAN	_ExchangeType|INTEGER	_UseLevelLimit|INTEGER	_IsRebuyable|BOOLEAN	_ItemCategoryType|INTEGER	_AbleWStorage|BOOLEAN	_isUse|BOOLEAN	_dragonjeweltype|INTEGER	_CashOverLabBuy|INTEGER	_ShowOldLabel|BOOLEAN	_TierName|INTEGER	_GearScore|INTEGER	_overlablimit|INTEGER	_AbleStorage|BOOLEAN	_CashDisjointGroup|INTEGER	_TooltipCharmNum|TEXT	_CloneSkillOn|INTEGER
337903617	1000019173	1000019174			2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20	12709	0	1000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	0	0	false	true	false	4821	4820	0	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	13	0	false	0	false	true	0	0	false	0	0	0	true	0		0
268466480	1000104350	1000104351	{1000104203}	{1000104203}	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	12709	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4820	0	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	13	0	false	0	false	true	0	0	false	0	0	0	true	0		0
268466481	1000104350	1000104351	{1000104204}	{1000104204}	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	12709	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4820	0	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	13	0	false	0	false	true	0	0	false	0	0	0	true	0		0
268466482	1000104350	1000104351	{1000104205}	{1000104205}	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	12709	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4820	0	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	13	0	false	0	false	true	0	0	false	0	0	0	true	0		0
268466484	1000104350	1000104351	{1000060157}	{1000060157}	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	12709	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4820	0	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	13	0	false	0	false	true	0	0	false	0	0	0	true	0		0
268494955	1000176056	1000178640			2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	12709	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4820	0	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	13	0	false	0	false	true	0	0	false	0	0	0	true	0		0
575700995	1000028816	1000154438			46	99198725	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	200	12975	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4820	0	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	62	0	false	0	false	true	0	0	false	0	0	0	true	0		0
617613448	1000023294	1000021462		{1000002511}	8	500122000	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	2	10	12032	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4820	0	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	46	0	false	0	false	true	0	0	false	0	0	0	true	0		0
617613576	1000023295	1000021463		{1000002511}	8	500124000	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	2	10	12032	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4820	0	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	46	0	false	0	false	true	0	0	false	0	0	0	true	0		0
617613704	1000023296	1000023300		{1000002511}	8	500126000	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	2	10	12032	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4821	4820	0	4797	4418	4417	0	0	0	0	-1	true	0	0	false	0	false	false	0	false	46	0	false	0	false	true	0	0	false	0	0	0	true	0		0
