ROWID	_Type|INTEGER	_DescriptionID|INTEGER	_DescriptionIDParam|TEXT
1	0	1000047584	
2	1	1000047584	
3	90	1000047585	
4	24	1000047585	
5	8	1000047585	
6	27	1000047585	
7	29	1000047585	
8	38	1000047584	
9	43	1000047585	
10	61	1000047585	
11	71	1000047585	
12	88	1000047585	
13	65	1000047585	
14	103	1000047585	
15	17	1000047585	
16	19	1000047585	
17	20	1000047585	
18	18	1000047585	
19	122	1000047585	
20	121	1000047585	
21	35	1000047585	
22	37	1000047585	
23	44	1000047584	
24	48	1000047585	
25	78	1000047585	
26	104	1000047585	
27	105	1000047585	
28	92	1000047585	
29	80	1000047585	
30	81	1000047585	
31	79	1000047585	
32	89	1000047585	
33	9	1000047585	
34	21	1000047585	
35	123	1000048751	
36	93	1000047585	
37	117	1000047585	
39	98	1000047585	
40	99	1000047585	
41	106	1000047585	
42	113	1000047585	
43	118	1000047585	
44	30	1000047585	
45	31	1000047585	
46	45	1000047584	
47	36	1000047584	
48	50	1000047585	
49	74	1000047585	
50	39	1000047585	
51	75	1000047585	
52	77	1000047585	
53	70	1000047585	
54	67	1000047585	
55	128	1000047584	
56	128	1000052410	
57	51	1000047585	
58	84	1000047585	
59	130	1000047585	
60	138	1000056807	
61	139	1000059280	
62	999	1000059791	
64	183	1000047585	
65	189	1000047585	
66	190	1000047585	
67	168	1000047585	
68	192	1000047585	
69	115	1000047585	
70	116	1000047585	
71	204	1000047585	
