ROWID	_ExDifficultyType|INTEGER	_LabyrinthName|INTEGER	_LabyrinthNameParam|INTEGER	_MailID|INTEGER	_MailPeriod|TEXT	_MailID2|INTEGER	_MailPeriod2|TEXT
1	0	2370	0	5365	201901110900:202001110859	5365	202001110900:220012300859
2	1	2371	0	5366	201901110900:202001110859	5366	202001110900:220012300859
3	2	2372	0	5367	201901110900:202001110859	5367	202001110900:220012300859
4	3	2373	0	5368	201901110900:202001110859	5368	202001110900:220012300859
5	4	2374	0	5369	201901110900:202001110859	5369	202001110900:220012300859
6	5	1000126608	1	5370	201901110900:202001110859	5370	202001110900:220012300859
7	6	1000126608	2	5371	201901110900:202001110859	5371	202001110900:220012300859
8	7	1000126608	3	5372	201901110900:202001110859	5372	202001110900:220012300859
9	8	1000126608	4	5373	201901110900:202001110859	5373	202001110900:220012300859
10	9	1000126608	5	5374	201901110900:202001110859	5374	202001110900:220012300859
11	10	1000126608	6	5375	201901110900:202001110859	5375	202001110900:220012300859
12	11	1000126608	7	5376	201901110900:202001110859	5376	202001110900:220012300859
13	12	1000126608	8	5377	201901110900:202001110859	5377	202001110900:220012300859
14	13	1000126608	9	5378	201901110900:202001110859	5378	202001110900:220012300859
15	14	1000126608	10	5379	201901110900:202001110859	5379	202001110900:220012300859
16	15	1000126608	11	5380	201901110900:202001110859	5429	202001110900:220012300859
17	16	1000126608	12	5381	201901110900:202001110859	5430	202001110900:220012300859
18	17	1000126608	13	5382	201901110900:202001110859	5431	202001110900:220012300859
19	18	1000126608	14	5383	201901110900:202001110859	5432	202001110900:220012300859
20	19	1000126608	15	5384	201901110900:202001110859	5433	202001110900:220012300859
21	20	1000126608	16	5385	201901110900:202001110859	5434	202001110900:220012300859
22	21	1000126608	17	5386	201901110900:202001110859	5435	202001110900:220012300859
