ROWID	_Season|INTEGER	_RankTier|INTEGER	_TierUIString|INTEGER	_Type|INTEGER	_TypeValue|TEXT	_LimitJob|TEXT	_LimitPoint|INTEGER	_WinPoint|INTEGER	_RewardMail|INTEGER	_GradeReward|INTEGER	_PenaltyDay|INTEGER	_PenaltyValue|INTEGER
1416	27	0	100141	0	0	0	200	3	0	0	0	0
1417	27	1	100132	1	86;100	0	200	3	3503	0	0	0
1418	27	2	100133	1	71;85	0	200	3	3502	10	0	0
1419	27	3	100134	1	61;70	0	200	3	3501	15	0	0
1420	27	4	100129	1	51;60	0	200	4	3500	25	7	1
1421	27	5	100130	1	41;50	0	200	4	3499	30	7	1
1422	27	6	100131	1	31;40	0	200	4	3498	35	7	1
1423	27	7	100126	1	26;30	0	200	5	3497	45	6	1
1424	27	8	100127	1	21;25	0	200	5	3496	50	6	1
1425	27	9	100128	1	16;20	0	200	5	3495	55	6	1
1426	27	10	100123	1	11;15	0	200	6	3494	65	4	2
1427	27	11	100124	1	6;10	0	200	6	3493	70	4	2
1428	27	12	100125	1	0;5	0	200	6	3492	75	4	2
1429	27	13	100120	2	4;7	0	200	8	3491	100	3	2
1430	27	14	100121	2	2;3	0	200	8	3490	120	3	2
1431	27	15	100122	2	0;1	0	200	8	3489	150	3	2
1432	28	0	100141	0	0	0	200	3	0	0	0	0
1433	28	1	100132	1	86;100	0	200	3	3503	0	0	0
1434	28	2	100133	1	71;85	0	200	3	3502	10	0	0
1435	28	3	100134	1	61;70	0	200	3	3501	15	0	0
1436	28	4	100129	1	51;60	0	200	4	3500	25	7	1
1437	28	5	100130	1	41;50	0	200	4	3499	30	7	1
1438	28	6	100131	1	31;40	0	200	4	3498	35	7	1
1439	28	7	100126	1	26;30	0	200	5	3497	45	6	1
1440	28	8	100127	1	21;25	0	200	5	3496	50	6	1
1441	28	9	100128	1	16;20	0	200	5	3495	55	6	1
1442	28	10	100123	1	11;15	0	200	6	3494	65	4	2
1443	28	11	100124	1	6;10	0	200	6	3493	70	4	2
1444	28	12	100125	1	0;5	0	200	6	3492	75	4	2
1445	28	13	100120	2	4;7	0	200	8	3491	100	3	2
1446	28	14	100121	2	2;3	0	200	8	3490	120	3	2
1447	28	15	100122	2	0;1	0	200	8	3489	150	3	2
1448	29	0	100141	0	0	0	200	3	0	0	0	0
1449	29	1	100132	1	86;100	0	200	3	3503	0	0	0
1450	29	2	100133	1	71;85	0	200	3	3502	10	0	0
1451	29	3	100134	1	61;70	0	200	3	3501	15	0	0
1452	29	4	100129	1	51;60	0	200	4	3500	25	7	1
1453	29	5	100130	1	41;50	0	200	4	3499	30	7	1
1454	29	6	100131	1	31;40	0	200	4	3498	35	7	1
1455	29	7	100126	1	26;30	0	200	5	3497	45	6	1
1456	29	8	100127	1	21;25	0	200	5	3496	50	6	1
1457	29	9	100128	1	16;20	0	200	5	3495	55	6	1
1458	29	10	100123	1	11;15	0	200	6	3494	65	4	2
1459	29	11	100124	1	6;10	0	200	6	3493	70	4	2
1460	29	12	100125	1	0;5	0	200	6	3492	75	4	2
1461	29	13	100120	2	4;7	0	200	8	3491	100	3	2
1462	29	14	100121	2	2;3	0	200	8	3490	120	3	2
1463	29	15	100122	2	0;1	0	200	8	3489	150	3	2
1464	30	0	100141	0	0	0	200	3	0	0	0	0
1465	30	1	100132	1	86;100	0	200	3	3503	0	0	0
1466	30	2	100133	1	71;85	0	200	3	3502	10	0	0
1467	30	3	100134	1	61;70	0	200	3	3501	15	0	0
1468	30	4	100129	1	51;60	0	200	4	3500	25	7	1
1469	30	5	100130	1	41;50	0	200	4	3499	30	7	1
1470	30	6	100131	1	31;40	0	200	4	3498	35	7	1
1471	30	7	100126	1	26;30	0	200	5	3497	45	6	1
1472	30	8	100127	1	21;25	0	200	5	3496	50	6	1
1473	30	9	100128	1	16;20	0	200	5	3495	55	6	1
1474	30	10	100123	1	11;15	0	200	6	3494	65	4	2
1475	30	11	100124	1	6;10	0	200	6	3493	70	4	2
1476	30	12	100125	1	0;5	0	200	6	3492	75	4	2
1477	30	13	100120	2	4;7	0	200	8	3491	100	3	2
1478	30	14	100121	2	2;3	0	200	8	3490	120	3	2
1479	30	15	100122	2	0;1	0	200	8	3489	150	3	2
1480	31	0	100141	0	0	0	200	3	0	0	0	0
1481	31	1	100132	1	86;100	0	200	3	3503	0	0	0
1482	31	2	100133	1	71;85	0	200	3	3502	10	0	0
1483	31	3	100134	1	61;70	0	200	3	3501	15	0	0
1484	31	4	100129	1	51;60	0	200	4	3500	25	7	1
1485	31	5	100130	1	41;50	0	200	4	3499	30	7	1
1486	31	6	100131	1	31;40	0	200	4	3498	35	7	1
1487	31	7	100126	1	26;30	0	200	5	3497	45	6	1
1488	31	8	100127	1	21;25	0	200	5	3496	50	6	1
1489	31	9	100128	1	16;20	0	200	5	3495	55	6	1
1490	31	10	100123	1	11;15	0	200	6	3494	65	4	2
1491	31	11	100124	1	6;10	0	200	6	3493	70	4	2
1492	31	12	100125	1	0;5	0	200	6	3492	75	4	2
1493	31	13	100120	2	4;7	0	200	8	3491	100	3	2
1494	31	14	100121	2	2;3	0	200	8	3490	120	3	2
1495	31	15	100122	2	0;1	0	200	8	3489	150	3	2
1496	32	0	100141	0	0	0	200	3	0	0	0	0
1497	32	1	100132	1	86;100	0	200	3	3503	0	0	0
1498	32	2	100133	1	71;85	0	200	3	3502	10	0	0
1499	32	3	100134	1	61;70	0	200	3	3501	15	0	0
1500	32	4	100129	1	51;60	0	200	4	3500	25	7	1
1501	32	5	100130	1	41;50	0	200	4	3499	30	7	1
1502	32	6	100131	1	31;40	0	200	4	3498	35	7	1
1503	32	7	100126	1	26;30	0	200	5	3497	45	6	1
1504	32	8	100127	1	21;25	0	200	5	3496	50	6	1
1505	32	9	100128	1	16;20	0	200	5	3495	55	6	1
1506	32	10	100123	1	11;15	0	200	6	3494	65	4	2
1507	32	11	100124	1	6;10	0	200	6	3493	70	4	2
1508	32	12	100125	1	0;5	0	200	6	3492	75	4	2
1509	32	13	100120	2	4;7	0	200	8	3491	100	3	2
1510	32	14	100121	2	2;3	0	200	8	3490	120	3	2
1511	32	15	100122	2	0;1	0	200	8	3489	150	3	2
1950	0	0	100141	0	0	0	0	0	0	0	0	0
1951	0	1	100132	1	86;100	0	0	0	0	0	0	0
1952	0	2	100133	1	71;85	0	0	0	0	0	0	0
