ROWID	_LadderscoreMin|INTEGER	_LadderscoreMax|INTEGER	_LadderPoint|INTEGER
1	1	99	30
2	100	199	40
3	200	299	51
4	300	399	65
5	400	499	81
6	500	599	100
7	600	699	130
8	700	799	164
9	800	899	204
10	900	999	250
11	1000	1099	300
12	1100	1199	390
13	1200	1299	492
14	1300	1399	612
15	1400	1499	750
16	1500	1599	900
17	1600	1699	1170
18	1700	1799	1476
19	1800	1899	1836
20	1900	1999	2250
21	2000	2099	2700
22	2100	2199	3510
23	2200	2299	4428
24	2300	2399	5508
25	2400	2499	6750
26	2500	2599	8100
27	2600	2699	10530
28	2700	2799	13284
29	2800	2899	16524
30	2900	2999	20250
31	3000	3099	24300
32	3100	3199	31590
33	3200	3299	39852
34	3300	3399	49572
35	3400	3499	60750
36	3500	99999999	72900
