ROWID	_PCLevel|INTEGER	_ClassID|INTEGER	_EventType|INTEGER	_Job|INTEGER	_MailID|INTEGER	_CashMailID|INTEGER
10000	1	0	5	0	0	2612
10001	2	0	5	0	0	2613
10002	3	0	5	0	0	2613
10003	4	0	5	0	0	2613
10004	5	0	5	0	0	2613
10005	6	0	5	0	0	2613
10006	7	0	5	0	0	2613
10007	8	0	5	0	0	2613
10008	9	0	5	0	0	2613
10009	10	0	5	0	0	2613
10010	11	0	5	0	0	2613
10011	12	0	5	0	0	2613
10012	13	0	5	0	0	2613
10013	14	0	5	0	0	2613
10014	15	0	5	0	0	2613
10015	16	0	5	0	0	2613
10016	17	0	5	0	0	2613
10017	18	0	5	0	0	2613
10018	19	0	5	0	0	2613
10019	20	0	5	0	0	2613
10020	21	0	5	0	0	2613
10021	22	0	5	0	0	2613
10022	23	0	5	0	0	2613
10023	24	0	5	0	0	2613
10024	25	0	5	0	0	2613
10025	26	0	5	0	0	2613
10026	27	0	5	0	0	2613
10027	28	0	5	0	0	2613
10028	29	0	5	0	0	2613
10029	30	0	5	0	0	2613
10030	31	0	5	0	0	2613
10031	32	0	5	0	0	2613
10032	33	0	5	0	0	2613
10033	34	0	5	0	0	2613
10034	35	0	5	0	0	2613
10035	36	0	5	0	0	2613
10036	37	0	5	0	0	2613
10037	38	0	5	0	0	2613
10038	39	0	5	0	0	2613
10039	40	0	5	0	0	2613
10040	41	0	5	0	0	2613
10041	42	0	5	0	0	2613
10042	43	0	5	0	0	2613
10043	44	0	5	0	0	2613
10044	45	0	5	0	0	2613
10045	46	0	5	0	0	2613
10046	47	0	5	0	0	2613
10047	48	0	5	0	0	2613
10048	49	0	5	0	0	2613
10049	50	0	5	0	0	2613
10050	51	0	5	0	0	2613
10051	52	0	5	0	0	2613
10052	53	0	5	0	0	2613
10053	54	0	5	0	0	2613
10054	55	0	5	0	0	2613
10055	56	0	5	0	0	2613
10056	57	0	5	0	0	2613
10057	58	0	5	0	0	2613
10058	59	0	5	0	0	2613
10059	60	0	5	0	0	2613
10060	61	0	5	0	0	2613
10061	62	0	5	0	0	2613
10062	63	0	5	0	0	2613
10063	64	0	5	0	0	2613
10064	65	0	5	0	0	2613
10065	66	0	5	0	0	2613
10066	67	0	5	0	0	2613
10067	68	0	5	0	0	2613
10068	69	0	5	0	0	2613
10069	70	0	5	0	0	2613
10070	71	0	5	0	0	2613
10071	72	0	5	0	0	2613
10072	73	0	5	0	0	2613
10073	74	0	5	0	0	2613
10074	75	0	5	0	0	2613
10075	76	0	5	0	0	2613
10076	77	0	5	0	0	2613
10077	78	0	5	0	0	2613
10078	79	0	5	0	0	2613
10079	80	0	5	0	0	2613
10080	81	0	5	0	0	2613
10081	82	0	5	0	0	2613
10082	83	0	5	0	0	2613
10083	84	0	5	0	0	2613
10084	85	0	5	0	0	2613
10085	86	0	5	0	0	2613
10086	87	0	5	0	0	2613
10087	88	0	5	0	0	2613
10088	89	0	5	0	0	2613
10089	90	0	5	0	0	2613
10090	91	0	5	0	0	2613
10091	92	0	5	0	0	2613
10092	93	0	5	0	0	2613
10093	94	0	5	0	0	2613
10094	95	0	5	0	0	2613
80000	1	0	6	0	0	1709
80001	2	0	6	0	0	1709
80002	3	0	6	0	0	1709
80003	4	0	6	0	0	1709
80004	5	0	6	0	0	1709
80005	6	0	6	0	0	1709
80006	7	0	6	0	0	1709
80007	8	0	6	0	0	1709
80008	9	0	6	0	0	1709
80009	10	0	6	0	0	1709
80010	11	0	6	0	0	1709
80011	12	0	6	0	0	1709
80012	13	0	6	0	0	1709
80013	14	0	6	0	0	1709
80014	15	0	6	0	0	1709
80015	16	0	6	0	0	1709
80016	17	0	6	0	0	1709
80017	18	0	6	0	0	1709
80018	19	0	6	0	0	1709
80019	20	0	6	0	0	1709
80020	21	0	6	0	0	1709
80021	22	0	6	0	0	1709
80022	23	0	6	0	0	1709
80023	24	0	6	0	0	1709
80024	25	0	6	0	0	1709
80025	26	0	6	0	0	1709
80026	27	0	6	0	0	1709
80027	28	0	6	0	0	1709
80028	29	0	6	0	0	1709
80029	30	0	6	0	0	1709
80030	31	0	6	0	0	1709
80031	32	0	6	0	0	1709
80032	33	0	6	0	0	1709
80033	34	0	6	0	0	1709
80034	35	0	6	0	0	1709
80035	36	0	6	0	0	1709
80036	37	0	6	0	0	1709
80037	38	0	6	0	0	1709
80038	39	0	6	0	0	1709
80039	40	0	6	0	0	1709
80040	41	0	6	0	0	1709
80041	42	0	6	0	0	1709
80042	43	0	6	0	0	1709
80043	44	0	6	0	0	1709
80044	45	0	6	0	0	1709
80045	46	0	6	0	0	1709
80046	47	0	6	0	0	1709
80047	48	0	6	0	0	1709
80048	49	0	6	0	0	1709
80049	50	0	6	0	0	1709
80050	51	0	6	0	0	1709
80051	52	0	6	0	0	1709
80052	53	0	6	0	0	1709
80053	54	0	6	0	0	1709
80054	55	0	6	0	0	1709
80055	56	0	6	0	0	1709
80056	57	0	6	0	0	1709
80057	58	0	6	0	0	1709
80058	59	0	6	0	0	1709
80059	60	0	6	0	0	1709
80060	61	0	6	0	0	1709
80061	62	0	6	0	0	1709
80062	63	0	6	0	0	1709
80063	64	0	6	0	0	1709
80064	65	0	6	0	0	1709
80065	66	0	6	0	0	1709
80066	67	0	6	0	0	1709
80067	68	0	6	0	0	1709
80068	69	0	6	0	0	1709
80069	70	0	6	0	0	1709
80070	71	0	6	0	0	1709
80071	72	0	6	0	0	1709
80072	73	0	6	0	0	1709
80073	74	0	6	0	0	1709
80074	75	0	6	0	0	1709
80075	76	0	6	0	0	1709
80076	77	0	6	0	0	1709
80077	78	0	6	0	0	1709
80078	79	0	6	0	0	1709
80079	80	0	6	0	0	1709
80080	81	0	6	0	0	1709
80081	82	0	6	0	0	1709
80082	83	0	6	0	0	1709
80083	84	0	6	0	0	1709
80084	85	0	6	0	0	1709
80085	86	0	6	0	0	1709
80086	87	0	6	0	0	1709
80087	88	0	6	0	0	1709
80088	89	0	6	0	0	1709
80089	90	0	6	0	0	1709
80090	91	0	6	0	0	1709
80091	92	0	6	0	0	1709
80092	93	0	6	0	0	1709
80093	94	0	6	0	0	1709
80094	95	0	6	0	0	1709
80200	1	0	7	0	0	1710
80201	2	0	7	0	0	1710
80202	3	0	7	0	0	1710
80203	4	0	7	0	0	1710
80204	5	0	7	0	0	1710
80205	6	0	7	0	0	1710
80206	7	0	7	0	0	1710
80207	8	0	7	0	0	1710
80208	9	0	7	0	0	1710
80209	10	0	7	0	0	1710
80210	11	0	7	0	0	1710
80211	12	0	7	0	0	1710
80212	13	0	7	0	0	1710
80213	14	0	7	0	0	1710
80214	15	0	7	0	0	1710
80215	16	0	7	0	0	1710
80216	17	0	7	0	0	1710
80217	18	0	7	0	0	1710
80218	19	0	7	0	0	1710
80219	20	0	7	0	0	1710
80220	21	0	7	0	0	1710
80221	22	0	7	0	0	1710
80222	23	0	7	0	0	1710
80223	24	0	7	0	0	1710
80224	25	0	7	0	0	1710
80225	26	0	7	0	0	1710
80226	27	0	7	0	0	1710
80227	28	0	7	0	0	1710
