ROWID	_PlayerLevel|INTEGER	_DeadExperienceWeight|DOUBLE	_CompleteExperienceWeight|DOUBLE	_DeadDurabilityWeight|DOUBLE	_HPWeight|DOUBLE	_AttackPMinWeight|DOUBLE	_AttackPMaxWeight|DOUBLE	_AttackMMinWeight|DOUBLE	_AttackMMaxWeight|DOUBLE	_DefensePWeight|DOUBLE	_DefenseMWeight|DOUBLE	_StiffWeight|DOUBLE	_CriticalWeight|DOUBLE	_StunWeight|DOUBLE	_StiffResistanceWeight|DOUBLE	_CriticalResistanceWeight|DOUBLE	_StunResistanceWeight|DOUBLE	_SuperAmmorWeight|DOUBLE	_Element_Str_Weight|DOUBLE	_Fire_Def_Weight|DOUBLE	_Ice_Def_Weight|DOUBLE	_Light_Def_Weight|DOUBLE	_Dark_Def_Weight|DOUBLE	_MoveSpeedWeight|DOUBLE	_DownDelayWeight|DOUBLE	_DurabilityWeight|DOUBLE
1	1	1.0	1.0	1.0	7.5	15.0	15.0	15.0	15.0	1.0	1.0	0.004366812	0.004539301	0.00419214	0.004486423	0.004034934	0.004289362	0.18	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2	2	1.0	1.0	1.0	8.913	17.0375	17.0375	17.0375	17.0375	1.16	1.16	0.004852014	0.005364629	0.004657933	0.004984914	0.004768559	0.004765957	0.18588433	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3	3	1.0	1.0	1.0	9.893	19.075	19.075	19.075	19.075	1.32	1.32	0.005579816	0.006189956	0.005356623	0.005732651	0.005502183	0.005480851	0.18622188	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4	4	1.0	1.0	1.0	10.977	21.7125	21.7125	21.7125	21.7125	1.48	1.48	0.006307618	0.00660262	0.006055313	0.006480388	0.005868996	0.006195745	0.1865788	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
5	5	1.0	1.0	1.0	12.985	24.35	24.35	24.35	24.35	1.64	1.64	0.00703542	0.007427948	0.006754003	0.007228125	0.00660262	0.006910638	0.1869562	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
6	6	1.0	1.0	1.0	14.789	29.972221	29.972221	29.972221	29.972221	1.8	1.8	0.007763222	0.008253275	0.007452693	0.007975863	0.007336245	0.007625532	0.18735524	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
7	7	1.0	1.0	1.0	16.414	32.88889	32.88889	32.88889	32.88889	1.96	1.96	0.008248423	0.009078603	0.007918486	0.008474354	0.008069869	0.008102128	0.18777716	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
8	8	1.0	1.0	1.0	18.216	35.84722	35.84722	35.84722	35.84722	2.12	2.12	0.008976225	0.009491266	0.008617176	0.009222091	0.008436681	0.008817021	0.1882233	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9	9	1.0	1.0	1.0	20.219	43.65625	43.65625	43.65625	43.65625	2.28	2.28	0.009704027	0.010316594	0.009315866	0.009969828	0.009170306	0.009531915	0.18869504	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10	10	1.0	1.0	1.0	22.442	46.9375	46.9375	46.9375	46.9375	2.44	2.44	0.010431829	0.011141921	0.010014556	0.010717565	0.00990393	0.010246809	0.18919383	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
11	11	1.0	1.0	1.0	25.547	57.392857	57.392857	57.392857	57.392857	2.6	2.6	0.011159631	0.011967249	0.010713246	0.011465302	0.010637555	0.010961702	0.18972124	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
12	12	1.0	1.0	1.0	28.262	63.75	63.75	63.75	63.75	2.76	2.76	0.011644833	0.012379913	0.011179039	0.011963794	0.011004367	0.011438298	0.1902789	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
13	13	1.0	1.0	1.0	31.362	70.10714	70.10714	70.10714	70.10714	2.92	2.92	0.012372635	0.01320524	0.011877729	0.012711531	0.011737991	0.012153191	0.19086856	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
14	14	1.0	1.0	1.0	34.804	76.60714	76.60714	76.60714	76.60714	3.08	3.08	0.013100437	0.014030568	0.012576419	0.013459268	0.012471616	0.012868085	0.19149202	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
15	15	1.0	1.0	1.0	36.971	83.10714	83.10714	83.10714	83.10714	3.8	3.8	0.013828239	0.014855895	0.013275109	0.014207005	0.01320524	0.013582979	0.19215126	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
16	16	1.0	1.0	1.0	40.809	89.46429	89.46429	89.46429	89.46429	4.0	4.0	0.014556041	0.015681222	0.013973799	0.014954742	0.013938865	0.014297872	0.19284832	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
17	17	1.0	1.0	1.0	45.063	95.82143	95.82143	95.82143	95.82143	4.2	4.2	0.015526443	0.01650655	0.014905386	0.015951725	0.014672489	0.015251064	0.19358538	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
18	18	1.0	1.0	1.0	49.764	101.125	101.125	101.125	101.125	4.4	4.4	0.016254246	0.017331878	0.015604076	0.016699461	0.015406114	0.015965957	0.1943647	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
19	19	1.0	1.0	1.0	53.854	106.42857	106.42857	106.42857	106.42857	4.6	4.6	0.017224647	0.018157205	0.016535662	0.017696446	0.016139738	0.01691915	0.19518873	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
20	20	1.0	1.0	1.0	58.255	111.19643	111.19643	111.19643	111.19643	4.8	4.8	0.01795245	0.019395197	0.017234351	0.018444182	0.017240174	0.017634043	0.19606005	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
21	21	1.0	1.0	1.0	62.963	115.96429	115.96429	115.96429	115.96429	5.0	5.0	0.018922852	0.020220524	0.018165939	0.019441165	0.0179738	0.018587233	0.19698133	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
22	22	1.0	1.0	1.0	67.718	121.25	121.25	121.25	121.25	5.2	5.2	0.019650655	0.021045852	0.01886463	0.020188902	0.018707424	0.019302128	0.19795547	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
23	23	1.0	1.0	1.0	73.151	126.53571	126.53571	126.53571	126.53571	5.4	5.4	0.020621058	0.02187118	0.019796215	0.021185884	0.019441048	0.02025532	0.19898549	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
24	24	1.0	1.0	1.0	78.98	131.30357	131.30357	131.30357	131.30357	5.6	5.6	0.02134886	0.022696506	0.020494904	0.021933623	0.020174673	0.020970212	0.2000746	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
25	25	1.0	1.0	1.0	84.814	136.07143	136.07143	136.07143	136.07143	5.9	5.9	0.022561863	0.024347162	0.02165939	0.02317985	0.021641921	0.022161702	0.20122617	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
26	26	1.0	1.0	1.0	91.095	143.96428	143.96428	143.96428	143.96428	6.2	6.2	0.024017466	0.025585152	0.02305677	0.024675325	0.022742357	0.023591489	0.20244382	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
27	27	1.0	1.0	1.0	98.184	151.85715	151.85715	151.85715	151.85715	6.5	6.5	0.025230471	0.026823144	0.024221253	0.025921553	0.023842795	0.02478298	0.20373131	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
28	28	1.0	1.0	1.0	105.755	159.23215	159.23215	159.23215	159.23215	6.8	6.8	0.026443474	0.028473798	0.025385736	0.027167782	0.025310043	0.025974467	0.20509267	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
29	29	1.0	1.0	1.0	113.837	166.60715	166.60715	166.60715	166.60715	7.1	7.1	0.027656477	0.02971179	0.026550218	0.02841401	0.02641048	0.027165957	0.2065321	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
30	30	1.0	1.0	1.0	122.454	174.53572	174.53572	174.53572	174.53572	7.4	7.4	0.029112082	0.030949783	0.027947597	0.029909484	0.027510917	0.028595746	0.20805414	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
31	31	1.0	1.0	1.0	128.472	182.46428	182.46428	182.46428	182.46428	7.7	7.7	0.030082485	0.032600436	0.028879184	0.030906467	0.028978165	0.029548936	0.20966347	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
32	32	1.0	1.0	1.0	137.009	189.83928	189.83928	189.83928	189.83928	8.0	8.0	0.031538088	0.03383843	0.030276565	0.03240194	0.030078603	0.030978722	0.21136512	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
33	33	1.0	1.0	1.0	143.98	197.21428	197.21428	197.21428	197.21428	8.4	8.4	0.03323629	0.035489082	0.03190684	0.034146663	0.03154585	0.03264681	0.21316437	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
34	34	1.0	1.0	1.0	151.113	207.19643	207.19643	207.19643	207.19643	8.8	8.8	0.0349345	0.0375524	0.03353712	0.03589138	0.033379912	0.034314893	0.21506687	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
35	35	1.0	1.0	1.0	160.503	217.17857	217.17857	217.17857	217.17857	9.2	9.2	0.0366327	0.039203055	0.035167392	0.0376361	0.034847163	0.035982978	0.21707848	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
36	36	1.0	1.0	1.0	172.946	227.23215	227.23215	227.23215	227.23215	9.6	9.6	0.038330905	0.040853713	0.036797673	0.039380822	0.03631441	0.037651066	0.2192055	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
37	37	1.0	1.0	1.0	187.914	237.28572	237.28572	237.28572	237.28572	10.0	10.0	0.040029112	0.04291703	0.03842795	0.04112554	0.03814847	0.03931915	0.22145453	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
38	38	1.0	1.0	1.0	204.118	247.73215	247.73215	247.73215	247.73215	10.4	10.4	0.041727316	0.044567686	0.040058225	0.04287026	0.03961572	0.040987235	0.22383258	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
39	39	1.0	1.0	1.0	221.655	258.17856	258.17856	258.17856	258.17856	10.8	10.8	0.043425523	0.046631005	0.0416885	0.04461498	0.04144978	0.04265532	0.22634704	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
40	40	1.0	1.0	1.0	240.628	268.2143	268.2143	268.2143	268.2143	11.2	11.2	0.045123726	0.04828166	0.04331878	0.0463597	0.04291703	0.044323403	0.22900574	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
41	41	1.0	1.0	1.0	262.289	278.25	278.25	278.25	278.25	12.0	12.0	0.048034932	0.051170304	0.046113536	0.04935065	0.045484714	0.047182977	0.23181698	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
42	42	1.0	1.0	1.0	281.774	295.625	295.625	295.625	295.625	12.8	12.8	0.050946143	0.05405895	0.048908297	0.0523416	0.0480524	0.050042555	0.23478946	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
