ROWID	_Type|INTEGER	_SecondarySkillID|INTEGER	_SecondarySkillClass|INTEGER	_SubCategoryID|TEXT	_MakeItemID|INTEGER	_MaxCount|INTEGER	_MaxTime|INTEGER	_SuccessUpExp|INTEGER	_MaterialItem1ID|INTEGER	_Count1|INTEGER	_MaterialItem2ID|INTEGER	_Count2|INTEGER	_MaterialItem3ID|INTEGER	_Count3|INTEGER	_MaterialItem4ID|INTEGER	_Count4|INTEGER	_MaterialItem5ID|INTEGER	_Count5|INTEGER	_RecipeParam|INTEGER
268456647	0	1101	1	9641/1000084866	268456763	3	3000	600	268456822	1	348251137	1	0	0	0	0	0	0	0
268456648	0	1101	1	9641/1000084867	268456764	3	3000	600	268456823	1	348251137	1	0	0	0	0	0	0	0
268456649	0	1101	1	9641/1000084868	268456765	3	3000	600	268456822	1	348251137	1	0	0	0	0	0	0	0
268456683	0	1101	1	9641/1000084869	268456766	3	3000	600	268456823	1	348251137	1	0	0	0	0	0	0	0
268456746	0	1101	1	9641/1000031821	348195329	1	3000	600	268475874	3	348252161	1	0	0	0	0	0	0	0
268456747	0	1101	1	9641/1000031830	348195330	1	3000	600	268475874	3	348252161	1	0	0	0	0	0	0	0
268456748	0	1101	1	9641/1000031831	348195331	1	3000	600	268475874	3	348252161	1	0	0	0	0	0	0	0
268456749	0	1101	1	9641/1000033695	348195332	1	3000	600	268475874	3	348252161	1	0	0	0	0	0	0	0
268461666	0	1101	1	9641/1000090369	268461663	1	3000	600	268456676	2	348252161	1	0	0	0	0	0	0	0
268461667	0	1101	1	9641/1000090370	268461664	1	3000	600	268456679	2	348252161	1	0	0	0	0	0	0	0
268461668	0	1101	1	9641/1000090371	268461665	1	3000	600	348280450	1	348252161	1	0	0	0	0	0	0	0
268456718	2	1101	1	9645/1000086371	268456801	2	3000	3200	348280450	2	268456822	10	348251137	3	0	0	0	0	10
268456719	1	1101	1	9645/1000086372	268456802	2	3000	3200	268475874	2	268456823	10	348251137	3	0	0	0	0	5
268457328	2	1101	1	9641/1000003651	268457332	1	3000	600	268457333	3	268457334	3	268457335	3	0	0	0	0	1
268457329	1	1101	1	9641/1000003651	268457333	1	3000	600	268457325	1	268457326	1	268457327	1	0	0	0	0	1
268457330	1	1101	1	9641/1000003651	268457334	1	3000	600	268457325	1	268457326	1	268457327	1	0	0	0	0	1
268457331	1	1101	1	9641/1000003651	268457335	1	3000	600	268457325	1	268457326	1	268457327	1	0	0	0	0	1
268456684	0	1101	2	9642/1000084870	268456767	3	3000	1200	268456822	2	348251137	1	0	0	0	0	0	0	0
268456685	0	1101	2	9642/1000084871	268456768	3	3000	1200	268456823	2	348251137	1	0	0	0	0	0	0	0
268456686	0	1101	2	9642/1000030111	268456772	3	3000	1200	268456669	2	348251137	1	0	0	0	0	0	0	0
268456690	0	1101	3	9643/1000085244	268456773	3	3000	3200	268456824	3	268456670	3	348251137	2	0	0	0	0	0
268456692	0	1101	3	9643/1000084877	268456775	3	3000	3200	268456824	3	268456671	3	348251137	2	0	0	0	0	0
268456693	0	1101	3	9643/1000084878	268456776	3	3000	3200	268456824	3	268456671	3	348251137	2	0	0	0	0	0
268456694	0	1101	3	9643/1000084879	268456777	3	3000	3200	268456824	3	268456674	3	348251137	2	0	0	0	0	0
268456695	0	1101	3	9643/1000084880	268456778	3	3000	3200	268456824	3	268456674	3	348251137	2	0	0	0	0	0
268456696	0	1101	3	9643/1000084881	268456779	3	3000	3200	268456824	3	268456675	3	348251137	2	0	0	0	0	0
268456697	0	1101	3	9643/1000084882	268456780	3	3000	3200	268456824	3	268456675	3	348251137	2	0	0	0	0	0
268456698	0	1101	3	9643/1000084883	268456781	3	3000	3200	268456824	3	268456675	3	348251137	2	0	0	0	0	0
268456699	0	1101	4	9644/1000085245	268456782	3	3000	6400	268456825	3	268456672	3	348251137	3	0	0	0	0	0
268456701	0	1101	4	9644/1000084886	268456784	3	3000	6400	268456825	3	268456672	3	348251137	3	0	0	0	0	0
268456702	0	1101	4	9644/1000084887	268456785	3	3000	6400	268456825	3	268456673	3	348251137	3	0	0	0	0	0
268456703	0	1101	4	9644/1000084888	268456786	3	3000	6400	268456825	3	268456673	3	348251137	3	0	0	0	0	0
268456704	0	1101	4	9644/1000084889	268456787	3	3000	6400	268456825	3	268456673	3	348251137	3	0	0	0	0	0
268456705	0	1101	4	9644/1000084890	268456788	3	3000	6400	268456825	3	268456676	3	348251137	3	0	0	0	0	0
268456706	0	1101	4	9644/1000084891	268456789	3	3000	6400	268456825	3	268456677	3	348251137	3	0	0	0	0	0
268456707	0	1101	4	9644/1000084892	268456790	3	3000	6400	268456825	3	268456678	3	348251137	3	0	0	0	0	0
268456709	0	1101	5	9645/1000085246	268456792	2	3000	12800	268456763	3	268456679	3	348251649	1	0	0	0	0	0
268456711	0	1101	5	9645/1000084896	268456794	2	3000	12800	268456765	3	268456826	3	348251649	1	0	0	0	0	0
268456712	0	1101	5	9645/1000084897	268456795	2	3000	12800	268456765	3	268456826	3	348251649	1	0	0	0	0	0
268456713	0	1101	5	9645/1000084898	268456796	2	3000	12800	268456765	3	268456826	3	348251649	1	0	0	0	0	0
268456714	0	1101	5	9645/1000084899	268456797	2	3000	12800	268456766	3	268456679	3	348251649	1	0	0	0	0	0
268456715	0	1101	5	9645/1000084900	268456798	2	3000	12800	268456766	3	268456679	3	348251649	1	0	0	0	0	0
268456716	0	1101	5	9645/1000084901	268456799	2	3000	12800	268456766	3	268456826	3	348251649	1	0	0	0	0	0
268456717	0	1101	5	9645/1000084902	268456800	2	3000	12800	268456766	3	268456679	3	348251649	1	0	0	0	0	0
268456720	0	1101	6	9646/1000084905	268456803	2	3000	25600	268456767	3	268456827	3	348251649	3	0	0	0	0	0
268456721	0	1101	6	9646/1000084906	268456804	2	3000	25600	268456768	3	268456827	3	348251649	3	0	0	0	0	0
268456722	0	1101	6	9646/1000084907	268456805	2	3000	25600	268456767	3	268456827	3	348251649	3	0	0	0	0	0
268456723	0	1101	6	9646/1000084908	268456806	2	3000	25600	268456768	3	268456827	3	348251649	3	0	0	0	0	0
268456724	0	1101	6	9646/1000084909	268456807	2	3000	25600	268456772	3	268456668	5	348251649	3	0	0	0	0	0
268456725	0	1101	6	9646/1000084910	268456808	2	3000	25600	268456772	3	268456669	5	348251649	3	0	0	0	0	0
268456726	0	1101	6	9646/1000084911	268456809	2	3000	25600	268456772	3	268456670	5	348251649	3	0	0	0	0	0
268456727	0	1101	7	9647/1000084913	268456811	2	3000	36000	268456776	10	268456799	5	348252673	1	0	0	0	0	0
268456728	0	1101	7	9647/1000084914	268456812	2	3000	36000	268456781	10	268456800	5	348252673	1	0	0	0	0	0
268456729	0	1101	7	9647/1000084915	268456813	2	3000	36000	268456784	10	268456805	5	348252673	1	0	0	0	0	0
268456730	0	1101	7	9647/1000084916	268456814	2	3000	36000	268456788	10	268456806	5	348252673	1	0	0	0	0	0
268456731	0	1101	7	9647/1000084917	268456815	2	3000	36000	268456790	10	268456807	5	348252673	1	0	0	0	0	0
268456732	2	1101	7	9647/1000084918	268456816	2	3000	36000	268456778	10	268456796	3	268475874	1	348252673	1	0	0	10
268456733	2	1101	7	9647/1000084919	268456817	2	3000	36000	268456779	10	268456799	3	348280450	1	348252673	1	0	0	10
268456734	2	1101	7	9647/1000084920	268456818	2	3000	36000	268456786	10	268456803	3	268475874	1	348252673	1	0	0	10
268456735	2	1101	7	9647/1000084921	268456819	2	3000	36000	268456789	10	268456804	3	348280450	1	348252673	1	0	0	10
268456736	2	1101	7	9647/1000084922	268456820	2	3000	36000	268456826	50	268456827	50	268475874	3	348253185	1	0	0	5
268456737	2	1101	7	9647/1000084923	268456821	2	3000	36000	268456826	50	268456827	50	348280450	3	348253185	1	0	0	5
268477238	2	1101	1	9641/1000127875	268477244	1	3000	20752	268456675	100	268456676	100	268456670	10	0	0	0	0	10
268477239	2	1101	1	9641/1000127876	268477245	1	3000	49055	348280450	50	268476755	3	268476757	3	0	0	0	0	10
268477240	2	1101	1	9641/1000127877	268477246	1	3000	49055	268477156	50	268477157	50	268476759	3	0	0	0	0	10
268477241	2	1101	1	9641/1000127878	268477247	1	3000	124000	268477158	50	268476756	1	268476758	1	0	0	0	0	10
