ROWID	_MapIndex|INTEGER	_GateIndex|INTEGER	_PermitPlayerLevel|INTEGER	_PartyLimit|INTEGER	_QuestCheck1|INTEGER	_QuestID1|INTEGER	_QuestCheck2|INTEGER	_QuestID2|INTEGER	_QuestCheck3|INTEGER	_QuestID3|INTEGER	_PassClass|TEXT	_PermitClassLevel|INTEGER	_DateTime|TEXT	_WorldMapID|INTEGER
1	0	0	0	0	0	0	0	0	0	0	0	0		0
2	0	0	0	0	0	0	0	0	0	0	0	0		0
3	0	0	0	0	0	0	0	0	0	0	0	0		0
4	0	0	0	0	0	0	0	0	0	0	0	0		0
5	0	0	0	0	0	0	0	0	0	0	0	0		0
6	0	0	0	0	0	0	0	0	0	0	0	0		0
7	0	0	0	0	0	0	0	0	0	0	0	0		0
8	0	0	0	0	0	0	0	0	0	0	0	0		0
9	0	0	0	0	0	0	0	0	0	0	0	0		0
10	0	0	0	0	0	0	0	0	0	0	0	0		0
11	0	0	0	0	0	0	0	0	0	0	0	0		0
12	0	0	0	0	0	0	0	0	0	0	0	0		0
13	0	0	0	0	0	0	0	0	0	0	0	0		0
14	0	0	0	0	0	0	0	0	0	0	0	0		0
15	0	0	0	0	0	0	0	0	0	0	0	0		0
16	0	0	0	0	0	0	0	0	0	0	0	0		0
17	0	0	0	0	0	0	0	0	0	0	0	0		0
18	0	0	0	0	0	0	0	0	0	0	0	0		0
19	2	0	1	0	0	0	0	0	0	0	1;2;6;7;9	9		0
20	3	2	1	0	0	0	0	0	0	0	1;2;6;7;9	9		0
21	7	2	1	0	0	0	0	0	0	0	3;4;5;8	9		0
22	6	0	1	0	0	0	0	0	0	0	3;4;5;8	9		0
23	4	0	1	0	0	0	0	0	0	0	0	9		0
24	9	0	1	0	0	0	0	0	0	0	0	9		0
25	10	0	1	0	0	0	0	0	0	0	0	9		0
26	12	0	1	0	0	0	0	0	0	0	0	24		0
27	13	0	1	0	0	0	0	0	0	0	0	24		0
28	12	9	1	0	0	0	0	0	0	0	0	40		0
29	14	0	1	0	0	0	0	0	0	0	0	40		0
30	13606	0	0	0	0	0	0	0	0	0	0	0	0	0
31	13605	0	0	0	0	0	0	0	0	0	0	0	0	0
32	13607	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0		0
34	34	0	1	0	0	0	0	0	0	0	0	60		0
35	54	0	1	0	0	0	0	0	0	0	0	80		0
36	54	5	1	0	0	0	0	0	0	0	0	90		0
37	175	0	1	0	0	0	0	0	0	0	0	90		0
38	54	8	1	0	2	50	2	3656	2	9814	0	95		0
39	13043	0	1	0	2	50	2	3656	2	9814	0	95		0
40	187	0	1	0	0	0	0	0	0	0	0	95		0
41	188	0	1	0	0	0	0	0	0	0	0	95		0
42	13043	5	1	0	2	9831	2	50	0	0	0	95		0
43	0	0	0	0	0	0	0	0	0	0	0	0		0
44	0	0	0	0	0	0	0	0	0	0	0	0		0
45	0	0	0	0	0	0	0	0	0	0	0	0		0
46	189	0	0	0	0	0	0	0	0	0	0	0		0
47	0	0	0	0	0	0	0	0	0	0	0	0		0
48	0	0	0	0	0	0	0	0	0	0	0	0		0
49	0	0	0	0	0	0	0	0	0	0	0	0		0
50	0	0	0	0	0	0	0	0	0	0	0	0		0
51	1	0	0	0	0	0	0	0	0	0	0	0		0
52	5	0	0	0	0	0	0	0	0	0	0	0		0
53	8	0	1	0	0	0	0	0	0	0	0	9		0
54	11	0	1	0	0	0	0	0	0	0	0	24		0
55	15	0	1	0	0	0	0	0	0	0	0	40		0
56	0	0	0	0	0	0	0	0	0	0	0	0		0
57	0	0	0	0	0	0	0	0	0	0	0	0		0
58	0	0	0	0	0	0	0	0	0	0	0	0		0
59	0	0	0	0	0	0	0	0	0	0	0	0		0
60	0	0	0	0	0	0	0	0	0	0	0	0		0
61	0	0	0	0	0	0	0	0	0	0	0	0		0
62	0	0	0	0	0	0	0	0	0	0	0	0		0
63	0	0	0	0	0	0	0	0	0	0	0	0		0
64	0	0	0	0	0	0	0	0	0	0	0	0		0
65	0	0	0	0	0	0	0	0	0	0	0	0		0
66	0	0	0	0	0	0	0	0	0	0	0	0		0
67	0	0	0	0	0	0	0	0	0	0	0	0		0
68	0	0	0	0	0	0	0	0	0	0	0	0		0
69	0	0	0	0	0	0	0	0	0	0	0	0		0
70	19520	0	0	0	0	0	0	0	0	0	0	0	3:1	0
71	19523	0	0	0	0	0	0	0	0	0	0	0	3:2	0
72	19526	0	0	0	0	0	0	0	0	0	0	0	3:3	0
73	19529	0	0	0	0	0	0	0	0	0	0	0	3:4	0
74	19530	0	0	0	0	0	0	0	0	0	0	0	3:0	0
75	19531	0	0	0	0	0	0	0	0	0	0	0	3:6	0
76	19532	0	0	0	0	0	0	0	0	0	0	0	3:6	0
77	19533	0	0	0	0	0	0	0	0	0	0	0	3:0	0
78	19534	0	0	0	0	0	0	0	0	0	0	0	3:5	0
79	0	0	0	0	0	0	0	0	0	0	0	0		0
80	0	0	0	0	0	0	0	0	0	0	0	0		0
81	0	0	0	0	0	0	0	0	0	0	0	0		0
82	0	0	0	0	0	0	0	0	0	0	0	0		0
83	0	0	0	0	0	0	0	0	0	0	0	0		0
84	0	0	0	0	0	0	0	0	0	0	0	0		0
85	0	0	0	0	0	0	0	0	0	0	0	0		0
86	0	0	0	0	0	0	0	0	0	0	0	0		0
87	0	0	0	0	0	0	0	0	0	0	0	0		0
88	0	0	0	0	0	0	0	0	0	0	0	0		0
89	0	0	0	0	0	0	0	0	0	0	0	0		0
90	0	0	0	0	0	0	0	0	0	0	0	0		0
91	0	0	0	0	0	0	0	0	0	0	0	0		0
92	0	0	0	0	0	0	0	0	0	0	0	0		0
93	0	0	0	0	0	0	0	0	0	0	0	0		0
94	0	0	0	0	0	0	0	0	0	0	0	0		0
95	0	0	0	0	0	0	0	0	0	0	0	0		0
96	0	0	0	0	0	0	0	0	0	0	0	0		0
97	0	0	0	0	0	0	0	0	0	0	0	0		0
98	0	0	0	0	0	0	0	0	0	0	0	0		0
99	0	0	0	0	0	0	0	0	0	0	0	0		0
100	0	0	0	0	0	0	0	0	0	0	0	0		0
101	13007	0	0	1	0	0	0	0	0	0	0	0		0
102	13008	0	0	1	0	0	0	0	0	0	0	0		0
103	13009	0	0	1	0	0	0	0	0	0	0	0		0
104	13010	0	0	1	0	0	0	0	0	0	0	0		0
105	47	0	0	1	0	0	0	0	0	0	0	0		0
106	48	0	0	1	0	0	0	0	0	0	0	0		0
107	13003	0	0	1	0	0	0	0	0	0	0	0		0
108	13004	0	0	1	0	0	0	0	0	0	0	0		0
109	13015	0	0	1	0	0	0	0	0	0	0	0		0
110	13016	0	0	1	0	0	0	0	0	0	0	0		0
111	13020	0	0	1	0	0	0	0	0	0	0	0		0
112	13501	0	0	1	0	0	0	0	0	0	0	0		0
113	13511	0	0	1	0	0	0	0	0	0	0	0		0
114	13512	0	0	1	0	0	0	0	0	0	0	0		0
115	0	0	0	0	0	0	0	0	0	0	0	0		0
116	0	0	0	0	0	0	0	0	0	0	0	0		0
117	0	0	0	0	0	0	0	0	0	0	0	0		0
118	0	0	0	0	0	0	0	0	0	0	0	0		0
119	0	0	0	0	0	0	0	0	0	0	0	0		0
120	0	0	0	0	0	0	0	0	0	0	0	0		0
121	19107	0	0	0	0	0	0	0	0	0	0	0	3:0:3:5	0
122	19113	0	0	0	0	0	0	0	0	0	0	0	3:2:5:6	0
123	0	0	0	0	0	0	0	0	0	0	0	0		0
124	0	0	0	0	0	0	0	0	0	0	0	0		0
125	0	0	0	0	0	0	0	0	0	0	0	0		0
126	0	0	0	0	0	0	0	0	0	0	0	0		0
127	0	0	0	0	0	0	0	0	0	0	0	0		0
128	0	0	0	0	0	0	0	0	0	0	0	0		0
129	0	0	0	0	0	0	0	0	0	0	0	0		0
130	0	0	0	0	0	0	0	0	0	0	0	0		0
131	0	0	0	0	0	0	0	0	0	0	0	0		0
