ROWID	_LvlMin|INTEGER	_StageGrade|INTEGER	_GainFeel|INTEGER	_GainRespect|INTEGER	_MasterPoint|INTEGER
1	1	0	10	1	0
2	1	1	10	1	0
3	1	2	10	1	0
4	1	3	10	1	0
5	1	4	10	1	0
6	3	0	10	1	0
7	3	1	10	1	0
8	3	2	10	1	0
9	3	3	10	1	0
10	3	4	10	1	0
11	5	0	10	1	0
12	5	1	10	1	0
13	5	2	10	1	0
14	5	3	10	1	0
15	5	4	10	1	0
16	9	0	10	1	0
17	9	1	10	1	0
18	9	2	10	1	0
19	9	3	10	1	0
20	9	4	10	1	0
21	10	0	10	1	0
22	10	1	10	1	0
23	10	2	10	1	0
24	10	3	10	1	0
25	10	4	10	1	0
26	15	0	10	1	0
27	15	1	10	1	0
28	15	2	10	1	0
29	15	3	10	1	0
30	15	4	10	1	0
31	16	0	10	1	0
32	16	1	10	1	0
33	16	2	10	1	0
34	16	3	10	1	0
35	16	4	10	1	0
36	24	0	10	1	0
37	24	1	10	1	0
38	24	2	10	1	0
39	24	3	10	1	0
40	24	4	10	1	0
41	32	0	10	1	0
42	32	1	10	1	0
43	32	2	10	1	0
44	32	3	10	1	0
45	32	4	10	1	0
46	40	0	10	1	0
47	40	1	10	1	0
48	40	2	10	1	0
49	40	3	10	1	0
50	40	4	10	1	0
51	50	0	10	1	0
52	50	1	10	1	0
53	50	2	10	1	0
54	50	3	10	1	0
55	50	4	10	1	0
56	60	0	10	1	0
57	60	1	10	1	0
58	60	2	10	1	0
59	60	3	10	1	0
60	60	4	10	1	0
61	65	0	10	1	0
62	65	1	10	1	0
63	65	2	10	1	0
64	65	3	10	1	0
65	65	4	10	1	0
66	70	0	10	1	0
67	70	1	10	1	0
68	70	2	10	1	0
69	70	3	10	1	0
70	70	4	10	1	0
71	75	0	10	1	0
72	75	1	10	1	0
73	75	2	10	1	0
74	75	3	10	1	0
75	75	4	10	1	0
76	80	0	10	1	0
77	80	1	10	1	0
78	80	2	10	1	0
79	80	3	10	1	0
80	80	4	10	1	0
81	89	0	10	1	0
82	89	1	10	1	0
83	89	2	10	1	0
84	89	3	10	1	0
85	89	4	10	1	0
86	90	0	10	1	0
87	90	1	10	1	0
88	90	2	10	1	0
89	90	3	10	1	0
90	90	4	10	1	0
91	92	0	10	1	0
92	92	1	10	1	0
93	92	2	10	1	0
94	92	3	10	1	0
95	92	4	10	1	0
96	93	0	10	1	0
97	93	1	10	1	0
98	93	2	10	1	0
99	93	3	10	1	0
100	93	4	10	1	0
101	94	0	10	1	0
102	94	1	10	1	0
103	94	2	10	1	0
104	94	3	10	1	0
105	94	4	10	1	0
106	95	0	10	1	0
107	95	1	10	1	0
108	95	2	10	1	0
109	95	3	10	1	0
110	95	4	10	1	0
