ROWID	_Activate|INTEGER	_OpenLevel|INTEGER	_TitleNameID|INTEGER	_TitleNameIDParam|TEXT	_SubTitleNameID|INTEGER	_SubTitleNameIDParam|TEXT	_SubCategoryID|TEXT	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_AchieveCheckType|BOOLEAN	_Count|INTEGER	_MailID|INTEGER
1	0	95	1000110015	3	1000110090	93,{9766}	140258	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	3	3607
2	0	95	1000110307	{1000024096},1	1000110223		140258	9	51	0	0	51	1	0	0	0	0	0	0	0	0	0	0	true	1	3608
3	0	95	1000110381	6,1	1000110382	6	140258	9	51	0	0	18	6	4	0	0	0	0	0	0	0	0	0	false	1	3609
4	0	95	1000110018	{1000105227},2	1000110039	{1000000828},{10255},{10312}	140259	3	3	1102	0	4	4	0	0	0	0	0	0	0	0	0	0	false	2	3610
5	0	95	1000110018	{1000105226},2	1000110092	{10255},{10312}	140259	3	3	1101	0	4	4	0	0	0	0	0	0	0	0	0	0	false	2	3611
6	0	95	1000110018	{1000107073},2	1000110092	{10255},{10312}	140259	3	3	1103	0	4	4	0	0	0	0	0	0	0	0	0	0	false	2	3612
7	0	95	1000110020	{10332},1	1000110039	{1000000828},{10255},{10312}	140259	3	3	1106	0	3	1107	0	3	1108	0	3	1109	0	0	0	0	true	1	3613
8	0	95	1000110020	{10332},2	1000110092	{10255},{10312}	140259	3	3	1106	0	3	1107	0	3	1108	0	3	1109	0	0	0	0	true	2	3614
9	0	95	1000110021	{1000097813}	1000110034	{1000000828},{10255}	140260	2	3	17100	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	3615
10	0	95	1000110022	{1000054962}	1000110094	{1000000828},{1000037710}	140260	4	13	268466834	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	3616
11	0	95	1000110024	{1000073126},1	1000110035	{9766},{110048},{1000016610}	140260	3	3	13631	0	3	13639	0	0	0	0	0	0	0	0	0	0	true	1	3617
12	0	95	1000110015	1	1000110090	93,{9766}	140261	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	3618
13	0	95	1000110015	2	1000110093	93	140261	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	2	3619
14	0	95	1000110015	3	1000110093	93	140261	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	3	3620
15	0	95	1000110015	4	1000110093	93	140262	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	4	3621
16	0	95	1000110399	{10093},3,1	1000110035	{1000029078},{1000047084},{1000046968}	140262	3	45	10	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	3622
17	0	95	1000110038	{1000101885}	1000110094	{1000000828},{1000037710}	140262	4	13	268466184	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	3623
18	0	95	1000111562	7	1000111566	{1000111565},{140092}	140262	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	7	3624
19	0	95	1000110307	{1000057569},1	1000110041	{1000000828}	140262	9	51	139	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	3625
20	0	95	1000110015	3	1000110090	95,{9766}	140258	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	3	3700
21	0	95	1000110307	{1000024096},1	1000110223		140258	9	51	0	0	51	1	0	0	0	0	0	0	0	0	0	0	true	1	3709
22	0	95	1000110381	8,1	1000110382	8	140258	9	51	0	0	18	8	4	0	0	0	0	0	0	0	0	0	false	1	3710
23	0	95	1000110025	{10348},1	1000118223	{9766},{1000057769}	140258	3	3	19002	0	3	19202	0	0	0	0	0	0	0	0	0	0	true	1	4111
24	0	95	1000118218	{1000115187},2	1000110039	{1000000828},{10255},{1000086265}	140259	3	3	1121	0	4	4	0	0	0	0	0	0	0	0	0	0	false	2	3717
25	0	95	1000118218	{1000115188},2	1000110092	{10255},{1000086265}	140259	3	3	1122	0	4	4	0	0	0	0	0	0	0	0	0	0	false	2	3855
26	0	95	1000110020	{1000115189},2	1000110092	{10255},{1000086265}	140259	3	3	1123	0	0	0	0	0	0	0	0	0	0	0	0	0	false	2	3856
27	0	95	1000110020	{1000115190},2	1000110092	{10255},{1000086265}	140259	3	3	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	false	2	3857
28	0	95	1000110360	{1000115191},2	1000110092	{10255},{1000086265}	140259	3	3	1125	0	0	0	0	0	0	0	0	0	0	0	0	0	false	2	3858
29	0	95	1000110021	{1000097813}	1000110034	{1000000828},{10255}	140260	2	3	17100	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	3859
30	0	95	1000110022	{1000054962}	1000116191	{1000000828},{1000037710}	140260	4	13	268466834	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	3860
31	0	95	1000110024	{1000073126},1	1000110035	{9766},{1400259},{1000016610}	140260	3	3	13631	0	3	13639	0	0	0	0	0	0	0	0	0	0	true	1	3861
32	0	95	1000110015	1	1000110090	95,{9766}	140261	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	3862
33	0	95	1000110015	2	1000110093	95	140261	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	2	3863
34	0	95	1000110015	3	1000110093	95	140261	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	3	3864
35	0	95	1000110015	4	1000110093	95	140262	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	4	3865
36	0	95	1000110399	{10093},3,1	1000110035	{1000029078},{1000047084},{1000046968}	140262	3	45	10	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	3866
37	0	95	1000110038	{1000101885}	1000116191	{1000000828},{1000037710}	140262	4	13	268466184	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	3867
38	0	95	1000111562	7	1000111566	{1000111565},{140092}	140262	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	7	3868
39	0	95	1000110307	{1000057569},1	1000110041	{1000000828}	140262	9	51	139	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	3869
40	0	95	1000118903	{1000118067}	1000118904	{1000000828},{1400259},{1000029335}	140370	25	107	92001	4	107	92009	5	0	0	0	0	0	0	0	0	0	false	1	3882
41	0	95	1000139791	10,1	1000139816		140258	9	18	10	4	0	0	0	0	0	0	0	0	0	0	0	0	true	1	4326
42	0	95	1000139791	20,1	1000139816		140258	9	18	20	4	0	0	0	0	0	0	0	0	0	0	0	0	true	1	4327
43	0	95	1000139791	20,3	1000139816		140258	9	18	20	4	0	0	0	0	0	0	0	0	0	0	0	0	true	3	4328
44	0	95	1000139791	20,5	1000139816		140258	9	18	20	4	0	0	0	0	0	0	0	0	0	0	0	0	true	5	4329
45	0	95	1000139814	{10382},{1000131572},1	1000139804	{1000000828},{1400260},{1000137683}	140259	63	20	4995	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	4330
46	0	95	1000139815	5	1000139805		140262	3	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	5	4331
47	0	95	1000110015	1	1000110090	95,{1000000828}	140262	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	4332
48	0	95	1000110015	3	1000110090	95,{1000000828}	140262	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	3	4333
49	0	95	1000110015	5	1000110090	95,{1000000828}	140262	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	5	4334
50	0	95	1000110015	7	1000110090	95,{1000000828}	140262	14	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	7	4335
51	0	95	1000143065	1	1000111566	{1000111565},{140092}	140262	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	4336
52	0	95	1000143065	3	1000111566	{1000111565},{140092}	140262	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	3	4337
53	0	95	1000143065	5	1000111566	{1000111565},{140092}	140262	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	5	4338
54	0	95	1000143065	7	1000111566	{1000111565},{140092}	140262	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	7	4339
55	0	95	1000139795	{140457},1	1000139812	{1000000828},{1000148373},{1000137417}	140370	25	107	33001	4	107	33009	5	0	0	0	0	0	0	0	0	0	false	1	4340
56	0	95	1000110021	{1000097813}	1000110034	{1000000828},{10255}	140260	2	3	17100	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	4341
57	0	95	1000110024	{1000073126},1	1000139807	{1000000828},{1000132163},{1000073126},{1000016610}	140260	3	3	13631	0	3	13639	0	0	0	0	0	0	0	0	0	0	true	1	4342
58	0	95	1000139808	{1000112986},{1000101885},1	1000137434	{1000000828},{10255},{1000037710}	140262	25	107	28101	4	107	28109	5	13	268466184	0	0	0	0	0	0	0	false	1	4343
59	0	95	1000139808	{1000139798},{1000139809},1	1000137434	{1000000828},{10255},{1000094432}	140261	25	107	89041	4	107	89049	5	13	268477054	0	0	0	0	0	0	0	false	1	4344
60	0	95	1000139810	{1000112988},{1000131059},1	1000137434	{1000000828},{100019124},{1000019185}	140261	25	107	40111	4	107	40119	5	13	536878214	0	0	0	0	0	0	0	false	1	4345
61	0	95	1000139810	{1000112985},{1000131060},1	1000137434	{1000000828},{10255},{1000037710}	140259	25	107	29001	4	107	29009	5	13	536878215	0	0	0	0	0	0	0	false	1	4346
62	0	95	1000139810	{1000112981},{1000131058},1	1000137434	{1000000828},{10255},{1000037710}	140260	25	107	52001	4	107	52009	5	13	536878213	0	0	0	0	0	0	0	false	1	4347
63	1	1	1000148530	15	1000148691		130008	1	1	15	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	4853
64	1	15	1000148531	1	1000148695		130008	22	93	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	4854
65	1	15	1000148530	45	1000148692		130008	1	1	45	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	4855
66	1	45	1000148531	2	1000148696		130008	22	93	2	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	4856
67	1	45	1000148530	90	1000148693		130008	1	1	90	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	4857
68	1	90	1000148532		1000148697		130008	83	103	1	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	4858
69	1	90	1000148530	95	1000148694		130008	1	1	95	4	0	0	0	0	0	0	0	0	0	0	0	0	false	1	4859
