ROWID	_ResultGroup|INTEGER	_ItemID|INTEGER	_Prob|INTEGER	_MercenaryImage|TEXT
1	1	805308985	50	Mer_Nerwin_Y.dds
2	1	805309060	50	Mer_Cleric_Monster_Y.dds
3	1	805309061	50	Mer_Warrior_Monster_Y.dds
4	1	805309062	50	Mer_Soceress_Monster_Y.dds
5	1	805308866	50	Mer_Battle_BlackSmith_Y.dds
6	1	805308864	50	Mer_TyphoonKim_Y.dds
7	1	805308873	50	Mer_Ogre_Ignacio_Y.dds
8	2	805308985	50	Mer_Nerwin_Y.dds
9	2	805309060	50	Mer_Cleric_Monster_Y.dds
10	2	805309061	50	Mer_Warrior_Monster_Y.dds
11	2	805309062	50	Mer_Soceress_Monster_Y.dds
12	2	805308866	50	Mer_Battle_BlackSmith_Y.dds
13	2	805308864	50	Mer_TyphoonKim_Y.dds
14	2	805308873	50	Mer_Ogre_Ignacio_Y.dds
15	3	805309063	50	Mer_Ai_Velskud_Y.dds
16	3	805309064	50	Mer_AI_Argenta_Battle_Y.dds
17	3	805309065	50	Mer_Ai_Geraint_Y.dds
18	3	805309066	50	Mer_Npc_white_dragon_Y.dds
19	3	805308872	50	Mer_karahan_dark_Y.dds
