ROWID	_MercenaryLevelType|INTEGER	_MercenaryLevel|INTEGER	_MercenaryExp|INTEGER	_SkillActivate1|BOOLEAN	_SkillActivate2|BOOLEAN	_SkillActivate3|BOOLEAN	_SkillActivate4|BOOLEAN	_SkillActivate5|BOOLEAN	_SkillActivate6|BOOLEAN	_SkillActivate7|BOOLEAN	_SkillActivate8|BOOLEAN
1	1	1	50000	true	false	true	false	false	false	false	false
2	1	2	115200	true	false	true	false	false	false	false	false
3	1	3	204800	true	false	true	true	false	false	false	false
4	1	4	320000	true	false	true	true	false	false	false	false
5	1	5	460800	true	false	true	true	false	false	false	false
6	1	6	627200	true	false	true	true	true	false	false	false
7	1	7	819200	true	false	true	true	true	false	false	false
8	1	8	1036800	true	false	true	true	true	false	false	false
9	1	9	1280000	true	false	true	true	true	true	false	false
10	1	10	1548800	true	false	true	true	true	true	false	false
11	1	11	1843200	true	false	true	true	true	true	false	false
12	1	12	2163200	true	false	true	true	true	true	true	false
13	1	13	2508800	true	false	true	true	true	true	true	false
14	1	14	2880000	true	false	true	true	true	true	true	false
15	1	15	3276800	true	false	true	true	true	true	true	true
16	1	16	3699200	true	false	true	true	true	true	true	true
17	1	17	4147200	true	false	true	true	true	true	true	true
18	1	18	4620800	true	false	true	true	true	true	true	true
19	1	19	5120000	true	false	true	true	true	true	true	true
20	1	20	0	true	true	true	true	true	true	true	true
21	2	1	65000	true	false	true	false	false	false	false	false
22	2	2	144000	true	false	true	false	false	false	false	false
23	2	3	256000	true	false	true	true	false	false	false	false
24	2	4	400000	true	false	true	true	false	false	false	false
25	2	5	576000	true	false	true	true	false	false	false	false
26	2	6	784000	true	false	true	true	true	false	false	false
27	2	7	1024000	true	false	true	true	true	false	false	false
28	2	8	1296000	true	false	true	true	true	false	false	false
29	2	9	1600000	true	false	true	true	true	true	false	false
30	2	10	1936000	true	false	true	true	true	true	false	false
31	2	11	2304000	true	false	true	true	true	true	false	false
32	2	12	2704000	true	false	true	true	true	true	true	false
33	2	13	3136000	true	false	true	true	true	true	true	false
34	2	14	3600000	true	false	true	true	true	true	true	false
35	2	15	4096000	true	false	true	true	true	true	true	true
36	2	16	4624000	true	false	true	true	true	true	true	true
37	2	17	5184000	true	false	true	true	true	true	true	true
38	2	18	5776000	true	false	true	true	true	true	true	true
39	2	19	6400000	true	false	true	true	true	true	true	true
40	2	20	0	true	true	true	true	true	true	true	true
41	3	1	77000	true	false	true	false	false	false	false	false
42	3	2	172800	true	false	true	false	false	false	false	false
43	3	3	307200	true	false	true	true	false	false	false	false
44	3	4	480000	true	false	true	true	false	false	false	false
45	3	5	691200	true	false	true	true	false	false	false	false
46	3	6	940800	true	false	true	true	true	false	false	false
47	3	7	1228800	true	false	true	true	true	false	false	false
48	3	8	1555200	true	false	true	true	true	false	false	false
49	3	9	1920000	true	false	true	true	true	true	false	false
50	3	10	2323200	true	false	true	true	true	true	false	false
51	3	11	2764800	true	false	true	true	true	true	false	false
52	3	12	3244800	true	false	true	true	true	true	true	false
53	3	13	3763200	true	false	true	true	true	true	true	false
54	3	14	4320000	true	false	true	true	true	true	true	false
55	3	15	4915200	true	false	true	true	true	true	true	true
56	3	16	5548800	true	false	true	true	true	true	true	true
57	3	17	6220800	true	false	true	true	true	true	true	true
58	3	18	6931200	true	false	true	true	true	true	true	true
59	3	19	7680000	true	false	true	true	true	true	true	true
60	3	20	0	true	true	true	true	true	true	true	true
61	4	1	32000	true	false	true	false	false	false	false	false
62	4	2	72000	true	false	true	false	false	false	false	false
63	4	3	128000	true	false	true	true	false	false	false	false
64	4	4	200000	true	false	true	true	false	false	false	false
65	4	5	288000	true	false	true	true	false	false	false	false
66	4	6	392000	true	false	true	true	true	false	false	false
67	4	7	512000	true	false	true	true	true	false	false	false
68	4	8	648000	true	false	true	true	true	false	false	false
69	4	9	800000	true	false	true	true	true	true	false	false
70	4	10	968000	true	false	true	true	true	true	false	false
71	4	11	1152000	true	false	true	true	true	true	false	false
72	4	12	1352000	true	false	true	true	true	true	true	false
73	4	13	1568000	true	false	true	true	true	true	true	false
74	4	14	1800000	true	false	true	true	true	true	true	false
75	4	15	2048000	true	false	true	true	true	true	true	true
76	4	16	2312000	true	false	true	true	true	true	true	true
77	4	17	2592000	true	false	true	true	true	true	true	true
78	4	18	2888000	true	false	true	true	true	true	true	true
79	4	19	3200000	true	false	true	true	true	true	true	true
80	4	20	0	true	true	true	true	true	true	true	true
