ROWID	_Activate|INTEGER	_Type|INTEGER	_MainCategory|INTEGER	_SubCategoryID|TEXT	_TitleNameID|INTEGER	_SubTitleNameID|INTEGER	_TitleNameIDParam|TEXT	_SubTitleNameIDParam|TEXT	_Icon|INTEGER	_AchieveIcon|INTEGER	_RewardAppellation|INTEGER	_RewardPoint|INTEGER	_IsAchieveNotice|BOOLEAN	_GainEvent|INTEGER	_Gain1Type|INTEGER	_Gain1Param|INTEGER	_Gain1Operator|INTEGER	_Gain2Type|INTEGER	_Gain2Param|INTEGER	_Gain2Operator|INTEGER	_Gain3Type|INTEGER	_Gain3Param|INTEGER	_Gain3Operator|INTEGER	_Gain4Type|INTEGER	_Gain4Param|INTEGER	_Gain4Operator|INTEGER	_Gain5Type|INTEGER	_Gain5Param|INTEGER	_Gain5Operator|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_GainCheckType|BOOLEAN	_AchieveCheckType|BOOLEAN	_SystemMsg|INTEGER	_MailID|INTEGER
1	1	0	0	9701	1000032152	1000000713	10	10	0	0	0	10	false	2	8	1	4	8	9	5	0	0	0	0	0	0	0	0	0	1	1	10	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	510000
2	1	0	0	9701	1000032152	1000000713	20	20	0	0	0	10	false	1	1	10	4	8	1	4	8	9	5	0	0	0	0	0	0	1	1	20	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
3	1	0	0	9701	1000032152	1000000713	30	30	0	0	0	10	false	1	1	20	4	8	1	4	8	9	5	0	0	0	0	0	0	1	1	30	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
4	1	0	0	9701	1000032152	1000000713	40	40	0	0	0	10	false	1	1	30	4	8	1	4	8	9	5	0	0	0	0	0	0	1	1	40	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
5	1	0	0	9701	1000032152	1000000713	50	50	0	0	0	10	false	1	1	40	4	8	1	4	8	9	5	0	0	0	0	0	0	1	1	50	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
6	1	0	0	9701	1000032152	1000000713	60	60	0	0	0	10	false	1	1	50	4	8	1	4	8	9	5	0	0	0	0	0	0	1	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
7	1	0	0	9701	1000032152	1000000713	70	70	0	0	0	10	false	1	1	60	4	8	1	4	8	9	5	0	0	0	0	0	0	1	1	70	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
8	1	0	0	9701	1000032152	1000000713	80	80	0	0	0	10	false	1	1	70	4	8	1	4	8	9	5	0	0	0	0	0	0	1	1	80	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
9	1	0	0	9701	1000032152	1000000713	90	90	0	0	0	10	false	1	1	80	4	8	1	4	8	9	5	0	0	0	0	0	0	1	1	90	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
10	0	0	0	9701	1000032152	1000000713	100	100	0	0	0	10	false	1	1	90	4	8	1	5	8	9	5	0	0	0	0	0	0	1	1	100	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
11	1	0	0	9701	1000004786	1000000714			0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
12	1	0	0	9701	1000000504	1000000715			0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
13	1	0	0	9701	1000004787	1000032184			0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
14	1	0	0	9701	1000004788	1000032185		7	0	0	24	10	false	13	20	13	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	7	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
15	1	0	0	9701	1000004789	1000032185		8	0	0	0	10	false	13	20	14	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
16	1	0	0	9701	1000004790	1000032185		9	0	1	25	10	false	13	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	9	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
17	1	0	0	9701	1000004791	1000032185		10	0	0	0	10	false	13	20	16	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	10	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
18	1	0	0	9701	1000007081	1000032185		11	0	0	26	10	false	13	20	17	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	11	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
19	1	0	0	9701	1000007082	1000032185		12	0	0	0	10	false	13	20	18	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	12	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
20	1	0	0	9701	1000004794	1000032185		13	0	0	0	10	false	13	20	19	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	13	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
21	1	0	0	9701	1000007686	1000032185		14	0	0	0	10	false	13	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	14	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
22	1	0	0	9701	1000007687	1000032185		15	0	0	27	10	false	13	20	21	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	15	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
23	1	0	0	9701	1000000507	1000000718			0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
24	1	0	0	9701	1000000508	1000000719			0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
25	1	0	0	9701	1000004797	1000000720			0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
26	1	0	0	9701	1000005453	1000000720			0	0	0	10	false	13	20	25	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
