ROWID	_MonsterID|INTEGER	_MonsterRegenTime|INTEGER	_MonsterRegenRepeat|INTEGER	_MonsterScore|INTEGER	_MonsterSpawnTime|INTEGER	_MonsterBuff|INTEGER
1	901401	20	59	50	0	0
2	901402	20	59	50	0	0
3	901403	20	59	50	0	0
4	901404	20	59	50	0	0
5	901405	20	59	50	0	0
6	901406	60	19	200	0	0
7	901407	60	19	200	0	0
8	901408	60	19	200	0	0
9	901409	60	19	200	0	0
10	901410	150	7	500	0	0
11	901411	150	7	500	0	0
12	901412	300	3	2500	1	400462
13	901413	300	3	2500	1	400461
14	901414	480	2	5000	1	400463
15	901421	20	59	50	0	0
16	901422	20	59	50	0	0
17	901423	20	59	50	0	0
18	901424	20	59	50	0	0
19	901425	20	59	50	0	0
20	901426	20	59	50	0	0
21	901427	60	19	200	0	0
22	901428	150	7	500	0	0
23	901429	150	7	500	0	0
24	901430	150	7	500	0	0
25	901431	180	6	0	1	0
26	901432	180	6	0	1	0
27	901433	20	59	50	0	0
28	901434	20	59	50	0	0
29	901435	150	7	200	1	0
30	901436	150	7	200	1	0
31	901442	630	1	1000	1	0
