ROWID	_monsterid|INTEGER	_Gold|INTEGER
1	789064651	280000
2	789064705	280000
3	789065056	280000
4	789064723	280000
5	789065065	280000
6	789065074	660000
7	789064831	660000
8	789064840	660000
9	789064876	660000
10	789064885	660000
11	789064894	660000
12	789064939	330000
13	789064948	330000
14	789064984	330000
15	789065083	330000
16	789064957	330000
17	789065092	660000
18	789065029	660000
19	789065047	660000
20	796877151	570000
21	796877160	570000
22	796877169	570000
23	796877178	570000
24	796877187	570000
25	796877196	1330000
26	796877205	1330000
27	796877214	1330000
28	796877223	1330000
29	796877232	1330000
30	796877241	1330000
31	796877250	660000
32	796877259	660000
33	796877268	660000
34	796877277	660000
35	796877313	660000
36	796877286	1330000
37	796877295	1330000
38	796877304	1330000
39	789065101	400000
40	789065110	400000
41	789065119	400000
42	789065128	400000
43	789065137	400000
44	789065146	660000
45	789065155	660000
46	789065164	660000
47	789065173	660000
48	789065200	660000
49	789065182	660000
50	789065191	660000
51	789065209	400000
52	789065218	400000
53	789065236	400000
54	789065245	660000
55	789065254	660000
56	789065263	660000
57	796877322	800000
58	796877331	800000
59	796877340	800000
60	796877349	800000
61	796877358	800000
62	796877367	1330000
63	796877376	1330000
64	796877385	1330000
65	796877394	1330000
66	796877403	1330000
67	796877412	1330000
68	796877421	1330000
69	796877430	800000
70	796877439	800000
71	796877448	800000
72	796877457	1330000
73	796877466	1330000
74	796877475	1330000
75	789065290	660000
76	789065316	660000
77	789065317	660000
78	796877502	1330000
79	796877529	1330000
80	796877520	1330000
81	789065326	660000
82	789065335	660000
83	789065344	660000
84	796877538	1330000
85	796877547	1330000
86	796877556	1330000
87	789065353	660000
88	789065362	660000
89	789065371	660000
90	796877565	1330000
91	796877574	1330000
92	796877583	1330000
93	789065380	660000
94	789065389	660000
95	789065398	160000
96	789065407	160000
97	789065416	160000
98	789065425	330000
99	789065434	330000
100	789065443	330000
101	789065452	500000
102	789065461	500000
103	789065470	500000
104	789065479	660000
105	789065488	660000
106	789065497	400000
107	789065506	400000
108	789065515	400000
109	789065524	250000
110	789065533	250000
111	789065542	220000
112	789065551	220000
113	789065560	220000
114	796877592	1330000
115	796877601	1330000
116	796877610	330000
117	796877619	330000
118	796877628	330000
119	796877637	660000
120	796877646	660000
121	796877655	660000
122	796877664	1000000
123	796877673	1000000
124	796877682	1000000
125	796877691	1330000
126	796877700	1330000
127	796877709	800000
128	796877718	800000
129	796877727	800000
130	796877736	500000
131	796877745	500000
132	796877754	440000
133	796877763	440000
134	796877772	440000
135	796877781	660000
136	796877790	660000
137	796877799	660000
138	796877808	1330000
139	796877817	1330000
140	796877826	500000
141	796877835	500000
142	796877844	500000
143	796877853	500000
144	796877862	800000
145	796877871	800000
146	796877880	800000
147	796877889	500000
148	796877898	500000
149	796877907	500000
150	796877916	500000
151	796877925	440000
152	796877934	440000
153	796877943	440000
154	789065740	500000
155	789065749	500000
156	789065758	500000
157	789065767	500000
158	789065776	1000000
159	789065785	1000000
160	789065794	1000000
161	789065803	1000000
162	789065812	1000000
163	789065821	1000000
164	796877952	1000000
165	796877961	1000000
166	796877970	1000000
167	796877979	1000000
168	796877988	2000000
169	796877997	2000000
170	796878006	2000000
171	796878015	2000000
172	796878024	2000000
173	796878033	2000000
174	901757	160000
175	789066028	500000
176	789065983	500000
177	789066037	500000
178	789066046	500000
179	789065938	120000
180	789065947	120000
181	789065956	120000
182	789065965	120000
183	789065992	120000
184	789066001	120000
185	789066010	120000
186	789066019	120000
187	796878240	2000000
188	796878195	2000000
189	796878249	2000000
190	796878258	2000000
191	796878150	500000
192	796878159	500000
193	796878168	500000
194	796878177	500000
195	796878204	500000
196	796878213	500000
197	796878222	500000
198	796878231	500000
199	604362	70000
200	604354	70000
201	604364	70000
202	604353	70000
203	604357	70000
204	604356	70000
205	604351	70000
206	604359	70000
207	604355	70000
208	604361	70000
209	604358	70000
210	604352	70000
211	604360	70000
212	789066055	70000
213	789066064	70000
214	704362	280000
215	704354	280000
216	704364	280000
217	704353	280000
218	704357	280000
219	704356	280000
220	704351	280000
221	704359	280000
222	704355	280000
223	704361	280000
224	704358	280000
225	704352	280000
226	704360	280000
227	796878303	280000
228	796878312	280000
229	604413	200000
230	604422	200000
231	604419	200000
232	604415	200000
233	604416	200000
234	604418	200000
235	604412	200000
236	604424	200000
237	604423	200000
238	604417	200000
239	604411	200000
240	789066082	200000
241	704413	800000
242	704422	800000
243	704419	800000
244	704415	800000
245	704416	800000
246	704418	800000
247	704412	800000
248	704424	800000
249	704423	800000
250	704417	800000
251	704411	800000
252	796878330	800000
253	604390	250000
254	604388	250000
255	604395	250000
256	604387	250000
257	604389	250000
258	604384	250000
259	604382	250000
260	604394	250000
261	604386	250000
262	604400	250000
263	604381	250000
264	789066091	250000
265	704390	1000000
266	704388	1000000
267	704395	1000000
268	704387	1000000
269	704389	1000000
270	704384	1000000
271	704382	1000000
272	704394	1000000
273	704386	1000000
274	704400	1000000
275	704381	1000000
276	796878339	1000000
277	789066109	1000000
278	789066118	1000000
279	789066127	250000
280	789066136	250000
281	789066145	250000
282	789066154	250000
283	796878357	2000000
284	796878366	2000000
285	796878375	1000000
286	796878384	1000000
287	796878393	1000000
288	796878402	1000000
289	789066073	200000
290	796878321	800000
291	789066100	250000
292	796878348	1000000
293	901795	0
294	789066163	250000
295	789066172	250000
296	796878410	1000000
297	796878419	1000000
298	789066181	500000
299	789066190	500000
300	796878428	660000
301	796878437	660000
302	789066199	160000
303	789066208	160000
304	796878446	660000
305	796878455	660000
306	789066217	160000
307	789066226	160000
308	796878464	660000
309	796878473	660000
310	789066235	250000
311	789066244	250000
312	796878482	1000000
313	796878491	1000000
314	507231	100000
315	507231	250000
316	507231	500000
317	507240	10000000
318	704810	1000000
319	579236	4000000
320	605022	1000000
