ROWID	_HP|INTEGER	_HPRefreshTimems|INTEGER	_MainDamageRate|FLOAT	_DefenseRate|FLOAT	_PassiveSkillIndex|INTEGER	_PassiveSkillLevel|INTEGER	_PassiveSkillLink|BOOLEAN	_PartsHPLink|TEXT	_DeadSkillIndex|INTEGER	_DeadSkinName|TEXT	_DeadAniName|TEXT	_DeadActionName|TEXT	_DeadAction|TEXT	_DeadActorAction|TEXT	_DeadActorActionBoneName|TEXT	_DeadActorActionFixBoneName|TEXT	_LimitAction1|TEXT	_LimitAction2|TEXT	_LimitAction3|TEXT	_LimitAction4|TEXT	_LimitAction5|TEXT	_BoneName1|TEXT	_MeshName1|TEXT	_EffectType1|BOOLEAN	_BoneName2|TEXT	_MeshName2|TEXT	_EffectType2|BOOLEAN	_BoneName3|TEXT	_MeshName3|TEXT	_EffectType3|BOOLEAN	_BoneName4|TEXT	_MeshName4|TEXT	_EffectType4|BOOLEAN	_BoneName5|TEXT	_MeshName5|TEXT	_EffectType5|BOOLEAN	_BoneName6|TEXT	_MeshName6|TEXT	_EffectType6|BOOLEAN	_BoneName7|TEXT	_MeshName7|TEXT	_EffectType7|BOOLEAN	_BoneName8|TEXT	_MeshName8|TEXT	_EffectType8|BOOLEAN	_BoneName9|TEXT	_MeshName9|TEXT	_EffectType9|BOOLEAN	_BoneName10|TEXT	_MeshName10|TEXT	_EffectType10|BOOLEAN	_BoneName11|TEXT	_MeshName11|TEXT	_EffectType11|BOOLEAN	_BoneName12|TEXT	_MeshName12|TEXT	_EffectType12|BOOLEAN	_BoneName13|TEXT	_MeshName13|TEXT	_EffectType13|BOOLEAN	_BoneName14|TEXT	_MeshName14|TEXT	_EffectType14|BOOLEAN	_BoneName15|TEXT	_MeshName15|TEXT	_EffectType15|BOOLEAN	_BoneName16|TEXT	_MeshName16|TEXT	_EffectType16|BOOLEAN	_BoneName17|TEXT	_MeshName17|TEXT	_EffectType17|BOOLEAN	_BoneName18|TEXT	_MeshName18|TEXT	_EffectType18|BOOLEAN	_BoneName19|TEXT	_MeshName19|TEXT	_EffectType19|BOOLEAN	_BoneName20|TEXT	_MeshName20|TEXT	_EffectType20|BOOLEAN	_DeadActorAmbient_R|DOUBLE	_DeadActorAmbient_G|DOUBLE	_DeadActorAmbient_B|DOUBLE	_DeadActorDiffuse_R|DOUBLE	_DeadActorDiffuse_G|DOUBLE	_DeadActorDiffuse_B|DOUBLE	_ToHitBlinkRed|DOUBLE	_ToHitBlinkGreen|DOUBLE	_ToHitBlinkBlue|DOUBLE	_ToHitBlinkTime|DOUBLE	_ToHitShakeTime|DOUBLE	_RequiredPartsID|TEXT	_RequiredPartsHP|TEXT	_Scaling|DOUBLE	_NameID|INTEGER	_PartsHPDisplay|BOOLEAN
1	2000	180000	1.0	1.0	0	0	false	0	0													Bone73	feeler02	false	Bone33	feeler12	false	Bone89	feeler11	false	Bone65	feeler13	false	Bone81	feeler14	false	Bone39	feeler03	false	Bone48	feeler04	false	Bone69	feeler10	false	Bone12	feeler08	false	Bone85	feeler09	false	Bone61	feeler01	false	Bone57	feeler05	false	Bone24	feeler06	false	Bone77	feeler07	false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
2	12000	16000	1.0	0.3	0	1	false	0	30008				Idle				Attack10_Bite	Attack1_Poison				Bip01 Head	Manticore_Head	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	0	false
3	2000	20000	1.0	0.5	0	0	false	0	0				Idle				Fly_Start	Fly				Bone_LWing_02	Manticore_Wing	true	Bone_LWing_03	Manticore_Wing	false	Bone_RWing_02	Manticore_Wing	true	Bone_RWing_03	Manticore_Wing	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	0	false
4	60000	20000	1.5	1.0	0	0	false	0	0				Idle	Stun_Ice	Bone13	Bip01 Spine						Bone13	cerberos_R	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032477	true
5	30000	20000	1.5	1.0	0	0	false	0	0				Idle	Stun_Dark	Bip01 Head	Bip01 Spine						Bip01 Head	cerberos_C	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032478	true
6	45000	20000	1.5	1.0	0	0	false	0	0				Idle	Stun_Fire	Bone09	Bip01 Spine						Bone09	cerberos_L	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	1000032479	true
7	100000	10000	1.0	1.0	0	0	false	8	0				Idle									Bip01 L UpperArm 	Left_Arm	false	Bip01 L Forearm	Left_Arm	false	Bip01 L Hand	Left_Arm	false	Bip01 L Finger0	Left_Arm	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	0	false
8	100000	10000	1.0	1.0	0	0	false	7	0				Idle									Bip01 R UpperArm	Right_Arm	false	Bip01 R Forearm	Right_Arm	false	Bip01 R Hand	Right_Arm	false	Bip01 R Finger0	Right_Arm	false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.21	0.22	0.28	0.43	0.46	0.59	1.0	0.0	0.0	0.3	0.3			5.0	0	false
9	0	0	1.0	1.0	0	0	false	0	0															false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0	false
10	80000	10000	1.0	1.0	0	1	false	0	30008				Idle				Attack10_Bite	Attack1_Poison				Bip01 Head	Manticore_Head	true			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false			false	0.9	0.2	0.2	0.9	0.2	0.2	1.0	0.0	0.0	0.3	0.3			5.0	1000036378	true
