ROWID	_NameID|INTEGER	_NameIDParam|TEXT	_Level|INTEGER	_HP|INTEGER	_HPUI|INTEGER	_StrPMin|INTEGER	_StrPMax|INTEGER	_AttackUI|INTEGER	_StrMMin|INTEGER	_StrMMax|INTEGER	_DefP|INTEGER	_DefM|INTEGER	_Stiff|INTEGER	_Critical|INTEGER	_Stun|INTEGER	_StiffResistance|INTEGER	_CriticalResistance|INTEGER	_StunResistance|INTEGER	_Element_Str_Type|INTEGER	_Element_Str|FLOAT	_Fire_Def|FLOAT	_Ice_Def|FLOAT	_Light_Def|FLOAT	_Dark_Def|FLOAT	_DeadExperience|INTEGER	_CompleteExperience|INTEGER	_DeadDurability|INTEGER	_MoveSpeed|INTEGER	_DownDelay|FLOAT	_ActorTableID|INTEGER	_SizeMin|FLOAT	_SizeMax|FLOAT	_CustomAI|TEXT	_Weapon1Index|INTEGER	_Weapon2Index|INTEGER	_ThreatRange|INTEGER	_ThreatAggro|INTEGER	_CognizanceGentleRange|INTEGER	_CognizanceThreatRange|INTEGER	_RefreshTargetType|INTEGER	_RefreshTargetValue1|DOUBLE	_RefreshTargetValue2|DOUBLE	_SkillTable|INTEGER	_MonsterPartsIndex1|INTEGER	_MonsterPartsIndex2|INTEGER	_MonsterPartsIndex3|INTEGER	_MonsterPartsIndex4|INTEGER	_MonsterPartsIndex5|INTEGER	_SuperAmmor|INTEGER	_ImmunedStateBlow|TEXT	_ImmunePercent|TEXT	_DecreaseAggro|FLOAT	_RangeAttackAdditionalAggro|FLOAT	_StunStateAdditionalAggro|FLOAT	_DownStateAdditionalAggro|FLOAT	_CantMoveStateAdditionalAggro|FLOAT	_SleepStateAdditionalAggro|FLOAT	_UnderHPStateAdditionalAggro|FLOAT	_AllowSEDiffuseVariation|INTEGER	_Grade|INTEGER	_AllowEffectIndex|INTEGER	_UseGaugeBalloon|BOOLEAN	_ItemDropGroupID|INTEGER	_MonsterRaceID|INTEGER	_MonsterGrade|INTEGER	_SlowEffectByDeath|BOOLEAN	_EffectScale|BOOLEAN	_BossKillCheck|BOOLEAN	_ImmuneReduceTime|TEXT	_EffectByStart|TEXT	_EffectByEnd|TEXT	_StateResist|BOOLEAN	_AllowEffectIndex_New|TEXT	_NoSpin|BOOLEAN	_ShowGauge|BOOLEAN	_OffSetID|INTEGER	_HPBarOrder|INTEGER	_ItemDropType|INTEGER	_ItemDropIntervalTime|TEXT	_LimboConstantFlag|INTEGER	_NewBalanceFlagException|INTEGER
235051	1000003651	{1000006757}	32	11944	0	518	634	0	518	634	2475	1485	648	800	900	1728	1000	625	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	1.0	11904	1.15	1.2	AiMinotauros_White_Armor_Boss_Normal.lua	49	0	3000	5	3200	4000	0	0.0	0.0	45	0	0	0	0	0	300	45;70;71;206;228;86;220;148;	100;100;100;50;50;100;100;100;	0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	6	0	true	204816950	169	4	true	true	true	100;100;100;100;100;100;100;100;			false	0	false	true	0	0	0	0	0	0
235052	1000003651	{1000006627}	32	11689	0	454	554	0	454	554	2475	1485	648	800	900	1728	1000	625	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	1.0	11903	1.15	1.2	AiMinotauros_Black_Armor_Boss_Normal.lua	49	0	3000	5	3200	4000	0	0.0	0.0	45	0	0	0	0	0	300	45;70;71;206;228;86;220;148;	100;100;100;50;50;100;100;100;	0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	6	0	true	204816750	167	4	true	true	true	100;100;100;100;100;100;100;100;			false	0	false	true	0	0	0	0	0	0
235053	1000003651	{1000006780}	32	7878	0	350	428	0	350	428	1782	1782	324	4000	450	432	1500	188	-1	0.0	0.0	0.0	-0.15	0.15	0	0	0	0	1.0	10402	1.45	1.5	AiHopGoblin_Black_Normal.lua	139	0	1400	5	1500	3000	0	0.0	0.0	6	0	0	0	0	0	1000			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	6	0	true	204812050	120	4	true	true	true				false	0	false	true	0	0	0	0	0	0
235054	1000003651	{1000006759}	32	3176	0	368	450	0	368	450	1890	1890	432	1600	600	432	2000	250	-1	0.0	0.15	-0.15	0.0	0.0	0	0	0	0	0.67	10816	1.25	1.3	AiOrc_Gray_Normal.lua	134	135	1400	5	1500	3000	0	0.0	0.0	5	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	3	0	true	204810020	100	3	false	true	false				false	0	false	true	0	0	0	0	0	0
235055	1000003651	{1000007504}	32	2922	0	297	363	0	297	363	2930	1890	648	1600	750	648	2000	375	-1	0.0	0.0	0.0	-0.3	0.3	0	0	0	0	0.67	10807	1.25	1.3	AiOrc_Black2_Normal.lua	73	0	1400	5	1500	3000	0	0.0	0.0	1	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	3	0	true	204809920	99	3	false	true	false				false	0	false	true	0	0	0	0	0	0
235056	1000003651	{1000006569}	32	661	0	114	140	0	114	140	1350	1350	324	3200	300	151	0	62	-1	0.0	0.15	0.15	0.15	0.15	0	0	0	0	0.0	10307	0.99	1.0	AiGoblin_Grey_Normal.lua	233	0	1400	5	1500	3000	0	0.0	0.0	1	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	204802410	24	1	false	true	false				false	0	false	true	0	0	0	0	0	0
235057	1000003651	{1000006568}	32	635	0	130	158	0	130	158	1440	1440	238	4800	450	151	0	62	-1	0.0	0.0	0.0	0.0	0.15	0	0	0	0	0.0	10203	0.99	1.0	AiKoboldWarrior_Gray_Normal.lua	213	213	1400	5	1500	3000	0	0.0	0.0	40	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	204802710	27	1	false	true	false				false	0	false	true	0	0	0	0	0	0
235058	1000003651	{1001482}	32	4320	0	280	342	0	280	342	1485	2475	540	1600	120	324	1000	125	-1	0.0	0.0	0.0	-0.3	0.3	0	0	0	0	1.0	11603	1.45	1.5	AiBroo_Black_Normal.lua	16	0	3000	5	3200	4000	0	0.0	0.0	11	0	0	0	0	0	1000			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	6	74	true	204810950	109	4	true	true	true				false	74	false	true	0	0	0	0	0	0
235059	1000003651	{1000006617}	32	2160	0	154	189	0	154	189	1418	2835	216	2400	450	108	1000	500	-1	0.0	0.0	0.0	-0.5	0.5	0	0	0	0	0.67	10504	1.25	1.3	AiSkeleton_Black_Normal.lua	143	0	1200	5	1500	3000	0	0.0	0.0	18	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	3	0	true	204804520	45	3	false	true	false				false	0	false	true	0	0	0	0	0	0
235060	1000003651	{1000006561}	32	1169	0	151	185	0	151	185	1800	1350	324	400	600	324	1000	500	-1	0.0	-0.15	0.0	-0.3	0.5	0	0	0	0	0.34	10101	0.99	1.0	AiGhoul_Green_Normal.lua	21	0	1200	5	1500	3000	0	0.0	0.0	8	0	0	0	0	0	100	44;45	100;100	0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	204805010	50	1	false	true	false	100;100			false	0	false	true	0	0	0	0	0	0
