ROWID	_NameID|INTEGER	_NameIDParam|TEXT	_Level|INTEGER	_HP|INTEGER	_HPUI|INTEGER	_StrPMin|INTEGER	_StrPMax|INTEGER	_AttackUI|INTEGER	_StrMMin|INTEGER	_StrMMax|INTEGER	_DefP|INTEGER	_DefM|INTEGER	_Stiff|INTEGER	_Critical|INTEGER	_Stun|INTEGER	_StiffResistance|INTEGER	_CriticalResistance|INTEGER	_StunResistance|INTEGER	_Element_Str_Type|INTEGER	_Element_Str|FLOAT	_Fire_Def|FLOAT	_Ice_Def|FLOAT	_Light_Def|FLOAT	_Dark_Def|FLOAT	_DeadExperience|INTEGER	_CompleteExperience|INTEGER	_DeadDurability|INTEGER	_MoveSpeed|INTEGER	_DownDelay|FLOAT	_ActorTableID|INTEGER	_SizeMin|FLOAT	_SizeMax|FLOAT	_CustomAI|TEXT	_Weapon1Index|INTEGER	_Weapon2Index|INTEGER	_ThreatRange|INTEGER	_ThreatAggro|INTEGER	_CognizanceGentleRange|INTEGER	_CognizanceThreatRange|INTEGER	_RefreshTargetType|INTEGER	_RefreshTargetValue1|DOUBLE	_RefreshTargetValue2|DOUBLE	_SkillTable|INTEGER	_MonsterPartsIndex1|INTEGER	_MonsterPartsIndex2|INTEGER	_MonsterPartsIndex3|INTEGER	_MonsterPartsIndex4|INTEGER	_MonsterPartsIndex5|INTEGER	_SuperAmmor|INTEGER	_ImmunedStateBlow|TEXT	_ImmunePercent|TEXT	_DecreaseAggro|FLOAT	_RangeAttackAdditionalAggro|FLOAT	_StunStateAdditionalAggro|FLOAT	_DownStateAdditionalAggro|FLOAT	_CantMoveStateAdditionalAggro|FLOAT	_SleepStateAdditionalAggro|FLOAT	_UnderHPStateAdditionalAggro|FLOAT	_AllowSEDiffuseVariation|INTEGER	_Grade|INTEGER	_AllowEffectIndex|INTEGER	_UseGaugeBalloon|BOOLEAN	_ItemDropGroupID|INTEGER	_MonsterRaceID|INTEGER	_MonsterGrade|INTEGER	_SlowEffectByDeath|BOOLEAN	_EffectScale|BOOLEAN	_BossKillCheck|BOOLEAN	_ImmuneReduceTime|TEXT	_EffectByStart|TEXT	_EffectByEnd|TEXT	_StateResist|BOOLEAN	_AllowEffectIndex_New|TEXT	_NoSpin|BOOLEAN	_ShowGauge|BOOLEAN	_OffSetID|INTEGER	_HPBarOrder|INTEGER	_ItemDropType|INTEGER	_ItemDropIntervalTime|TEXT	_LimboConstantFlag|INTEGER	_NewBalanceFlagException|INTEGER
1	1000000004		25	274	0	56	68	0	56	68	597	597	239	2360	111	0	369	46	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	300	0.0	10001	0.95	1.0	AiHound_General_Normal.lua	10	0	1400	5	1400	3000	0	0.0	0.0	0	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	17005	1	1	false	true	false				false	0	false	true	0	0	0	0	0	0
2	1000000005		25	484	0	64	78	0	64	78	730	730	239	2360	111	0	369	46	-1	0.0	0.0	0.0	0.0	0.0	0	0	0	300	0.0	10002	0.95	1.0	AiHoundArmor_General_Normal.lua	10	0	1400	5	1400	3000	0	0.0	0.0	0	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	5	1	false	true	false				false	0	false	true	0	0	0	0	0	0
3	1000000001		25	320	0	76	93	0	76	93	597	597	239	2360	111	0	369	46	-1	0.0	0.3	-0.3	0.0	0.0	0	0	0	300	0.0	10003	0.95	1.0	AiHound.lua	10	0	1400	5	1400	3000	0	0.0	0.0	0	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	3	1	false	true	false				false	0	false	true	0	0	0	0	0	0
4	1000000003		25	502	0	80	97	0	80	97	730	730	239	2360	111	0	369	46	-1	0.0	0.3	-0.3	0.0	0.0	0	0	0	300	0.0	10004	0.95	1.0	AiHound.lua	10	0	1400	5	1400	3000	0	0.0	0.0	0	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	7	1	false	true	false				false	0	false	true	0	0	0	0	0	0
5	1000000018		25	274	0	56	68	0	56	68	597	597	239	2360	111	0	369	46	-1	0.0	-0.3	0.3	0.0	0.0	0	0	0	300	0.0	10005	0.95	1.0	AiHound_General_Normal.lua	10	0	1400	5	1400	3000	0	0.0	0.0	0	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	2	1	false	true	false				false	0	false	true	0	0	0	0	0	0
6	1000000017		25	484	0	64	78	0	64	78	730	730	239	2360	111	0	369	46	-1	0.0	-0.3	0.3	0.0	0.0	0	0	0	300	0.0	10006	0.95	1.0	AiHound_General_Normal.lua	10	0	1400	5	1400	3000	0	0.0	0.0	0	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	6	1	false	true	false				false	0	false	true	0	0	0	0	0	0
7	1000000193		25	475	0	96	117	0	96	117	796	796	239	2950	221	0	369	46	-1	0.0	0.5	-0.5	-0.5	0.5	0	0	0	300	0.0	10007	0.95	1.0	AiHoundArmor_General_Abyss.lua	10	0	1400	5	1400	3000	0	0.0	0.0	0	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	4	1	false	true	false				false	0	false	true	0	0	0	0	0	0
8	1000000006		25	603	0	104	127	0	104	127	863	863	239	2950	221	0	369	46	-1	0.0	0.5	-0.5	-0.5	0.5	0	0	0	300	0.0	10008	0.95	1.0	AiHound_General_Normal.lua	10	0	1400	5	1400	3000	0	0.0	0.0	0	0	0	0	0	0	100			0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	8	1	false	true	false				false	0	false	true	0	0	0	0	0	0
9	1000000007		25	841	0	112	136	0	112	136	1328	996	239	295	442	239	738	369	-1	0.0	-0.15	0.0	-0.3	0.5	0	0	0	0	0.34	10101	0.95	1.0	AiGhoul_Green_Normal.lua	21	0	1400	5	1400	3000	0	0.0	0.0	8	0	0	0	0	0	100	45	100	0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	50	1	false	true	false	100			false	0	false	true	0	0	0	0	0	0
10	1000000008		25	914	0	112	136	0	112	136	1659	996	239	295	442	239	738	369	-1	0.0	-0.15	0.0	-0.3	0.5	0	0	0	0	0.34	10102	0.95	1.0	AiGhoul_Gray_Normal.lua	21	0	1400	5	1400	3000	0	0.0	0.0	8	0	0	0	0	0	100	45	100	0.1	1.5	1.2	0.8	1.0	1.0	1.0	1	1	0	true	0	49	1	false	true	false	100			false	0	false	true	0	0	0	0	0	0
