ROWID	_MonsterTableIndex|INTEGER	_Difficulty|INTEGER	_CustomAI|TEXT	_DeadExperienceWeight|DOUBLE	_CompleteExperienceWeight|DOUBLE	_HPWeight|FLOAT	_AttackPMinWeight|FLOAT	_AttackPMaxWeight|FLOAT	_AttackMMinWeight|FLOAT	_AttackMMaxWeight|FLOAT	_DefensePWeight|FLOAT	_DefenseMWeight|FLOAT	_StiffWeight|FLOAT	_CriticalWeight|FLOAT	_StunWeight|FLOAT	_StiffResistanceWeight|FLOAT	_CriticalResistanceWeight|FLOAT	_StunResistanceWeight|FLOAT	_SuperAmmorWeight|FLOAT	_Element_Str_Weight|FLOAT	_Fire_Def_Weight|FLOAT	_Ice_Def_Weight|FLOAT	_Light_Def_Weight|FLOAT	_Dark_Def_Weight|FLOAT	_MoveSpeedWeight|INTEGER	_DownDelayWeight|FLOAT	_DurabilityWeight|FLOAT	_DeadDurabilityWeight|DOUBLE
1503101	503101	0	GuardianNest_Easy_Gate1_FrogMagician_Boss.lua	0.0	1336.8164	0.105	0.12	0.12	0.12	0.12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	2.0	0.0
1503102	503102	0	GuardianNest_Gate1_FrogMagician_JuniorStaff.lua	0.0	0.0	0.3375	1.44	1.44	1.44	1.44	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	2.0	0.0
1503103	503103	0	GuardianNest_Easy_Gate1_FrogWarrior_JuniorStaff.lua	0.0	0.0	0.3375	1.44	1.44	1.44	1.44	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	2.0	0.0
1503104	503104	0	GuardianNest_Gate1_HideMonster.lua	0.0	0.0	0.75	0.072	0.072	0.072	0.072	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	2.0	0.0
1503105	503105	0	GuardianNest_Gate1_HideMonster.lua	0.0	0.0	0.75	0.072	0.072	0.072	0.072	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	2.0	0.0
1503106	503106	0	GuardianNest_Gate1_HideMonster.lua	0.0	0.0	0.75	0.072	0.072	0.072	0.072	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	2.0	0.0
1503107	503107	0	GuardianNest_Gate1_HideMonster.lua	0.0	0.0	0.75	0.072	0.072	0.072	0.072	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	2.0	0.0
1503108	503108	0	GuardianNest_Gate1_HideMonster.lua	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	2.0	0.0
1503109	503109	0		0.0	0.0	0.672	2.16	2.16	2.16	2.16	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	2.0	0.0
1503110	503110	0	GuardianNest_Gate1_HideMonster.lua	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	2.0	0.0
