ROWID	_NestGroupID|INTEGER	_MapID|INTEGER	_AreaID|INTEGER	_Difficulity|INTEGER	_PropID|INTEGER	_ItemDropGroupID|INTEGER	_WeeklyDropLimit|INTEGER	_MonsterName|INTEGER	_ShareCountMapGroup|INTEGER
1	14701	14701	1	4	860	92277793	2	1017444	1
2	14701	14701	2	4	569	92277793	2	1017445	2
3	14731	14731	1	0	0	0	1	1017444	3
4	14731	14731	2	0	0	0	1	1017445	4
5	14851	14851	1	4	860	92277793	2	1019106	5
6	14851	14851	2	4	860	92277793	2	1019107	6
7	14851	14851	3	4	860	92277793	2	1019108	7
8	14855	14855	1	4	860	92277793	1	1019106	8
9	14855	14855	2	4	860	92277793	1	1019107	9
10	14855	14855	3	4	860	92277793	1	1019108	10
11	14891	14891	1	4	0	0	1	1000036057	11
12	14891	14891	2	4	0	0	1	1000036065	12
13	14891	14892	3	4	0	0	1	1000036066	13
14	14891	14892	4	4	0	0	1	1000036444	14
15	14761	14761	1	4	0	0	1	1019741	101
16	14761	14761	2	4	0	0	1	1019742	102
17	14761	14761	3	4	0	0	1	1019743	103
18	14763	14763	1	4	0	0	1	1019741	101
19	14763	14763	2	4	0	0	1	1019742	102
20	14763	14763	3	4	0	0	1	1019743	103
21	14531	14531	1	4	0	0	1	1000063950	15
22	14531	14532	2	4	0	0	1	1000063958	16
23	14531	14533	3	4	0	0	1	1000063972	17
24	14531	14533	4	4	0	0	1	1000063979	18
25	14950	14950	1	4	0	0	1	1016979	19
26	14950	14951	2	4	0	0	1	1016980	20
27	14950	14951	3	4	0	0	1	1016981	21
28	14765	14765	1	4	0	0	1	1019741	22
29	14765	14765	2	4	0	0	1	1019742	23
30	14765	14765	3	4	0	0	1	1019743	24
31	14960	14961	1	4	0	0	1	1010310	25
32	14960	14961	2	4	0	0	1	1010313	26
33	14960	14961	3	4	0	0	1	1010312	27
34	14960	14961	4	4	0	0	1	1010311	28
35	19025	19025	1	4	0	0	1	1014428	29
36	19025	19025	2	4	0	0	1	1014429	30
37	19025	19026	3	4	0	0	1	1014430	31
38	14957	14957	1	4	0	0	1	1016979	32
39	14957	14958	2	4	0	0	1	1016980	33
40	14957	14958	3	4	0	0	1	1016981	34
41	19690	19690	1	4	0	0	3	1014524	35
42	19690	19690	2	4	0	0	3	1014525	36
43	19690	19691	3	4	0	0	3	1014526	37
44	19695	19695	1	4	0	0	3	1014709	38
45	19695	19695	2	4	0	0	3	1000174515	39
46	19695	19696	3	4	0	0	3	1014710	40
47	19697	19697	1	4	0	0	3	1014726	41
48	19697	19697	2	4	0	0	3	1014727	42
49	19697	19698	3	4	0	0	3	1014725	43
