ROWID	_Key|INTEGER	_UISize|INTEGER
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	0
10	10	0
11	11	1
12	12	1
13	13	0
14	14	0
15	15	0
16	16	0
17	17	0
18	18	0
19	19	0
20	20	0
21	21	0
22	22	0
23	23	0
24	24	0
25	25	0
26	26	0
27	27	0
28	28	0
29	29	2
30	30	0
31	31	0
32	32	0
33	33	0
34	34	0
35	35	0
36	36	0
37	37	0
38	38	0
39	39	0
40	40	0
41	41	0
42	42	0
43	43	0
44	44	0
45	45	0
46	46	0
47	47	0
48	48	0
49	49	0
50	50	0
51	51	0
52	52	0
53	53	0
54	54	0
55	55	0
56	56	0
57	57	2
58	58	0
59	59	0
60	60	0
61	61	0
62	62	0
63	63	0
64	64	0
65	65	0
66	66	0
67	67	0
68	68	0
69	69	0
70	70	0
71	71	3
72	72	3
73	73	3
74	74	0
75	75	3
76	76	3
77	77	3
78	78	1
79	79	3
80	80	3
81	81	3
82	82	3
83	83	0
84	86	0
85	87	0
86	88	0
87	100	0
88	101	0
89	102	0
90	112	0
91	115	0
92	121	0
93	123	0
94	125	0
95	126	0
96	141	0
97	144	0
98	145	0
99	146	0
100	147	0
101	148	0
102	149	0
103	150	0
104	151	0
105	153	0
106	156	0
107	157	2
108	160	0
109	161	0
110	162	0
111	164	0
112	174	0
113	176	0
114	178	0
115	179	0
116	181	2
117	183	0
118	184	0
119	197	0
120	199	1
121	200	0
122	201	1
123	203	1
124	205	1
125	207	1
126	208	1
127	209	1
128	210	2
129	211	2
130	219	0
131	220	0
132	221	0
133	222	0
134	223	0
135	227	0
136	229	0
137	230	0
138	231	0
139	232	0
140	233	0
141	234	0
142	235	0
143	236	0
144	237	0
