ROWID	_NpcID|INTEGER	_MapID|INTEGER	_HideType1|INTEGER	_Gain1Param1|INTEGER	_Gain1Param2|INTEGER	_Gain1Operator|INTEGER	_Gain1classtype|TEXT	_Gain1CheckType|BOOLEAN	_HideType2|INTEGER	_Gain2Param1|INTEGER	_Gain2Param2|INTEGER	_Gain2Operator|INTEGER	_Gain2classtype|TEXT	_Gain2CheckType|BOOLEAN	_HideType3|INTEGER	_Gain3Param1|INTEGER	_Gain3Param2|INTEGER	_Gain3Operator|INTEGER	_Gain3classtype|TEXT	_Gain3CheckType|BOOLEAN	_HideType4|INTEGER	_Gain4Param1|INTEGER	_Gain4Param2|INTEGER	_Gain4Operator|INTEGER	_Gain4classtype|TEXT	_Gain4CheckType|BOOLEAN	_HideType5|INTEGER	_Gain5Param1|INTEGER	_Gain5Param2|INTEGER	_Gain5Operator|INTEGER	_Gain5classtype|TEXT	_Gain5CheckType|BOOLEAN	_HideType6|INTEGER	_Gain6Param1|INTEGER	_Gain6Param2|INTEGER	_Gain6Operator|INTEGER	_Gain6classtype|TEXT	_Gain6CheckType|BOOLEAN	_HideType7|INTEGER	_Gain7Param1|INTEGER	_Gain7Param2|INTEGER	_Gain7Operator|INTEGER	_Gain7classtype|TEXT	_Gain7CheckType|BOOLEAN
1	39	11	4	429	3	0	1:2:3:4:6:9	true	2	429	0	0	1:2:3:4:6:9	true	2	393	0	0	5	true	2	9326	0	0	7	true	2	9499	0	0	8	true	4	9612	4	0	1:2:3:4:6:9	true	2	9612	0	0	1:2:3:4:6:9	true
2	822	11	3	9209	0	0	1:2:3:4:5:6:7:8:9	false	3	9362	0	0	1:2:3:4:5:6:7:8:9	false	3	9529	0	0	1:2:3:4:5:6:7:8:9	false	3	9655	0	0	1:2:3:4:5:6:7:8:9	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
3	42	11	3	420	0	0	1:2:3:4:5:6:7:8:9	false	3	435	0	0	1:2:3:4:5:6:7:8:9	false	3	9302	0	0	1:2:3:4:5:6:7:8:9	false	3	9480	0	0	1:2:3:4:5:6:7:8:9	false	3	9592	0	0	1:2:3:4:5:6:7:8:9	false	0	0	0	0	0	false	0	0	0	0	0	false
4	40	11	4	697	3	0	1:2:3:4:5:6:7:8:9:10	true	4	698	1	3	1:2:3:4:5:6:7:8:9:10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
5	51	11	4	454	1	0	1:2:3:4:5:6:7:8:9	true	2	454	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
6	442	11	4	697	3	0	1:2:3:4:5:6:7:8:9	true	2	697	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
7	133	11	4	452	1	3	1:2:3:4:5:6:7:8:9:10	true	4	576	1	3	1:2:3:4:5:6:7:8:9:10	true	4	577	1	3	1:2:3:4:5:6:7:8:9:10	true	4	578	1	3	1:2:3:4:5:6:7:8:9:10	true	4	579	2	5	1:2:3:4:5:6:7:8:9:10	true	0	0	0	0	0	false	0	0	0	0	0	false
8	164	8	2	9700	0	0	1:2:3:4:5:6:7:8:9	false	2	286	0	0	1:2:3:4:5:6:7:8:9	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
9	1502	11	3	9410	0	4	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
10	1504	11	1	77	0	4	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
