ROWID	_Parts|INTEGER	_Durability|INTEGER	_DurabilityRepairCoin|INTEGER	_Player1_SkinName|INTEGER	_Player1_AniName|INTEGER	_Player1_ActName|INTEGER	_Player1_OnActName|INTEGER	_Player1_DecalName|INTEGER	_Player2_SkinName|INTEGER	_Player2_AniName|INTEGER	_Player2_ActName|INTEGER	_Player2_OnActName|INTEGER	_Player2_DecalName|INTEGER	_Player3_SkinName|INTEGER	_Player3_AniName|INTEGER	_Player3_ActName|INTEGER	_Player3_OnActName|INTEGER	_Player3_DecalName|INTEGER	_Player4_SkinName|INTEGER	_Player4_AniName|INTEGER	_Player4_ActName|INTEGER	_Player4_OnActName|INTEGER	_Player4_DecalName|INTEGER	_Player5_SkinName|INTEGER	_Player5_AniName|INTEGER	_Player5_ActName|INTEGER	_Player5_OnActName|INTEGER	_Player5_DecalName|INTEGER	_Player6_SkinName|INTEGER	_Player6_AniName|INTEGER	_Player6_ActName|INTEGER	_Player6_OnActName|INTEGER	_Player6_DecalName|INTEGER	_Player7_SkinName|INTEGER	_Player7_AniName|INTEGER	_Player7_ActName|INTEGER	_Player7_OnActName|INTEGER	_Player7_DecalName|INTEGER	_Player8_SkinName|INTEGER	_Player8_AniName|INTEGER	_Player8_ActName|INTEGER	_Player8_OnActName|INTEGER	_Player8_DecalName|INTEGER	_Player9_SkinName|INTEGER	_Player9_AniName|INTEGER	_Player9_ActName|INTEGER	_Player9_OnActName|INTEGER	_Player9_DecalName|INTEGER	_Player10_SkinName|INTEGER	_Player10_AniName|INTEGER	_Player10_ActName|INTEGER	_Player10_OnActName|INTEGER	_Player10_DecalName|INTEGER	_SetEffect_ActName|INTEGER	_DefaultColor|INTEGER	_HelmetShowLevel|INTEGER	_EmptyDurabilitySound|INTEGER	_SetItemID|INTEGER	_ActorFaceID|INTEGER	_AttachHeadBone|BOOLEAN	_IgnoreCombine|BOOLEAN	_SubParts1|INTEGER	_SubParts2|INTEGER	_SubParts3|INTEGER	_SubParts4|INTEGER	_Grade_SetItem|BOOLEAN	_SetItemTextID|INTEGER	_SetOverlap|BOOLEAN	_SkinID|INTEGER	_Spirit_UseWingBone|BOOLEAN	_CloneParts|INTEGER	_Spirit_forwardchar|BOOLEAN	_CloneSetitemOn|INTEGER
1073759013	9	0	1	6431	6428	6427	0	0	6431	6428	6427	0	0	6431	6428	6427	0	0	6431	6428	6427	0	0	6431	6428	6427	0	0	6431	6428	6427	0	0	6431	6428	6427	0	0	6431	6428	6427	0	0	6431	6428	6427	0	0	6431	6428	6427	0	0	0	0	0	10920	0	0	false	false	0	0	0	0	false	0	false	0	false	0	false	0
1073759014	9	0	1	16022	15838	15839	0	0	16022	15838	15839	0	0	16022	15838	15839	0	0	16022	15838	15839	0	0	16022	15838	15839	0	0	16022	15838	15839	0	0	16022	15838	15839	0	0	16022	15838	15839	0	0	16022	15838	15839	0	0	16022	15838	15839	0	0	0	0	0	10920	0	0	false	false	0	0	0	0	false	0	false	0	false	0	false	0
1073759015	9	0	1	6343	6342	6341	0	0	6343	6342	6341	0	0	6343	6342	6341	0	0	6343	6342	6341	0	0	6343	6342	6341	0	0	6343	6342	6341	0	0	6343	6342	6341	0	0	6343	6342	6341	0	0	6343	6342	6341	0	0	6343	6342	6341	0	0	0	0	0	10920	0	0	false	false	0	0	0	0	false	0	false	0	false	0	false	0
1073759016	9	0	1	6346	6345	6344	0	0	6346	6345	6344	0	0	6346	6345	6344	0	0	6346	6345	6344	0	0	6346	6345	6344	0	0	6346	6345	6344	0	0	6346	6345	6344	0	0	6346	6345	6344	0	0	6346	6345	6344	0	0	6346	6345	6344	0	0	0	0	0	10920	0	0	false	false	0	0	0	0	false	0	false	0	false	0	false	0
1073759017	9	0	1	6340	6339	6338	0	0	6340	6339	6338	0	0	6340	6339	6338	0	0	6340	6339	6338	0	0	6340	6339	6338	0	0	6340	6339	6338	0	0	6340	6339	6338	0	0	6340	6339	6338	0	0	6340	6339	6338	0	0	6340	6339	6338	0	0	0	0	0	10920	0	0	false	false	0	0	0	0	false	0	false	0	false	0	false	0
1073759018	0	0	1	6416	6415	6414	0	0	6407	6406	6405	0	0	6413	6412	6411	0	0	6410	6409	6408	0	0	6404	6403	6402	0	0	17560	17561	17562	0	0	26649	26650	26651	0	0	6407	6406	6405	0	0	38496	6406	6405	0	0	38496	6406	6405	0	0	0	0	0	10920	0	0	true	false	0	0	0	0	false	0	false	0	false	0	false	0
1073759019	10	0	1	6581	6580	6579	0	0	6581	6580	6579	0	0	6581	6580	6579	0	0	6581	6580	6579	0	0	6581	6580	6579	0	0	6581	6580	6579	0	0	6581	6580	6579	0	0	6581	6580	6579	0	0	6581	6580	6579	0	0	6581	6580	6579	0	0	0	0	0	10920	0	0	false	false	0	0	0	0	false	0	false	0	false	0	false	0
1073759020	11	0	1	0	0	0	0	7514	0	0	0	0	7514	0	0	0	0	7514	0	0	0	0	7514	0	0	0	0	7514	0	0	0	0	7514	0	0	0	0	7514	0	0	0	0	7514	0	0	0	0	7514	0	0	0	0	7514	0	0	1	10920	0	0	false	false	0	0	0	0	false	0	false	0	false	0	false	0
1073759021	0	0	1	6436	0	0	0	0	6433	0	0	0	0	6435	0	0	0	0	6434	0	0	0	0	6432	0	0	0	0	17543	0	0	0	0	26594	0	0	0	0	32200	0	0	0	0	40527	0	0	0	0	40527	0	0	0	0	0	0	0	10920	0	0	false	true	0	0	0	0	false	0	false	0	false	0	false	0
1073759022	7	0	1	0	0	6475	0	0	0	0	6475	0	0	0	0	6475	0	0	0	0	6475	0	0	0	0	6475	0	0	0	0	6475	0	0	0	0	6475	0	0	0	0	6475	0	0	0	0	6475	0	0	0	0	6475	0	0	0	0	0	10920	0	0	false	false	0	0	0	0	false	0	false	0	false	0	false	0
