ROWID	_Weight|INTEGER
10001	700000000
10002	600000000
10003	500000000
20001	100000000
20002	200000000
30001	9000
30002	8000
30003	7000
30004	6000
30005	5000
30006	4000
31001	-80000000
31002	-70000000
31003	-60000000
31004	-50000000
31005	-40000000
31006	-90000000
32001	90000000
32002	80000000
32003	70000000
32004	60000000
32005	50000000
32006	40000000
40001	10
41001	1000000
41002	1000000
42001	1000000
42002	1000000
50001	250000000
50002	50000
50003	60000
50004	70000
50005	80000
50006	90000
60001	10000
61001	100000000
62001	-100000000
70001	1000
70002	10000000
71001	-10000
71002	-100000000
72001	10000
72002	100000000
100001	150000000
100002	150000000
100003	150000000
